N	4gram	Bakhtin_fo	StatiiOP
1	дело в том что	2	9
2	в то же время	10	9
3	и т п в	1	5
4	говорит о том что	1	5
5	в то время как	2	5
6	в том что в	1	4
7	и т п но	1	2
8	в том числе и	4	2
9	и в то же	6	2
10	и вместе с тем	1	2
11	одних и тех же	2	2
12	но в то же	2	2
13	все более и более	2	2
14	но вместе с тем	1	2
15	в той или иной	2	2
16	и в этом отношении	1	2
17	в ту же ночь	1	1
18	но в конце концов	1	1
19	именно в том что	1	1
20	с нашей точки зрения	3	1
21	форма в которой проявляется	1	1
22	до сих пор еще	1	1
23	и тот факт что	1	1
24	неизвестно кем и неизвестно	1	1
25	во время чумы и	1	1
26	и т д описание	1	1
27	в ней по существу	1	1
28	они сами по себе	1	1
29	быть и речи об	1	1
30	для того чтобы не	1	1
31	то же время оно	1	1
32	быть конечно и речи	2	1
33	не может быть и	2	1
34	с этой точки зрения	1	1
35	в связи с этим	4	1
36	только в том что	1	1
37	не только в том	1	1
38	нечего и говорить о	1	1
39	само собой разумеется что	2	1
40	и т п на	1	1
41	может быть и речи	2	1
42	дело не только в	1	1
43	одно и то же	4	1
44	конечно и речи о	1	1
45	но дело в том	1	1
46	до сих пор не	1	1
47	такую большую роль в	1	1
48	так же как и	2	1
49	даже там где они	1	1
