N	2gram	Voloshinov	Otkroven
1	у него	2	22
2	и в	32	19
3	и не	42	13
4	но и	17	13
5	в этом	27	12
6	человека в	3	11
7	а не	15	11
8	не только	18	11
9	не в	13	11
10	может быть	50	11
11	вопрос о	6	10
12	человека и	1	10
13	и все	8	10
14	в нем	17	10
15	потому что	2	9
16	прежде всего	19	9
17	не было	6	9
18	в самой	1	9
19	никогда не	7	9
20	и он	4	8
21	он был	2	8
22	нет ничего	4	7
23	от него	4	7
24	в его	10	7
25	он не	5	7
26	но он	1	7
27	лишь в	17	7
28	до конца	6	7
29	все это	4	6
30	как и	19	6
31	в самом	14	5
32	в том	13	5
33	нужно искать	1	5
34	для него	18	5
35	него в	1	5
36	в этой	3	5
37	раскрывается в	1	5
38	а в	5	5
39	отношение к	1	5
40	в россии	1	5
41	то что	12	5
42	все в	2	4
43	что в	5	4
44	и мысли	1	4
45	только и	1	4
46	того чтобы	9	4
47	есть лишь	2	4
48	не может	40	4
49	что не	4	4
50	человек и	1	4
51	все эти	8	4
52	и его	33	4
53	он сам	1	4
54	с его	6	4
55	только одно	1	3
56	в русской	3	3
57	и от	6	3
58	жизни все	1	3
59	и вот	2	3
60	хотя бы	8	3
61	это не	5	3
62	для того	8	3
63	более всего	2	3
64	с ним	1	3
65	мысли и	7	3
66	когда он	1	3
67	в этих	2	3
68	не могут	4	3
69	в своих	2	3
70	как бы	31	3
71	было бы	8	3
72	могут быть	4	3
73	в себе	5	3
74	и есть	3	3
75	что он	5	3
76	различие между	5	3
77	это было	2	3
78	нем нет	4	3
79	и ее	4	3
80	о том	4	3
81	того что	5	3
82	к нему	5	3
83	еще не	7	3
84	всего в	1	2
85	и к	3	2
86	как к	2	2
87	природы в	1	2
88	и потому	7	2
89	так и	21	2
90	что они	1	2
91	и то	4	2
92	человека есть	1	2
93	в душе	3	2
94	все же	13	2
95	не могли	1	2
96	так как	5	2
97	и очень	1	2
98	должно быть	4	2
99	к этой	2	2
100	в дневнике	1	2
101	даже и	2	2
102	погружается в	1	2
103	к ней	1	2
104	его не	2	2
105	для всякого	1	2
106	и ни	2	2
107	уже в	3	2
108	ничто не	1	2
109	в другом	5	2
110	совсем не	2	2
111	так что	2	2
112	в своем	3	2
113	в этот	1	2
114	с тем	1	2
115	и из	1	2
116	в которой	4	2
117	дневнике писателя	1	2
118	ее в	2	2
119	о которой	1	2
120	не все	3	2
121	одно из	1	2
122	что и	5	2
123	для человека	1	2
124	добро и	2	2
125	в истории	5	2
126	в единстве	5	2
127	его в	7	2
128	ведь это	1	2
129	ко всем	1	2
130	мысль о	1	2
131	вместо того	1	2
132	и с	4	2
133	что же	5	2
134	то к	2	2
135	и там	1	2
136	сказать что	7	2
137	что для	1	2
138	тем что	3	2
139	него не	2	2
140	что есть	1	2
141	из всего	3	2
142	и на	8	2
143	в других	1	2
144	учение о	3	2
145	что все	3	2
146	ничего не	9	2
147	хотя и	1	2
148	не есть	6	2
149	в своей	5	2
150	момент в	3	2
151	в глубь	1	2
152	жизни в	5	2
153	по себе	5	2
154	не имеет	6	2
155	к этому	10	2
156	том что	12	2
157	и для	15	2
158	в ее	9	2
159	подойти к	3	2
160	но в	13	2
161	и нет	1	2
162	уже с	2	1
163	чтобы сделать	1	1
164	что было	2	1
165	науки о	6	1
166	и мир	2	1
167	к одному	5	1
168	в каждом	8	1
169	и весь	1	1
170	во всяком	8	1
171	связан с	1	1
172	не так	2	1
173	ни к	3	1
174	его и	3	1
175	но можно	1	1
176	во внешнем	2	1
177	совершенно не	6	1
178	в потоке	2	1
179	бытия как	1	1
180	а потому	1	1
181	то он	1	1
182	ее и	1	1
183	лишь к	1	1
184	словом только	1	1
185	но оно	1	1
186	не допускает	1	1
187	для его	1	1
188	а с	1	1
189	не существует	6	1
190	все его	1	1
191	и других	3	1
192	стремиться к	1	1
193	для нашего	1	1
194	в котором	6	1
195	и здесь	9	1
196	та же	1	1
197	по природе	1	1
198	после этого	1	1
199	он ни	2	1
200	существует лишь	2	1
201	они и	3	1
202	для русской	1	1
203	же и	3	1
204	и лишь	3	1
205	которым можно	1	1
206	не имеют	5	1
207	каждом из	1	1
208	сам и	1	1
209	человека не	1	1
210	того как	1	1
211	к одной	2	1
212	так для	1	1
213	и пр	31	1
214	и везде	1	1
215	его с	1	1
216	она не	2	1
217	должна быть	6	1
218	мы не	6	1
219	смысле слова	4	1
220	связана с	4	1
221	не идет	3	1
222	атмосферу и	1	1
223	еще более	1	1
224	также и	1	1
225	ту же	2	1
226	но не	2	1
227	по сравнению	1	1
228	природе своей	1	1
229	вопросу о	1	1
230	для многих	1	1
231	не по	1	1
232	но всегда	1	1
233	образ и	2	1
234	с какой	1	1
235	быть не	2	1
236	быть осуществлено	1	1
237	был бы	1	1
238	в ней	5	1
239	из всех	1	1
240	художественного творчества	1	1
241	что это	3	1
242	и зло	1	1
243	а ведь	1	1
244	и тогда	2	1
245	речи и	6	1
246	и нигде	1	1
247	этом отношении	4	1
248	может служить	1	1
249	всяком случае	4	1
250	он и	2	1
251	о чем	1	1
252	их жизни	1	1
253	сознания в	1	1
254	в сущности	17	1
255	а ее	1	1
256	только их	1	1
257	но тем	1	1
258	все основные	3	1
259	в частности	2	1
260	как это	2	1
261	ни был	1	1
262	творчества но	1	1
263	о нем	1	1
264	между двумя	4	1
265	народа и	1	1
266	но может	1	1
267	на нем	1	1
268	возможен лишь	1	1
269	идти в	1	1
270	распадается на	2	1
271	они что	1	1
272	со стороны	2	1
273	в которую	1	1
274	не принять	1	1
275	в науке	6	1
276	не с	2	1
277	отношении к	8	1
278	не хочет	1	1
279	неосуществима на	1	1
280	и что	2	1
281	в одном	2	1
282	на самом	10	1
283	у нас	4	1
284	в отношении	7	1
285	можно было	2	1
286	уже указывали	1	1
287	нет никакой	3	1
288	же не	2	1
289	бы и	2	1
290	был признан	1	1
291	и это	6	1
292	природной и	1	1
293	смысле этого	7	1
294	там и	3	1
295	этой речи	1	1
296	и когда	1	1
297	и до	4	1
298	нет никакого	1	1
299	этими двумя	2	1
300	с их	2	1
301	знания в	1	1
302	и женщины	1	1
303	б это	1	1
304	в русском	1	1
305	по своей	1	1
306	от того	4	1
307	же принадлежит	1	1
308	цели и	1	1
309	у нее	1	1
310	в форме	3	1
311	говорит он	2	1
312	связь с	4	1
313	сказать с	1	1
314	и всех	1	1
315	перед ним	1	1
316	не совпадает	2	1
317	где оно	1	1
318	и даже	4	1
319	психологии и	7	1
320	особого рода	1	1
321	всегда и	3	1
322	движении и	1	1
323	и проблема	1	1
324	если бы	12	1
325	самом деле	18	1
326	иногда и	3	1
327	и формы	5	1
