N	3gram	Losev_Dial	Literetu
1	в том что	12	21
2	в то же	7	21
3	то же время	8	21
4	с одной стороны	3	12
5	не может быть	4	11
6	в данном случае	1	11
7	так или иначе	3	10
8	о том что	6	10
9	в этом отношении	2	10
10	с точки зрения	18	8
11	не говоря уже	1	8
12	с другой стороны	7	7
13	говоря уже о	1	6
14	к тому же	2	6
15	из того что	1	6
16	подобно тому как	1	6
17	не только в	2	6
18	тем не менее	3	5
19	в том чтобы	1	5
20	в связи с	3	5
21	в силу своей	2	4
22	и то что	1	4
23	и т п	3	3
24	одной стороны и	3	3
25	в самом деле	3	3
26	ничего общего с	3	3
27	речь идет о	1	3
28	то же самое	3	3
29	той или иной	4	3
30	только в том	1	3
31	никогда не бывает	1	3
32	на то что	4	3
33	на самом деле	3	3
34	по крайней мере	11	3
35	по большей части	1	3
36	ту или иную	1	3
37	как например в	1	3
38	во всяком случае	3	3
39	то что я	2	3
40	и в частности	4	3
41	имеется в виду	3	2
42	для того чтобы	1	2
43	сказать и о	1	2
44	и то же	8	2
45	в отношении к	1	2
46	и вместе с	1	2
47	тех или иных	1	2
48	может быть названа	1	2
49	а со стороны	1	2
50	к тому что	3	2
51	только то что	6	2
52	а не только	1	2
53	мы имеем дело	1	2
54	в чистом виде	1	2
55	может и не	2	2
56	в своей свободе	1	2
57	вместе с тем	1	2
58	при всей своей	1	2
59	но и в	1	2
60	обратим внимание на	1	2
61	в себе и	1	2
62	которые могли бы	1	2
63	в виду не	1	2
64	в полной мере	1	2
65	я не могу	2	2
66	дело в том	1	2
67	одно и то	8	2
68	в сравнении с	1	2
69	можно было бы	4	2
70	это уже не	1	2
71	на первый взгляд	2	2
72	жизни и в	2	2
73	и не только	4	2
74	что же касается	1	2
75	в той или	3	1
76	имеет ничего общего	3	1
77	одного из них	1	1
78	человек и как	1	1
79	что он не	2	1
80	не есть произведение	1	1
81	как будто бы	3	1
82	на том или	1	1
83	по себе но	2	1
84	как бы одного	1	1
85	чего и что	1	1
86	на задний план	1	1
87	в меру своего	2	1
88	внутреннего и внешнего	8	1
89	тех пор все	1	1
90	ни к богу	1	1
91	это не только	1	1
92	в основе всех	1	1
93	но уже и	3	1
94	чем он сам	1	1
95	к этой идее	1	1
96	это надо для	1	1
97	на свете есть	1	1
98	бы не было	1	1
99	не в том	2	1
100	далеко не всегда	1	1
101	друг от друга	1	1
102	то в чем	3	1
103	более или менее	5	1
104	но даже и	1	1
105	все новые и	1	1
106	во многих отношениях	1	1
107	а в том	1	1
108	одних и тех	1	1
109	с тем чтобы	1	1
110	до сих пор	4	1
111	все более и	1	1
112	если бы они	1	1
113	в этом и	1	1
114	иметь в виду	4	1
115	в конце концов	4	1
116	мы никогда не	1	1
117	не имеет ничего	3	1
118	в зависимости от	2	1
119	нельзя сказать что	3	1
120	мы все время	1	1
121	и в то	3	1
122	ничего такого чего	1	1
123	том что в	1	1
124	но в силу	1	1
125	как это вполне	1	1
126	для того кто	1	1
127	как раз и	1	1
128	сама по себе	12	1
129	а не с	1	1
130	с тех пор	2	1
131	не нуждается в	6	1
132	но все же	2	1
133	потому что здесь	1	1
134	в последнем случае	1	1
135	что он с	1	1
136	своего реального осуществления	1	1
137	неба и земли	1	1
138	между искусством и	1	1
139	имея в виду	1	1
140	но это не	2	1
141	и в том	1	1
142	на всю жизнь	1	1
143	и в этом	4	1
144	может быть только	2	1
145	но это и	1	1
146	и тем не	1	1
147	и никто не	1	1
148	которые не могут	1	1
149	а не просто	1	1
150	пространством и временем	1	1
151	вместе с ним	1	1
152	в поэзии тютчева	1	1
153	с такой же	1	1
154	у тютчева и	1	1
155	в нас а	1	1
156	в данный момент	1	1
157	и в особенности	1	1
158	в это время	1	1
159	не может и	3	1
160	в котором мы	1	1
161	том или ином	1	1
162	и по этой	2	1
163	это как раз	1	1
164	может быть в	2	1
165	как это было	1	1
166	как один из	2	1
167	того же самого	1	1
168	не в состоянии	1	1
169	том что для	1	1
170	именно то что	1	1
171	что у меня	1	1
172	и тех же	1	1
173	и пространства и	1	1
174	не что иное	4	1
175	более и более	1	1
176	так как будто	2	1
177	и даже в	3	1
178	и не слыхал	1	1
179	хотя и не	1	1
180	несмотря на свою	1	1
181	всегда так или	1	1
182	однако это не	1	1
183	и вот она	1	1
184	субъекта и объекта	4	1
185	она уже не	1	1
186	там где есть	1	1
187	это еще не	1	1
188	и мы пошли	1	1
189	друг другу но	1	1
190	но в то	1	1
191	содержит в себе	5	1
192	как раз в	1	1
193	такова же и	1	1
194	это и не	2	1
195	только потому что	4	1
196	с поэзией в	1	1
197	во всех этих	1	1
198	ни с какой	5	1
199	именно в том	1	1
200	тогда когда оно	2	1
201	было бы и	2	1
202	в этом его	1	1
203	с самого начала	2	1
204	содержат в себе	2	1
205	том что он	1	1
206	в первую очередь	1	1
207	и вовсе не	1	1
208	не могут быть	1	1
209	не есть ли	2	1
210	так что уже	2	1
211	сказать что по	1	1
212	или иную вещь	1	1
213	как человек и	1	1
214	и в литературе	1	1
215	что иное как	4	1
216	все тем же	1	1
217	так что видно	1	1
218	мы уже не	1	1
219	в искусстве но	1	1
220	и не может	1	1
221	вопрос о том	1	1
222	приводит к тому	1	1
223	это и есть	3	1
224	само по себе	7	1
225	самого по себе	3	1
226	что несмотря на	1	1
227	традиции еще не	1	1
228	все равно с	1	1
229	новые и новые	1	1
230	может быть и	6	1
