N	2gram	Voloshinov	Mirosoze
1	и в	42	97
2	у достоевского	1	94
3	может быть	13	64
4	не только	28	63
5	в этом	10	55
6	но и	16	54
7	он не	2	53
8	а не	7	53
9	в нем	6	49
10	не может	13	49
11	у него	1	47
12	и не	14	39
13	никогда не	7	38
14	в ней	8	37
15	потому что	7	37
16	не было	2	36
17	не в	6	34
18	и есть	1	33
19	для него	3	31
20	не есть	2	30
21	человека в	2	30
22	как и	12	29
23	прежде всего	22	29
24	и он	2	27
25	в мире	2	27
26	но в	5	27
27	человека и	2	26
28	в своей	2	25
29	и это	8	25
30	и все	4	24
31	у нас	4	24
32	в своем	1	23
33	что в	1	23
34	что он	2	22
35	в самом	5	21
36	в себе	10	20
37	отношение к	2	20
38	как бы	30	19
39	до конца	2	19
40	человек не	2	19
41	в его	6	18
42	того что	4	17
43	и потому	2	17
44	том что	3	16
45	в том	3	16
46	то что	9	16
47	было бы	7	16
48	и его	7	16
49	быть может	3	15
50	в котором	3	15
51	не был	1	15
52	не знает	3	15
53	в этой	6	15
54	в конце	6	14
55	она не	1	14
56	нет ничего	2	14
57	те которые	1	14
58	так как	8	14
59	та же	3	13
60	и на	7	13
61	друг друга	2	13
62	и вот	3	13
63	к нему	2	12
64	но не	2	12
65	смысле слова	1	12
66	это не	3	12
67	все это	4	12
68	и к	4	11
69	с тем	8	11
70	уже не	4	11
71	хотя бы	18	11
72	в которой	7	11
73	в русской	1	11
74	был бы	2	11
75	только в	7	11
76	как в	3	11
77	но это	2	11
78	и для	3	11
79	жизни и	3	11
80	то же	16	10
81	так же	4	10
82	для человека	1	10
83	один из	4	10
84	не могут	1	10
85	это и	1	10
86	в самой	1	10
87	человека к	1	10
88	есть не	2	10
89	все что	1	9
90	к тому	4	9
91	не мог	3	9
92	должно быть	2	9
93	что и	3	9
94	х годов	1	9
95	я не	1	9
96	не будет	3	9
97	он уже	1	9
98	то есть	5	9
99	с ним	2	9
100	вместе с	5	9
101	человека на	1	9
102	в свою	6	9
103	и во	1	9
104	бы и	2	9
105	а в	5	9
106	лишь в	4	9
107	в этих	2	8
108	и с	5	8
109	тем что	2	8
110	о том	4	8
111	вопрос о	2	8
112	человека не	4	8
113	себя в	4	8
114	за пределы	1	8
115	не так	3	8
116	в отношении	2	8
117	еще в	1	8
118	нет в	1	8
119	того чтобы	7	8
120	человек должен	1	8
121	нет и	3	8
122	с его	8	8
123	ничего не	8	8
124	уже в	5	8
125	мира и	1	8
126	для того	9	8
127	что человек	1	7
128	если он	3	7
129	не существует	4	7
130	в нашем	5	7
131	точки зрения	11	7
132	те же	5	7
133	на этом	1	7
134	в жизни	2	7
135	отношения к	3	7
136	более чем	1	7
137	он в	1	7
138	мог бы	1	7
139	но если	1	7
140	высшей степени	1	7
141	в высшей	1	7
142	должен быть	2	7
143	также и	2	7
144	как он	1	7
145	все еще	1	7
146	же и	1	6
147	с этой	1	6
148	не как	1	6
149	и нет	2	6
150	было в	4	6
151	увидим что	2	6
152	и те	2	6
153	всего в	4	6
154	что у	3	6
155	там и	1	6
156	его в	4	6
157	к чему	2	6
158	тогда только	1	6
159	у них	3	6
160	можно было	4	6
161	по своей	2	6
162	чтобы не	1	6
163	и от	7	6
164	и здесь	3	6
165	что это	4	6
166	если бы	4	6
167	в которых	2	6
168	бы не	2	6
169	у человека	2	6
170	к людям	1	6
171	в ее	3	6
172	того как	1	6
173	должен был	1	6
174	на все	1	6
175	его не	2	6
176	на то	1	6
177	не к	4	6
178	еще не	3	5
179	бы в	6	5
180	с самим	2	5
181	мысли и	1	5
182	одно из	1	5
183	с собой	2	5
184	и как	10	5
185	с этим	2	5
186	для этого	2	5
187	мы увидим	5	5
188	до того	3	5
189	перед ним	3	5
190	сказать что	3	5
191	к которому	2	5
192	все время	5	5
193	на протяжении	1	5
194	пройти через	1	5
195	есть явление	1	5
196	от этого	1	5
197	сих пор	2	5
198	вопроса о	4	5
199	должны быть	1	5
200	культуры и	1	5
201	в то	9	5
202	когда он	1	5
203	до сих	1	5
204	и этот	2	5
205	да и	4	5
206	его и	3	5
207	то он	3	5
208	в основе	3	5
209	и если	1	5
210	жизни это	3	5
211	той же	7	5
212	тот же	2	5
213	человека но	1	5
214	в более	1	5
215	этот процесс	2	5
216	которых он	1	5
217	так и	7	5
218	в их	2	5
219	и ивана	2	5
220	связано с	2	5
221	думать что	1	5
222	на путь	1	5
223	как будто	1	5
224	в той	5	4
225	что было	3	4
226	еще более	2	4
227	в разных	3	4
228	и женщины	1	4
229	в своих	2	4
230	и даже	3	4
231	человека для	1	4
232	на природу	1	4
233	жизни он	1	4
234	нельзя было	1	4
235	не всегда	2	4
236	в него	2	4
237	по отношению	2	4
238	не что	4	4
239	себе в	2	4
240	знаете ли	1	4
241	в движении	2	4
242	мы видим	4	4
243	в христианском	1	4
244	что иное	2	4
245	в каждом	4	4
246	понять его	1	4
247	лежит в	1	4
248	будто бы	1	4
249	тому что	5	4
250	себе и	2	4
251	в чем	1	4
252	а с	5	4
253	так что	1	4
254	более всего	1	4
255	и что	1	4
256	мужчины и	1	4
257	и никогда	1	4
258	и по	1	4
259	от всякого	1	4
260	его с	1	4
261	тогда когда	1	4
262	с ума	1	4
263	для них	2	4
264	ни в	1	4
265	с ней	2	4
266	в начале	3	4
267	вряд ли	3	4
268	к которой	1	4
269	перейти в	2	4
270	по сравнению	1	4
271	и тогда	2	4
272	в середине	2	4
273	и до	1	4
274	в истории	1	4
275	к миру	2	4
276	они были	1	4
277	он должен	3	4
278	как к	1	4
279	может не	1	4
