N	2gram	Losev_Vlad	Analitik
1	не только	35	71
2	тогда как	1	67
3	и в	56	66
4	в качестве	7	61
5	но и	26	57
6	в том	26	52
7	может быть	12	52
8	в этом	30	51
9	в частности	4	51
10	как и	7	50
11	и не	33	48
12	а не	5	42
13	при этом	5	40
14	том что	22	40
15	то есть	5	35
16	так и	11	35
17	представляет собой	1	30
18	своего рода	1	30
19	отнюдь не	3	29
20	как бы	5	29
21	не может	12	29
22	а в	20	28
23	в его	18	27
24	и его	12	27
25	не в	12	26
26	но не	5	26
27	в себе	5	24
28	что в	24	22
29	и даже	23	22
30	к тому	5	22
31	в этой	4	22
32	лишь в	3	21
33	о том	13	20
34	я в	4	20
35	в самом	3	19
36	то же	10	19
37	в своей	7	19
38	по отношению	1	19
39	с его	15	19
40	но в	19	19
41	в данном	1	18
42	в то	15	18
43	тем самым	2	17
44	с другой	3	17
45	только в	11	17
46	со стороны	5	17
47	такого рода	4	17
48	в целом	3	17
49	что и	6	16
50	то что	30	16
51	и на	7	15
52	не есть	4	15
53	уже не	6	15
54	прежде всего	5	15
55	в сущности	2	15
56	в их	2	15
57	не менее	9	14
58	того же	11	14
59	себя в	6	14
60	я и	2	14
61	в себя	1	14
62	мы имеем	2	14
63	же время	7	14
64	столь же	1	14
65	далеко не	1	14
66	по себе	3	13
67	точки зрения	4	13
68	тому же	3	13
69	он не	13	13
70	этого слова	1	13
71	ничего не	4	13
72	как раз	7	13
73	для него	16	13
74	а также	12	13
75	в начале	7	13
76	и к	10	12
77	и сам	7	12
78	никогда не	15	12
79	как это	11	12
80	сводится к	1	12
81	как в	6	12
82	еще не	2	12
83	произведения как	2	12
84	есть не	1	12
85	в той	2	11
86	даже в	4	11
87	имеем дело	1	11
88	по своей	4	11
89	в свою	3	11
90	той же	6	11
91	это не	3	11
92	можно сказать	10	11
93	и как	7	11
94	во второй	3	11
95	не с	1	11
96	не следует	1	11
97	именно в	4	10
98	все же	11	10
99	едва ли	3	10
100	с одной	1	10
101	в произведении	2	10
102	в конце	22	10
103	было бы	7	10
104	и одновременно	1	10
105	отношения к	4	10
106	здесь не	6	10
107	со своей	5	10
108	особенно в	2	10
109	и самого	2	10
110	один из	4	10
111	на себя	3	10
112	говорить о	1	9
113	говорит о	1	9
114	не столько	4	9
115	в результате	6	9
116	другой стороны	3	9
117	и того	1	9
118	одной стороны	1	9
119	свою очередь	2	9
120	том чтобы	4	9
121	в своем	10	9
122	по поводу	15	9
123	крайней мере	1	9
124	таким образом	6	9
125	во всех	4	9
126	в русской	1	9
127	за пределы	3	9
128	только не	2	9
129	особого рода	2	9
130	вместе с	9	9
