N	2gram	Propp_Isto	IolandNe
1	и с	8	3
2	что в	18	2
3	он не	5	2
4	должен быть	2	2
5	ничего не	4	2
6	и не	19	2
7	в этом	20	2
8	все эти	11	1
9	для того	3	1
10	а в	9	1
11	и о	2	1
12	же это	1	1
13	утверждает что	1	1
14	это было	2	1
15	что для	1	1
16	для него	2	1
17	тех же	2	1
18	тем что	12	1
19	не случайно	1	1
20	а позднее	1	1
21	только что	3	1
22	а если	2	1
23	того же	3	1
24	художественного творчества	1	1
25	не так	1	1
26	и др	6	1
27	жизни и	4	1
28	комплекс в	1	1
29	с другой	11	1
30	но когда	3	1
31	в целом	4	1
32	более чем	1	1
33	он с	1	1
34	литература о	1	1
35	очевидно что	3	1
36	другой стороны	10	1
37	я не	1	1
38	себя в	6	1
39	автор не	1	1
40	могло бы	1	1
41	то и	1	1
42	после смерти	3	1
43	и еще	1	1
44	что при	5	1
45	как только	2	1
46	если бы	5	1
47	отношению к	2	1
48	в руки	3	1
49	следующим образом	1	1
50	доказать что	1	1
51	по существу	2	1
52	и сам	2	1
53	того что	3	1
54	цель и	1	1
55	работы не	2	1
56	них не	2	1
57	а с	2	1
58	только для	1	1
59	и тот	1	1
60	а также	5	1
61	его цель	1	1
62	так и	9	1
63	свою жену	1	1
64	отметим только	1	1
65	в основе	3	1
66	о ней	1	1
67	от этого	6	1
68	того чтобы	3	1
69	бы в	1	1
70	этим и	1	1
71	не дает	2	1
72	а по	3	1
73	есть только	1	1
74	и в	44	1
75	никогда не	5	1
76	и и	1	1
77	все это	4	1
78	по отношению	2	1
79	на котором	3	1
80	как о	1	1
81	в них	3	1
82	во многом	1	1
