N	2gram	Tiupa_Vved	Sovremen
1	не может	14	17
2	может быть	25	12
3	точки зрения	1	12
4	таким образом	6	11
5	мы не	6	9
6	в этом	27	7
7	и в	23	7
8	не можем	2	7
9	мы можем	2	6
10	в результате	5	6
11	только одна	1	6
12	как и	21	6
13	ничего не	3	6
14	и не	24	6
15	прежде всего	11	5
16	что же	6	5
17	все эти	1	5
18	и наконец	2	5
19	а в	15	4
20	это не	7	4
21	не только	32	4
22	мы должны	1	4
23	с помощью	1	4
24	как бы	8	4
25	если мы	1	4
26	в зависимости	1	4
27	их в	3	4
28	жизни и	8	4
29	вместе с	2	4
30	в целом	4	4
31	в том	21	4
32	зависимости от	1	4
33	из них	1	4
34	точку зрения	2	4
35	мы видели	3	4
36	и к	2	3
37	и потому	2	3
38	и мы	1	3
39	с самого	1	3
40	уже в	2	3
41	то же	8	3
42	при этом	43	3
43	не в	12	3
44	а не	31	3
45	для нас	4	3
46	все это	3	3
47	как он	2	3
48	в одном	5	3
49	у нас	4	3
50	самого начала	1	3
51	в конце	3	3
52	и т.д	6	3
53	было бы	4	3
54	в первом	3	3
55	в этой	2	3
56	он в	1	3
57	и все	8	3
58	его развития	1	3
59	в себе	15	3
60	следующим образом	1	3
61	ясно что	2	3
62	не подлежит	2	3
63	что она	2	3
64	он может	1	3
65	одна из	5	3
66	все же	10	3
67	при таком	2	3
68	в области	5	3
69	между собой	2	3
70	отнюдь не	14	3
71	в нем	9	3
72	но в	14	3
73	еще не	8	3
74	что в	6	2
75	тем не	3	2
76	в самом	6	2
77	совершенно не	2	2
78	мы видим	1	2
79	значение в	1	2
80	и что	2	2
81	и пространства	1	2
82	отличие от	11	2
83	развития при	1	2
84	которой он	1	2
85	то и	2	2
86	с одной	9	2
87	теперь же	2	2
88	в отличие	11	2
89	такого рода	23	2
90	в свою	5	2
91	из этих	5	2
92	в его	9	2
93	во всяком	3	2
94	в которую	1	2
95	еще более	2	2
96	можно назвать	2	2
97	что это	2	2
98	быть и	2	2
99	из которых	1	2
100	что такое	23	2
101	если же	1	2
102	говорить о	5	2
103	на его	2	2
104	в науке	1	2
105	в третьем	2	2
106	на их	1	2
107	у него	8	2
108	для его	1	2
109	не могут	1	2
110	в виде	1	2
111	со всеми	1	2
112	а на	4	2
113	свою очередь	5	2
114	первые два	2	2
115	и даже	3	2
116	как известно	2	2
117	самом деле	6	2
118	ни одна	1	2
119	к чему	1	2
120	же самое	2	2
121	как мы	5	2
122	настоящее время	1	2
123	она может	2	2
124	скажем в	1	2
125	тем же	1	2
126	и во	2	2
127	той же	3	2
128	о жизни	2	2
129	могут быть	5	2
130	в таком	2	2
131	в нашем	9	2
132	уже не	7	2
133	и есть	2	2
134	что все	1	2
135	или иной	5	2
136	на этот	2	2
137	на этом	1	2
138	роль в	2	2
139	не менее	4	2
140	так сказать	2	2
141	приводит к	2	2
142	и по	3	2
143	из четырех	3	2
144	времени и	7	2
145	в и	1	2
146	на котором	1	2
147	из одного	1	2
148	в настоящее	1	2
149	каждого из	2	2
150	на другом	1	2
151	тот же	1	2
152	всяком случае	3	2
153	№ с	1	2
154	жизни но	1	1
155	во всех	2	1
156	все они	2	1
157	только одно	1	1
158	к началу	1	1
159	та самая	1	1
160	к которому	2	1
161	именно к	2	1
162	это и	1	1
163	его и	1	1
164	этом случае	1	1
165	реагирует на	1	1
166	и составляет	3	1
167	только не	1	1
168	искать в	1	1
169	а потому	1	1
170	во втором	4	1
171	то он	2	1
172	человека в	2	1
173	к различным	3	1
174	но как	1	1
175	то они	1	1
176	не является	7	1
177	в данном	22	1
178	только к	1	1
179	при условии	1	1
180	еще раз	1	1
181	и более	5	1
182	осуществляется в	1	1
183	та же	1	1
184	вытекает из	1	1
185	и принципиального	1	1
186	в действительности	1	1
187	опирается на	1	1
188	от его	1	1
189	что иное	1	1
190	в живой	1	1
191	которых в	2	1
192	в процессе	1	1
193	данном случае	15	1
194	свои позиции	1	1
195	ли это	2	1
196	связи с	2	1
197	раз и	2	1
198	если в	3	1
199	указать на	1	1
200	к области	1	1
201	человек и	1	1
202	его с	2	1
203	идет о	3	1
204	в течение	2	1
205	она в	2	1
206	одной стороны	9	1
207	на другой	2	1
208	это то	1	1
209	на друга	2	1
210	одна и	1	1
211	мы имеем	8	1
212	и у	2	1
213	быть в	1	1
214	процесс развития	1	1
215	в другом	2	1
216	сложное и	1	1
217	совсем не	1	1
218	несмотря на	2	1
219	это только	3	1
220	том как	4	1
221	мы всегда	1	1
222	чем объясняется	1	1
223	в ней	5	1
224	которых он	1	1
225	из всех	1	1
226	друг на	2	1
227	на второй	1	1
228	человека как	1	1
229	явлений к	1	1
230	хотя и	10	1
231	с другой	10	1
232	в этот	3	1
233	подчеркнуть что	5	1
234	с ним	3	1
235	о методе	1	1
236	она уже	1	1
237	это уже	2	1
238	что вся	1	1
239	он не	6	1
240	за собой	1	1
241	он ищет	1	1
242	и т.п	14	1
243	из двенадцати	1	1
244	и той	1	1
245	одной и	1	1
246	те же	2	1
247	между двумя	5	1
248	вследствие этого	5	1
249	аналогии с	2	1
250	всеми этими	1	1
251	как у	3	1
252	и вся	3	1
253	только на	2	1
254	но они	3	1
255	партнером в	1	1
256	и их	1	1
257	и соответственно	4	1
258	что произошло	1	1
259	все что	3	1
260	не приходится	1	1
261	и та	1	1
262	в известном	1	1
263	на самом	5	1
264	поставленный вопрос	3	1
265	только тот	1	1
266	для них	3	1
267	определенным образом	1	1
268	можно было	2	1
269	и наиболее	1	1
270	нейтральной точки	1	1
271	но только	1	1
272	случае он	1	1
273	и от	3	1
274	в начале	3	1
275	увидим до	1	1
276	факт что	1	1
277	этом направлении	2	1
278	по отношению	11	1
279	еще в	3	1
280	говорить что	1	1
281	но отнюдь	1	1
282	стороны и	4	1
283	и само	2	1
284	и тот	1	1
285	а далее	1	1
286	только в	9	1
287	такие определения	1	1
288	в совершенно	1	1
289	которая не	2	1
290	отличать от	1	1
291	все равно	2	1
292	же время	4	1
293	видим не	1	1
294	не случайно	1	1
295	свобода выбора	1	1
296	так же	2	1
297	его в	1	1
298	собственно и	2	1
299	то она	1	1
300	перед глазами	1	1
301	в обоих	3	1
302	себе в	1	1
303	нуждаются в	1	1
304	должен был	2	1
305	с человеком	2	1
306	в конечном	2	1
307	в своих	5	1
308	не вытекает	1	1
309	не было	5	1
310	с его	1	1
311	предполагается что	1	1
312	один из	3	1
313	в духе	1	1
314	если бы	10	1
315	не знает	2	1
316	или в	3	1
317	заключает в	4	1
318	а о	1	1
319	этого не	2	1
320	ни одного	1	1
321	это означало	1	1
322	ни о	2	1
323	к одному	2	1
324	их по	1	1
325	и еще	1	1
326	как его	2	1
327	в эту	1	1
328	развиваются в	1	1
329	так называемый	1	1
330	двух и	1	1
331	исчезает из	1	1
332	для каждого	1	1
333	дело в	1	1
334	крайней мере	1	1
335	известном смысле	1	1
336	о другом	1	1
337	во многом	1	1
338	сами по	1	1
339	одного из	3	1
340	в данной	2	1
341	природы и	1	1
342	же как	1	1
343	сказать что	1	1
344	быть только	2	1
345	явлениям жизни	1	1
346	развернуть в	1	1
347	жизни как	2	1
348	но для	1	1
349	и благодаря	1	1
350	опыта и	1	1
351	именно в	1	1
352	и до	1	1
353	но никогда	1	1
354	конечном счете	2	1
355	это делает	1	1
356	мы это	1	1
357	при которой	3	1
358	принадлежит и	3	1
359	благодаря этому	1	1
360	предлагает нам	1	1
361	и чисто	1	1
362	обратимся к	2	1
363	отношению к	11	1
364	одной из	1	1
365	же мере	1	1
366	случае не	1	1
367	в своем	9	1
368	в корне	1	1
369	она и	1	1
370	по аналогии	4	1
371	любого другого	1	1
372	этом смысле	1	1
373	может оказаться	1	1
374	в связи	1	1
375	где у	1	1
376	в какой	4	1
377	означало бы	2	1
378	между ними	1	1
379	во всей	1	1
380	части на	1	1
381	этот раз	3	1
382	частном случае	1	1
383	же в	3	1
384	это что	1	1
385	том что	16	1
386	составляют его	1	1
387	обоих случаях	1	1
388	в мире	9	1
389	же остается	1	1
390	и прежде	1	1
391	на эту	1	1
392	жизни в	5	1
393	но не	9	1
394	нормального хода	1	1
395	так в	5	1
396	бы эти	1	1
397	но если	1	1
398	они не	3	1
399	к концу	1	1
400	по себе	2	1
401	он сам	1	1
402	оно может	1	1
403	не имеет	3	1
404	и могут	1	1
405	на какой	1	1
406	к этому	3	1
