N	3gram	Propp_Isto	Marksizm
1	с точки зрения	1	46
2	не может быть	5	25
3	в самом деле	1	19
4	по отношению к	3	15
5	в том что	7	14
6	в связи с	1	14
7	и не может	1	12
8	то ни было	1	12
9	бы то ни	1	12
10	для того чтобы	1	11
11	до сих пор	4	11
12	в большинстве случаев	1	9
13	как если бы	1	9
14	то же самое	1	8
15	смысле этого слова	1	7
16	с другой стороны	17	7
17	как мы уже	1	6
18	на то что	1	6
19	во всяком случае	3	6
20	с одной стороны	11	6
21	к тому что	1	5
22	и те же	1	5
23	как мы видели	3	5
24	в этом случае	4	5
25	мы уже знаем	5	4
26	в зависимости от	3	4
27	но все же	3	4
28	о том что	9	4
29	можно сказать что	1	4
30	и здесь мы	2	4
31	том что он	1	4
32	и тот же	1	3
33	не только в	9	3
34	тем не менее	4	3
35	одной стороны и	1	3
36	более или менее	3	3
37	друг с другом	1	3
38	мы не будем	2	3
39	между этими двумя	1	3
40	а не в	1	3
41	но и в	4	3
42	один и тот	1	3
43	на первый план	1	3
44	и не в	1	3
45	и что это	1	3
46	на этот вопрос	3	3
47	можно было бы	3	3
48	лежит в основе	2	3
49	что он не	1	2
50	и небо и	1	2
51	в этом направлении	1	2
52	но по мере	1	2
53	или может быть	1	2
54	что во всех	1	2
55	так или иначе	2	2
56	так и в	3	2
57	обстоит дело с	1	2
58	мы видели что	4	2
59	в данном случае	7	2
60	определяется не только	1	2
61	и в других	2	2
62	к тому же	1	2
63	героя как бы	1	2
64	сама по себе	1	2
65	лицом к лицу	1	2
66	мы видели как	3	2
67	со всех сторон	1	2
68	сами по себе	1	2
69	и в особенности	1	2
70	а иногда и	1	2
71	ту или иную	1	2
72	как и в	3	2
73	в этом и	2	2
74	независимо от того	2	2
75	характерно что в	2	2
76	и та же	1	2
77	в достаточной степени	2	2
78	так же как	4	2
79	же как и	1	2
80	с тем что	2	2
81	как мы увидим	1	2
82	одна и та	1	2
83	в нем и	1	2
84	вопрос о том	1	2
85	что у нас	1	1
86	другой же стороны	1	1
87	соответствии с этим	1	1
88	это не значит	1	1
89	однако и в	1	1
90	с собой и	1	1
91	в более или	1	1
92	и что его	1	1
93	то что он	1	1
94	никогда не будет	1	1
95	это далеко не	1	1
96	как это делают	1	1
97	находятся в состоянии	1	1
98	на том что	2	1
99	по вопросу о	1	1
100	мы можем назвать	1	1
101	из этих двух	1	1
102	то что не	1	1
103	и вне этого	1	1
104	до наших дней	1	1
105	в предыдущей главе	1	1
106	с этой точки	3	1
107	он не может	1	1
108	этого он не	1	1
109	и вот мы	1	1
110	совершенно так же	1	1
111	от своего собственного	1	1
112	но есть и	2	1
113	нами в предыдущей	1	1
114	и тех условий	1	1
115	может быть дано	1	1
116	смысла и значения	1	1
117	не имеет значения	1	1
118	видим таким образом	1	1
119	или менее случайно	1	1
120	в иных случаях	1	1
121	не в целях	1	1
122	но и эта	1	1
123	таким образом что	1	1
124	что все эти	1	1
125	с тем и	1	1
126	ко всякого рода	1	1
127	другой стороны и	2	1
128	как в других	1	1
129	как бы он	1	1
130	не попасть в	1	1
131	по ту сторону	1	1
132	а с другой	1	1
133	а в том	2	1
134	и соответствующие им	1	1
135	связанные с этим	1	1
136	другой стороны оно	1	1
137	в рассмотрении нашего	1	1
138	о чем речь	1	1
139	обычно вовсе не	1	1
140	и как он	1	1
141	ничего не означает	1	1
142	друг на друга	2	1
143	мы увидим дальше	1	1
144	но то что	1	1
145	все это не	1	1
146	это значит что	2	1
147	у нас и	1	1
148	таким образом и	3	1
149	за руку и	1	1
150	в тех случаях	7	1
151	всецело зависит от	1	1
152	мы все же	1	1
153	и эта форма	1	1
154	мы видели не	1	1
155	ее и эта	1	1
156	на эти вопросы	1	1
157	но он не	1	1
158	после этого мы	2	1
159	всегда связано с	1	1
160	в ней нет	2	1
161	вместе с тем	6	1
162	вообще не существует	1	1
163	вступает в силу	1	1
164	не в его	1	1
165	тем что в	1	1
166	а именно к	1	1
167	он не только	1	1
168	в этом же	1	1
169	в противоречие с	1	1
170	в одной из	2	1
171	он делает это	1	1
172	речь может идти	2	1
173	не совсем так	1	1
174	что в эту	2	1
175	не может выйти	1	1
176	и пр есть	1	1
177	в другом месте	2	1
178	ничем не отличается	1	1
179	этой точки зрения	3	1
180	в своей работе	2	1
181	то что в	4	1
182	то что герой	1	1
183	к выводу что	1	1
184	он мог бы	1	1
185	конечно не в	1	1
186	и тем более	1	1
187	как только мы	1	1
188	не отличается от	1	1
189	в то время	4	1
190	в себе не	1	1
191	его за руку	1	1
192	все же не	1	1
193	только после этого	2	1
194	в обоих случаях	1	1
195	еще никем не	1	1
196	но уже в	1	1
197	здесь перед нами	1	1
198	с другом и	1	1
199	всех этих случаях	6	1
200	с другой же	1	1
201	таким образом оказывается	1	1
202	как мы видим	1	1
203	нам может быть	1	1
204	это не совсем	1	1
205	из этих форм	1	1
206	во всех этих	6	1
207	еще далеко не	1	1
208	не может получить	1	1
209	мы рассмотрим еще	1	1
210	но тем не	2	1
211	с переходом на	1	1
212	мы не видим	1	1
213	и что в	1	1
214	у него нет	1	1
215	сих пор мы	3	1
216	мы видим таким	1	1
217	тех случаях когда	6	1
218	в любой момент	1	1
219	иначе обстоит дело	1	1
220	одной стороны эти	1	1
221	по его мнению	1	1
222	мы увидим в	1	1
223	одна из них	1	1
224	между прочим и	2	1
225	мы уже говорили	1	1
226	во всем этом	1	1
227	нам кажется что	4	1
228	может выйти за	1	1
229	оно может быть	1	1
230	это прежде всего	1	1
231	к этому же	1	1
232	что он как	1	1
233	после того как	4	1
234	мы не можем	2	1
