N	4gram	Losev_Prob	Narrotol
1	дело в том что	3	3
2	внимание на то что	2	3
3	мысль о том что	2	2
4	и не может быть	1	2
5	и в то же	1	2
6	одного и того же	2	2
7	одно и то же	1	2
8	в той или иной	1	2
9	еще и потому что	1	2
10	по себе но как	2	1
11	не что иное как	5	1
12	но для того чтобы	1	1
13	можно сказать что он	2	1
14	объективна и не субъективна	1	1
15	но еще и потому	1	1
16	если бы не было	3	1
17	в определенный момент времени	1	1
18	не для того чтобы	1	1
19	является в данном случае	1	1
20	до поры до времени	1	1
21	с одной стороны и	2	1
22	не объективна и не	1	1
23	уж во всяком случае	1	1
24	именно то что он	1	1
25	не только потому что	1	1
26	и в них тоже	1	1
27	мы пока еще не	1	1
28	и не только в	1	1
29	в то время как	2	1
30	один и тот же	1	1
31	к тому или иному	1	1
32	и в самом деле	1	1
33	о том что в	1	1
34	в том числе и	2	1
35	настаивать на том что	1	1
36	представление о том что	1	1
37	иметь в виду и	1	1
38	в связи с этим	2	1
39	свидетельствует о том что	3	1
40	в том случае если	1	1
41	и с точки зрения	1	1
42	он не может быть	1	1
43	и тем не менее	8	1
44	как и многие другие	1	1
45	одним и тем же	2	1
46	в том или ином	1	1
47	есть не что иное	5	1
