N	3gram	Tiupa_Vved	KulturaY
1	для того чтобы	1	38
2	в том что	10	33
3	в самом деле	2	29
4	можно было бы	2	25
5	тем не менее	3	19
6	во всяком случае	3	19
7	с другой стороны	2	17
8	в зависимости от	1	16
9	в том чтобы	2	14
10	по отношению к	11	13
11	по крайней мере	1	13
12	только потому что	1	13
13	в связи с	1	12
14	и в самом	1	11
15	не может быть	6	11
16	в этом отношении	7	11
17	в этом смысле	1	10
18	о том что	6	10
19	того или иного	1	9
20	не в том	3	8
21	само по себе	1	8
22	на самом деле	4	8
23	не только в	3	8
24	в этом случае	1	8
25	мере в какой	2	7
26	в той мере	2	7
27	той мере в	2	7
28	а с другой	3	7
29	в свою очередь	5	7
30	с одной стороны	9	7
31	в отличие от	11	6
32	к тому же	6	6
33	то же время	4	6
34	той или иной	4	6
35	в то же	5	6
36	то или иное	1	5
37	речь идет о	3	5
38	более или менее	2	5
39	в соответствии с	8	5
40	в данном случае	15	5
41	и в этом	1	5
42	что же касается	2	5
43	как мы видели	3	5
44	в конечном счете	2	4
45	в первом случае	1	4
46	и того же	1	4
47	а в том	3	4
48	к тому что	1	4
49	состоит в том	2	4
50	одного и того	1	4
51	на то что	2	4
52	так же как	1	4
53	о том как	1	3
54	в той же	1	3
55	в таком случае	1	3
56	вместо того чтобы	1	3
57	как раз и	1	3
58	в наше время	1	3
59	в известном смысле	1	3
60	а не просто	1	3
61	большей или меньшей	1	3
62	в том смысле	1	3
63	к тому чтобы	1	3
64	и если мы	1	3
65	в настоящее время	1	3
66	в противном случае	2	3
67	у нас есть	1	3
68	в ряде случаев	1	2
69	потому что я	1	2
70	таким образом при	1	2
71	в той или	1	2
72	и прежде всего	1	2
73	том смысле что	1	2
74	здесь прежде всего	1	2
75	и в другом	1	2
76	внимание на то	1	2
77	у нас нет	2	2
78	в том числе	1	2
79	конечном счете к	1	2
80	и тот же	1	2
81	потому что она	1	2
82	друг от друга	2	2
83	по природе своей	2	2
84	и то же	1	2
85	может быть только	1	2
86	сами по себе	1	2
87	одних и тех	1	2
88	то же слово	1	2
89	и тех же	1	2
90	иметь в виду	1	2
91	и в то	1	2
92	том что на	1	2
93	хотя и не	2	2
94	на наших глазах	1	2
95	а не с	1	2
96	в известной мере	1	2
97	из того что	1	2
98	который в своем	1	2
99	а то и	2	2
100	в одном из	1	2
101	самом деле не	1	2
102	первом случае мы	1	2
103	так и не	4	2
104	не до конца	1	2
105	один и тот	1	2
106	том или ином	1	2
107	прежде всего в	1	2
108	можно сказать что	1	2
109	то что мы	1	2
110	и той же	1	2
111	по сравнению с	1	2
112	вовсе еще не	1	2
113	мы тем не	1	2
114	не что иное	1	2
115	может быть не	3	2
116	должен был бы	1	2
117	одной и той	1	2
118	вследствие того что	1	2
