N	2gram	Vygotskiy_	IolandNe
1	и с	4	3
2	что в	36	2
3	оба они	1	2
4	самого себя	1	2
5	он не	11	2
6	должен быть	4	2
7	бы что	2	2
8	ничего не	4	2
9	и не	20	2
10	в этом	37	2
11	говорить о	3	1
12	все эти	7	1
13	для того	18	1
14	и очень	3	1
15	а в	9	1
16	и о	6	1
17	утверждает что	3	1
18	это было	4	1
19	у всех	4	1
20	и та	3	1
21	что для	6	1
22	для него	4	1
23	не остается	1	1
24	при такой	2	1
25	тем что	7	1
26	чтобы доказать	1	1
27	только что	10	1
28	бы его	2	1
29	это сам	1	1
30	а если	1	1
31	и чрезвычайно	1	1
32	ушел от	1	1
33	того же	4	1
34	наоборот не	1	1
35	доказательство того	1	1
36	с а	1	1
37	нам в	3	1
38	не так	4	1
39	сомневаюсь что	1	1
40	теперь я	1	1
41	о жизни	1	1
42	его произведения	1	1
43	не сомневаюсь	1	1
44	жизни и	6	1
45	с другой	8	1
46	но когда	2	1
47	в целом	8	1
48	более чем	2	1
49	было не	1	1
50	он с	2	1
51	человеке и	2	1
52	ну конечно	1	1
53	очевидно что	4	1
54	в эту	2	1
55	другой стороны	5	1
56	я не	9	1
57	себя в	1	1
58	произведения и	1	1
59	автор не	2	1
60	слишком много	3	1
61	могло бы	4	1
62	то и	3	1
63	и еще	2	1
64	это пушкин	1	1
65	что при	5	1
66	как только	4	1
67	если бы	22	1
68	доказать что	2	1
69	в художественном	1	1
70	по существу	4	1
71	и сам	1	1
72	того что	9	1
73	них не	1	1
74	а с	4	1
75	только для	3	1
76	иной как	1	1
77	по поводу	1	1
78	не кто	1	1
79	так то	2	1
80	и тот	1	1
81	а также	1	1
82	так и	3	1
83	автора и	2	1
84	в основе	5	1
85	без этого	1	1
86	от этого	4	1
87	бы всю	1	1
88	та и	2	1
89	того чтобы	21	1
90	и без	2	1
91	бы в	3	1
92	с жизнью	1	1
93	этим и	1	1
94	и ничего	2	1
95	есть только	3	1
96	и в	65	1
97	видит в	3	1
98	это был	2	1
99	никогда не	9	1
100	кто иной	1	1
101	все это	12	1
102	со всеми	2	1
103	нисколько не	3	1
104	характера самого	1	1
105	эпизод с	2	1
106	как о	1	1
107	придется не	1	1
108	то она	1	1
109	в них	4	1
