N	2gram	Losev_Vesc	Morfolog
1	и т	37	62
2	может быть	37	61
3	т д	36	60
4	и пр	10	45
5	таким образом	16	26
6	т е	79	25
7	могут быть	1	21
8	так как	17	20
9	мы имеем	8	19
10	не может	44	19
11	в этом	17	18
12	в этих	1	17
13	и в	44	17
14	и не	57	16
15	мы видим	5	15
16	перед нами	3	14
17	с этим	4	14
18	прежде всего	17	14
19	по существу	3	13
20	видим что	2	12
21	при помощи	4	12
22	связи с	1	12
23	а не	34	11
24	что в	11	10
25	то же	12	10
26	а затем	2	10
27	вопрос о	6	10
28	мы увидим	1	10
29	не всегда	1	10
30	но если	12	10
31	этом случае	1	10
32	в том	15	10
33	так и	4	10
34	что и	11	10
35	в связи	1	10
36	то что	47	10
37	все же	18	9
38	с другой	8	9
39	но и	19	9
40	не только	48	8
41	в результате	9	8
42	мы не	8	8
43	в качестве	4	8
44	но не	9	8
45	а в	6	8
46	как мы	6	8
47	во втором	2	7
48	один из	5	7
49	и здесь	5	7
50	если в	1	7
51	не могут	1	7
52	не менее	11	7
53	том что	13	7
54	потому что	25	7
55	наряду с	2	7
56	точки зрения	10	7
57	как это	4	7
58	тем не	11	7
59	а также	1	7
60	и другие	2	6
61	подобно тому	5	6
62	о том	11	6
63	большей частью	1	6
64	как бы	19	6
65	не все	3	6
66	но это	14	6
67	это не	9	6
68	с точки	6	6
69	или в	3	6
70	и как	12	6
71	вовсе не	11	6
72	во всех	5	6
73	если мы	12	6
74	может считаться	3	6
75	также и	9	6
76	они и	1	5
77	из которых	3	5
78	другой стороны	3	5
79	в первом	2	5
80	вслед за	1	5
81	что он	7	5
82	как в	3	5
83	со стороны	9	5
84	то это	5	5
85	это явление	1	5
86	хотя бы	9	5
87	было бы	24	5
88	к тому	3	5
89	ничего не	12	5
90	что они	12	5
91	хотя и	5	5
92	то мы	3	5
93	прежде чем	1	5
94	тому что	2	5
95	учение о	2	5
96	ясно что	10	5
97	все эти	5	5
98	одна из	6	5
99	между собой	2	5
100	то можно	1	5
101	об этом	5	5
102	в других	1	5
103	мы можем	4	5
104	тому как	5	5
105	он не	4	5
106	если же	5	5
107	далеко не	2	5
108	главным образом	3	5
109	в целом	3	5
110	и ее	19	5
111	и к	1	4
112	в некоторых	1	4
113	есть и	13	4
114	на этом	4	4
115	нами в	1	4
116	как и	15	4
117	самом деле	7	4
118	но все	3	4
119	тем что	7	4
120	никто не	1	4
121	уже не	15	4
122	еще не	12	4
123	не является	3	4
124	а если	6	4
125	того чтобы	4	4
126	говорить о	9	4
127	так же	4	4
128	сказать что	21	4
129	на него	3	4
130	на котором	1	4
131	и для	13	4
132	из них	7	4
133	но в	8	4
134	получает в	2	4
135	несмотря на	6	4
136	на самом	1	4
137	не хватает	2	4
138	его в	8	4
139	случае не	3	4
140	к этому	2	4
141	в то	11	4
142	мы уже	3	4
143	в руки	2	4
144	как таковые	1	4
145	можно было	6	4
146	этот вопрос	6	4
147	от того	7	4
148	могла бы	3	4
149	можно ограничиться	1	4
150	оно может	3	4
151	значит что	32	4
152	независимо от	5	4
153	утверждать что	2	3
154	собственном смысле	4	3
155	заметим что	1	3
156	то время	4	3
157	та же	1	3
158	только что	2	3
159	с этой	6	3
160	что это	18	3
161	это уже	2	3
162	в сущности	7	3
163	в живых	1	3
164	ни в	11	3
165	от другого	1	3
166	то с	3	3
167	как таковых	1	3
168	с собой	2	3
169	только в	23	3
170	здесь мы	1	3
171	время как	4	3
172	из двух	1	3
173	если это	4	3
174	можно назвать	1	3
175	есть нечто	12	3
176	в собственном	3	3
177	состоит из	3	3
178	имеется в	1	3
179	может существовать	1	3
180	но мы	1	3
181	на первый	1	3
182	то здесь	1	3
183	первом случае	2	3
184	не существует	4	3
185	и что	22	3
186	связана с	1	3
187	для того	3	3
188	но эти	2	3
189	и тогда	7	3
190	или не	7	3
191	ее по	1	3
192	должен знать	1	3
193	и вне	2	3
194	же она	2	3
195	здесь не	2	3
196	с его	2	3
197	в отдельных	1	3
198	кроме того	5	3
199	он должен	1	3
200	к нему	3	3
201	бы то	12	3
202	то в	4	3
203	другие формы	1	3
204	что эти	2	3
205	они не	1	3
206	сам он	1	3
207	а и	13	3
208	того что	16	3
209	что такое	20	3
210	ее в	1	3
211	но как	3	3
212	у нас	9	3
213	это и	12	3
214	и есть	40	3
215	в виде	3	3
216	а на	1	3
217	как же	6	3
218	к чему	2	3
219	как таковое	1	3
220	но для	2	3
221	в какой	1	3
222	ивана в	1	3
223	даже не	8	3
224	это было	2	3
225	форма в	1	3
226	и у	4	3
227	вопроса о	3	3
228	реагирует на	1	3
229	то ни	13	3
230	совсем не	2	3
231	если бы	8	3
232	вопрос как	3	3
233	мы должны	5	3
234	из ряда	1	3
235	и тем	7	3
236	не в	14	3
237	в которой	5	3
238	на нем	1	3
239	и их	11	3
240	в начале	1	3
241	в пределах	1	3
242	пр и	1	3
243	требует чтобы	5	3
244	в этой	4	3
245	к ней	4	3
246	приводит к	2	3
247	но есть	1	3
248	не значит	11	3
249	мы будем	3	3
250	же в	1	3
