N	2gram	Tiupa_Narr	OGranits
1	и в	22	13
2	и его	12	12
3	прежде всего	7	9
4	может быть	24	8
5	и не	34	8
6	не может	16	8
7	в его	12	7
8	и т.п	11	7
9	точки зрения	8	7
10	таким образом	5	6
11	не только	50	6
12	мы должны	1	6
13	только в	23	6
14	то что	14	6
15	как бы	11	6
16	языка и	1	5
17	хотя бы	4	5
18	с точки	2	5
19	и т.д	7	5
20	в процессе	2	5
21	но ведь	1	5
22	все же	10	5
23	и наконец	2	5
24	мы можем	2	4
25	не является	7	4
26	произведения как	1	4
27	мы не	5	4
28	то же	12	4
29	еще и	1	4
30	было бы	2	4
31	все это	1	4
32	в сознании	6	4
33	лишь в	3	4
34	в своей	8	4
35	на фоне	2	4
36	в двух	2	4
37	но мы	1	4
38	но в	10	4
39	вопроса о	1	4
40	с этим	1	3
41	что в	6	3
42	к одному	1	3
43	и то	3	3
44	т.п и	2	3
45	ни один	1	3
46	целостно и	1	3
47	в искусстве	1	3
48	и уже	4	3
49	так и	12	3
50	не как	1	3
51	одно и	2	3
52	в одном	5	3
53	не столько	2	3
54	за пределы	1	3
55	отношению к	5	3
56	по отношению	5	3
57	превращается в	2	3
58	в пределах	2	3
59	в их	1	3
60	в ее	4	3
61	здесь мы	1	3
62	самом деле	4	3
63	не в	12	3
64	в которой	2	3
65	и все	7	3
66	но для	5	3
67	в себе	14	3
68	так как	1	3
69	языка как	1	3
70	похожим на	1	3
71	да и	5	3
72	но и	39	3
73	и для	4	3
74	как и	15	3
75	точку зрения	3	3
76	никогда не	8	3
77	как системы	1	3
78	в области	4	2
79	своего рода	17	2
80	в самом	8	2
81	во всем	1	2
82	и к	7	2
83	что они	1	2
84	того или	3	2
85	может иметь	1	2
86	иное как	1	2
87	в данном	17	2
88	мы уже	1	2
89	и наиболее	1	2
90	а как	2	2
91	в своих	2	2
92	в этом	23	2
93	что иное	1	2
94	в общем	1	2
95	данном случае	12	2
96	героя и	4	2
97	которой является	1	2
98	человеческой речи	1	2
99	он только	1	2
100	которое мы	1	2
101	с одной	5	2
102	в произведении	2	2
103	мог бы	1	2
104	в течение	1	2
105	которое может	2	2
106	входит в	2	2
107	для себя	3	2
108	наконец в	1	2
109	одной стороны	5	2
110	роль в	4	2
111	в другом	5	2
112	при этом	31	2
113	несмотря на	1	2
114	между тем	5	2
115	в полном	1	2
116	для него	8	2
117	и тем	9	2
118	с помощью	2	2
119	ее в	1	2
120	не исчерпывается	1	2
121	в том	20	2
122	с этой	3	2
123	что эта	1	2
124	и является	2	2
125	в тех	1	2
126	в отношении	1	2
127	к анализу	1	2
128	конечно в	1	2
129	вслед за	4	2
130	литературного произведения	1	2
131	другой стороны	2	2
132	сознания и	2	2
133	во времени	9	2
134	не на	1	2
135	так же	2	2
136	а в	19	2
137	если бы	9	2
138	а также	11	2
139	в книге	1	2
140	соответствии с	7	2
141	на две	2	2
142	еще в	4	2
143	в ней	5	2
144	тем что	1	2
145	могут быть	1	2
146	вовсе не	2	2
147	в действительности	2	2
148	же слово	1	2
149	его на	1	2
150	чем иным	2	2
151	в связи	3	2
152	имеет место	4	2
153	объект и	1	2
154	в зависимости	3	2
155	с ними	5	2
156	все эти	3	2
157	с другой	6	2
158	как в	9	2
159	иным как	2	2
160	и внутренняя	1	2
161	не менее	6	2
162	нуждается в	1	2
163	и социально	1	2
164	не имеет	3	2
165	там где	1	2
166	в структуре	1	2
167	том что	15	2
168	в нем	9	2
169	уже в	1	2
170	или иного	3	2
171	зависимости от	3	2
172	не мог	7	2
173	а не	27	2
174	всей своей	1	2
175	в чем	3	2
176	в целом	5	2
177	художественное произведение	1	2
178	и ее	3	2
179	тот же	1	2
180	собственно говоря	3	2
181	к тому	13	2
182	для исследования	1	2
183	слова и	1	2
184	бы в	2	2
185	более того	1	2
186	этого термина	1	1
187	в особенности	2	1
188	но у	1	1
189	его к	1	1
190	только одно	1	1
191	поскольку она	1	1
192	как к	3	1
193	в каждой	1	1
194	к которому	1	1
195	и наоборот	1	1
196	обычно в	1	1
197	находятся в	1	1
198	наполнения и	1	1
199	ее и	1	1
200	о влиянии	1	1
201	средств в	1	1
202	для всех	1	1
203	только к	3	1
204	у такого	1	1
205	и он	8	1
206	мышления в	1	1
207	один из	8	1
208	и здесь	3	1
209	осуществляется в	1	1
210	общения в	1	1
211	и столь	2	1
212	в цепь	1	1
213	приближается к	1	1
214	может входить	1	1
215	как возможность	1	1
216	уже можно	1	1
217	отличие от	6	1
218	в последнем	1	1
219	вопрос о	1	1
220	слово но	2	1
221	как же	1	1
222	что мы	2	1
223	на этом	1	1
224	к слову	1	1
225	оказались бы	1	1
