N	2gram	Bakhtin_Fr	Otkroven
1	у него	13	22
2	и в	73	19
3	и не	13	13
4	но и	15	13
5	в этом	21	12
6	человека в	3	11
7	а не	2	11
8	не только	11	11
9	не в	12	11
10	может быть	5	11
11	человека и	3	10
12	и все	19	10
13	в нем	18	10
14	к человеку	2	9
15	потому что	9	9
16	в человеке	2	9
17	прежде всего	18	9
18	не было	4	9
19	никогда не	6	9
20	и он	4	8
21	он был	7	8
22	нет ничего	1	7
23	от него	3	7
24	ни с	1	7
25	в его	18	7
26	он не	4	7
27	но он	8	7
28	лишь в	2	7
29	в глубине	1	7
30	до конца	5	7
31	человек не	1	7
32	все это	19	6
33	как и	19	6
34	в самом	9	5
35	в том	13	5
36	человеке и	1	5
37	для него	7	5
38	него в	2	5
39	в этой	18	5
40	а в	10	5
41	отношение к	3	5
42	то что	12	5
43	человеку и	1	5
44	все в	1	4
45	что в	14	4
46	только и	2	4
47	того чтобы	2	4
48	не может	4	4
49	него и	2	4
50	все эти	24	4
51	на земле	5	4
52	и его	18	4
53	он сам	4	4
54	о бессмертии	1	4
55	с его	5	4
56	и от	10	3
57	жизни все	1	3
58	все что	5	3
59	к гибели	1	3
60	чем на	1	3
61	что человек	1	3
62	и вот	3	3
63	это не	7	3
64	с ним	6	3
65	души но	1	3
66	мысли и	3	3
67	легенде о	1	3
68	в этих	6	3
69	не могут	3	3
70	в своих	1	3
71	о природе	1	3
72	как бы	15	3
73	было бы	5	3
74	в себе	16	3
75	и есть	3	3
76	что он	8	3
77	никто не	11	3
78	различие между	1	3
79	все грани	1	3
80	это было	4	3
81	и ее	2	3
82	о том	13	3
83	того что	5	3
84	к нему	7	3
85	еще не	3	3
86	свобода и	1	2
87	всего в	5	2
88	и к	6	2
89	как к	1	2
90	и потому	6	2
91	так и	13	2
92	что они	2	2
93	и то	3	2
94	человека есть	1	2
95	всего и	1	2
96	все же	2	2
97	что у	3	2
98	не могли	1	2
99	так как	9	2
100	и очень	2	2
101	должно быть	4	2
102	к этой	1	2
103	даже и	1	2
104	его не	1	2
105	уже в	9	2
106	ничто не	1	2
107	в человеческом	3	2
108	в другом	4	2
109	совсем не	3	2
110	этом мире	1	2
111	так что	2	2
112	в своем	13	2
113	в этот	1	2
114	с тем	2	2
115	и из	2	2
116	в которой	3	2
117	ее в	1	2
118	о которой	1	2
119	и этим	2	2
120	одно из	2	2
121	что и	6	2
122	для человека	1	2
123	у кого	3	2
124	и бесконечно	1	2
125	в уста	1	2
126	человеческая природа	1	2
127	в истории	3	2
128	его в	3	2
129	должен был	1	2
130	чем в	1	2
131	ведь это	3	2
132	мысль о	1	2
133	вместо того	2	2
134	этого мира	1	2
135	и с	17	2
136	что же	1	2
137	те которые	1	2
138	и там	1	2
139	он в	2	2
140	было для	1	2
141	и о	2	2
142	природы и	3	2
143	сказать что	4	2
144	что для	1	2
145	тем что	8	2
146	легенда о	2	2
147	что есть	2	2
148	и много	1	2
149	и на	12	2
150	в других	2	2
151	движение в	8	2
152	учение о	2	2
153	что все	3	2
154	ничего не	4	2
155	хотя и	5	2
156	не есть	2	2
157	в своей	4	2
158	момент в	4	2
159	в глубь	2	2
160	по себе	2	2
161	не имеет	4	2
162	к этому	5	2
163	же это	1	2
164	том что	8	2
165	от человека	1	2
166	в глубину	1	2
167	и для	8	2
168	в ее	6	2
169	но в	12	2
170	человека а	1	2
171	и нет	2	2
172	вокруг которого	2	1
173	космическая жизнь	1	1
174	что было	1	1
175	ближе к	1	1
176	во всем	5	1
177	в каждом	1	1
178	презрение к	1	1
179	во всяком	2	1
180	и человеческого	1	1
181	связан с	3	1
182	не так	1	1
183	бросается в	1	1
184	человек может	2	1
185	ко всему	1	1
186	и проклятие	1	1
187	видели в	3	1
188	его и	1	1
189	с образом	5	1
190	попал в	1	1
191	смерть и	2	1
192	нужно отметить	2	1
193	то он	2	1
194	но оно	3	1
195	над ними	1	1
196	для его	2	1
197	еще одну	1	1
198	а с	1	1
199	и самое	1	1
200	не существует	1	1
201	в центре	2	1
202	все его	3	1
203	и человека	1	1
204	и других	3	1
205	и всякий	2	1
206	стремиться к	1	1
207	к другу	1	1
208	один из	5	1
209	начало в	1	1
210	для нашего	2	1
211	его судьбу	1	1
212	которым он	4	1
213	в котором	4	1
214	и здесь	5	1
215	та же	7	1
216	после этого	1	1
217	характер его	1	1
218	друг к	1	1
219	он понимал	1	1
220	они и	4	1
221	уверен что	1	1
222	после того	6	1
223	она должна	1	1
224	начале романа	1	1
225	ты хочешь	1	1
226	и вечно	2	1
227	и хлеб	1	1
228	в пределе	1	1
229	но о	1	1
230	того как	7	1
231	эта не	1	1
232	жизни а	1	1
233	глубь человеческого	1	1
234	его целиком	1	1
235	не страшна	1	1
236	новое о	1	1
237	в первый	1	1
238	собой в	1	1
239	она не	1	1
240	том как	3	1
241	должна быть	3	1
242	мы не	2	1
243	остается до	1	1
244	открывает и	1	1
245	ведь этот	1	1
246	притом не	2	1
247	что сама	1	1
248	еще более	4	1
249	также и	6	1
250	ту же	3	1
251	но не	1	1
252	путь которым	1	1
253	это все	1	1
254	связывали с	1	1
255	это я	1	1
