N	3gram	Propp_Isto	NovoeSre
1	в высшей степени	1	6
2	мы живем в	1	5
3	живем в эпоху	1	4
4	не может быть	8	4
5	со всех сторон	4	3
6	подобно тому как	3	3
7	в средние века	1	3
8	не значит что	1	3
9	вопрос о том	2	2
10	вместе с тем	7	2
11	равно как и	1	2
12	и должно быть	2	2
13	так же как	6	2
14	в этом смысле	1	2
15	с одной стороны	7	2
16	с другой стороны	7	2
17	никогда не было	1	2
18	это не значит	1	2
19	быть не может	1	1
20	сами по себе	1	1
21	в том что	6	1
22	не в том	1	1
23	в том случае	1	1
24	начала xix века	1	1
25	до сих пор	11	1
26	другой же стороны	1	1
27	как будто бы	2	1
28	что она не	1	1
29	это конечно не	2	1
30	в зависимости от	3	1
31	с другой же	1	1
32	по существу своему	1	1
33	в то что	1	1
34	и в ней	3	1
35	в жизни народа	1	1
36	можно было бы	5	1
37	и вместе с	2	1
38	то что он	1	1
39	не только в	5	1
40	но и в	4	1
41	в большинстве случаев	4	1
42	в том чтобы	1	1
43	должны помнить что	1	1
44	не было и	1	1
45	в отличие от	3	1
46	в значительной степени	1	1
47	не хочет его	1	1
48	есть вместе с	1	1
49	о том что	5	1
50	же как и	1	1
51	что в этом	1	1
52	и не могут	1	1
53	и пр в	1	1
54	не могут быть	1	1
55	наряду с этим	1	1
56	в нее входит	1	1
57	то что в	2	1
58	это значит что	1	1
59	в своем развитии	1	1
60	но я не	1	1
61	также еще не	1	1
62	в то время	3	1
63	эпохи в которую	1	1
64	то время как	3	1
65	что в это	1	1
66	о том чтобы	1	1
67	а в более	1	1
68	конечно не означает	1	1
69	должна быть признана	1	1
70	о природе и	1	1
71	может быть только	1	1
