N	3gram	Medvedev_U	Vvedenie
1	в том что	2	15
2	не может быть	4	10
3	в этом смысле	2	10
4	в широком смысле	1	7
5	до сих пор	2	7
6	в самом деле	2	6
7	в то же	3	6
8	в этом случае	1	6
9	то же время	3	6
10	с другой стороны	3	5
11	по крайней мере	2	4
12	так или иначе	1	4
13	само по себе	1	4
14	не только в	1	4
15	в данном случае	1	4
16	с одной стороны	1	4
17	в этом отношении	2	4
18	большей или меньшей	1	3
19	можно сказать что	1	3
20	но в то	1	3
21	тех или иных	2	3
22	и то что	2	3
23	с тем что	1	3
24	то же самое	2	3
25	не в том	1	2
26	в значительной мере	1	2
27	в течение многих	1	2
28	хотя бы и	2	2
29	может быть в	1	2
30	это не только	1	2
31	сам по себе	1	2
32	а между тем	2	2
33	в конце концов	2	2
34	по меньшей мере	1	2
35	и т.д в	1	2
36	не могут быть	2	2
37	же самое что	1	2
38	мы можем его	1	1
39	смысле этого термина	2	1
40	одним из самых	1	1
41	наука о литературе	1	1
42	а для второго	1	1
43	язык в его	1	1
44	в своей работе	1	1
45	только в этом	1	1
46	более или менее	1	1
47	в большей или	1	1
48	не было бы	1	1
49	что этот процесс	1	1
50	и в конце	1	1
51	но что такое	1	1
52	то о чем	1	1
53	что мы можем	1	1
54	может быть оправдано	1	1
55	самом деле есть	1	1
56	как на элемент	1	1
57	или меньшей степени	1	1
58	имеем в виду	1	1
59	и прежде всего	1	1
60	мы имеем в	1	1
61	что по его	1	1
62	то ни было	3	1
63	есть язык в	1	1
64	на одно из	1	1
65	в точном смысле	1	1
66	это то же	1	1
67	что в своей	1	1
68	но для первого	1	1
69	бы то ни	3	1
70	вот почему в	1	1
71	находит себе применение	1	1
72	а не только	1	1
73	и истории литературы	1	1
74	чем то что	1	1
