N	3gram	Trubetskoy	EvropaiC
1	в том что	3	16
2	до сих пор	5	15
3	по отношению к	1	11
4	друг с другом	5	9
5	с точки зрения	6	8
6	более или менее	5	8
7	а между тем	1	8
8	на то что	2	7
9	для того чтобы	5	7
10	по своей культуре	1	6
11	что касается до	1	6
12	сих пор не	1	5
13	по сравнению с	2	5
14	в самом деле	1	5
15	так или иначе	3	5
16	к тому же	4	5
17	не может быть	1	4
18	о том что	4	4
19	тот факт что	1	4
20	тем не менее	3	4
21	совершенно так же	1	4
22	с другой стороны	1	4
23	в конце концов	3	4
24	запас культурных ценностей	1	4
25	то ясно что	2	4
26	в этой области	1	4
27	с течением времени	3	4
28	может быть и	2	4
29	вместе с тем	8	3
30	в настоящее время	1	3
31	таким образом в	2	3
32	одного и того	1	3
33	запаса культурных ценностей	1	3
34	так же как	3	3
35	то ни было	2	3
36	в данном случае	1	3
37	и того же	1	3
38	не может не	1	3
39	в связи с	3	3
40	бы то ни	2	3
41	в свою очередь	1	2
42	том что все	1	2
43	но вместе с	2	2
44	во всяком случае	6	2
45	носят на себе	1	2
46	друг на друга	2	2
47	не более как	1	2
48	заключает в себе	2	2
49	а следовательно и	1	2
50	в то время	1	2
51	в то же	2	2
52	ничем не выше	1	2
53	именно потому что	1	2
54	ничего общего с	2	2
55	сообразно с этим	1	2
56	что значительная часть	1	2
57	наше отношение к	1	2
58	между этими двумя	2	2
59	а с другой	5	2
60	но все же	4	2
61	только то что	1	2
62	в своем целом	1	2
63	с одной стороны	7	2
64	первое время после	2	2
65	то же время	2	2
66	в том виде	2	2
67	в каковом случае	1	2
68	как бы то	2	2
69	при таких условиях	1	2
70	друг к другу	1	2
71	это есть продукт	1	1
72	мы видели что	1	1
73	и т.д таким	1	1
74	на каждом шагу	1	1
75	к тем же	1	1
76	культуры таким образом	2	1
77	народов земного шара	1	1
78	может показаться что	1	1
79	совершенно не похожим	1	1
80	есть не более	1	1
81	все эти черты	1	1
82	но по существу	1	1
83	такое положение дела	2	1
84	что это есть	1	1
85	ясно представить себе	1	1
86	в этом направлении	1	1
87	мы видим что	1	1
88	все что мы	1	1
89	на задний план	1	1
90	культурных ценностей и	1	1
91	который можно назвать	1	1
92	сливаются в одно	1	1
93	из двух или	1	1
94	по крайней мере	5	1
95	есть как бы	2	1
96	общего запаса культурных	1	1
97	и к культуре	1	1
98	этой точки зрения	2	1
99	совершенно ясно что	1	1
100	том или ином	1	1
101	с этой точки	2	1
102	каковом случае между	1	1
103	во всей своей	1	1
104	могут рассматриваться как	1	1
105	так и от	2	1
106	точно так же	3	1
107	в общих чертах	1	1
108	и состоит из	1	1
109	в том числе	5	1
110	в нашей культуре	1	1
111	есть ли это	1	1
112	из этих частей	1	1
113	то что эти	1	1
114	не в том	1	1
115	и для того	2	1
116	свидетельствует о том	1	1
117	самом деле если	1	1
118	при этом не	1	1
119	лишь отдельных единиц	1	1
120	более широкую группу	1	1
121	том виде в	2	1
122	хотя бы с	1	1
123	состоит в том	1	1
124	лишь то что	1	1
125	благодаря антропологическому смешению	1	1
126	выйти из этого	1	1
127	и некоторые другие	1	1
128	мы видели выше	1	1
129	у него в	1	1
130	материальной и духовной	1	1
131	но при этом	1	1
132	культуры и для	1	1
133	т.д таким образом	1	1
134	между тем этот	1	1
135	иметь в виду	1	1
136	что мы можем	1	1
137	смысле этого слова	1	1
138	что все эти	1	1
139	но все они	1	1
140	с тем и	2	1
141	в то что	1	1
142	но для этого	1	1
143	том числе и	4	1
144	и таким образом	3	1
145	на пути к	2	1
146	очень много но	1	1
147	и заставить их	1	1
148	в том или	1	1
149	что в таком	1	1
150	в разные стороны	1	1
151	а потому что	1	1
152	ввиду того что	1	1
153	одно культурное целое	1	1
154	а в том	1	1
155	с самого начала	2	1
156	сделать из них	1	1
157	в народных массах	1	1
158	между тем с	1	1
159	не только не	1	1
160	одно из двух	1	1
161	и т.д в	1	1
162	том что они	1	1
163	надо иметь в	1	1
164	в широком смысле	1	1
165	ясно что и	1	1
166	то же самое	2	1
167	психологической точки зрения	1	1
168	и все же	1	1
169	а так как	3	1
170	с тех пор	2	1
171	в одно культурное	1	1
172	их отношение к	1	1
173	духе и в	1	1
174	тоже с точки	1	1
175	несмотря на все	1	1
176	эта культура на	1	1
177	в котором они	1	1
178	с психологической точки	1	1
179	мы уже говорили	1	1
180	виде в котором	1	1
181	только тогда когда	1	1
182	из которых каждый	1	1
183	за тем чтобы	1	1
184	сих пор еще	2	1
185	романцев и германцев	1	1
186	они сейчас же	1	1
187	все эти элементы	1	1
188	не осталось и	1	1
189	в этом последнем	1	1
190	но с другой	1	1
