N	2gram	Ircho_Kome	VeschiIm
1	т е	18	81
2	и не	28	57
3	не только	13	48
4	то что	5	48
5	не может	9	46
6	и в	37	45
7	и есть	3	40
8	и т	5	39
9	может быть	14	39
10	т д	1	38
11	а не	5	37
12	что я	5	26
13	потому что	19	25
14	не просто	1	24
15	было бы	7	24
16	только в	3	23
17	по себе	1	23
18	что она	10	23
19	в себе	4	23
20	сказать что	4	22
21	в смысле	2	22
22	и что	8	22
23	в имени	1	21
24	как бы	7	20
25	что же	2	19
26	но и	18	19
27	и ее	3	19
28	в этом	18	18
29	все же	9	18
30	так как	16	17
31	что мы	4	17
32	прежде всего	7	17
33	и это	4	17
34	таким образом	16	16
35	того что	1	16
36	как раз	9	16
37	как и	10	15
38	в том	24	15
39	в ней	7	15
40	имя и	1	15
41	не в	7	14
42	в самом	17	13
43	не будет	2	13
44	том что	22	13
45	и для	7	13
46	в себя	1	13
47	то ни	4	13
48	что в	11	12
49	и с	5	12
50	бы то	3	12
51	то же	14	12
52	и даже	6	12
53	о том	21	12
54	еще не	10	12
55	если мы	2	12
56	точки зрения	8	12
57	но если	3	12
58	ничего не	6	12
59	что они	3	12
60	ни было	3	12
61	совершенно не	2	12
62	что и	12	12
63	и как	3	12
64	вещей и	2	12
65	если она	2	12
66	и их	1	11
67	не менее	9	11
68	себя в	3	11
69	общение с	1	11
70	тем не	3	11
71	ни в	14	11
72	что не	5	11
73	вовсе не	6	11
74	в то	14	11
75	и только	1	11
76	по крайней	1	10
77	в чем	7	10
78	крайней мере	1	10
79	ясно что	12	10
80	я и	2	9
81	с ним	10	9
82	в результате	2	9
83	со стороны	16	9
84	бы и	1	9
85	то и	1	9
86	хотя бы	5	9
87	нисколько не	3	9
88	говорить о	6	9
89	в своем	9	9
90	это не	3	9
91	у нас	1	9
92	бы в	5	9
93	ли это	1	9
94	она не	3	9
95	так что	7	9
96	но не	9	9
97	на то	3	9
98	и его	10	9
99	как с	1	8
100	должна быть	2	8
101	если бы	18	8
102	с тем	6	8
103	что он	15	8
104	себя и	2	8
105	по сравнению	3	8
106	но в	7	8
107	мы не	6	8
108	мы имеем	4	8
109	для него	1	8
110	в ее	3	8
111	все это	7	8
112	со своим	1	8
113	с другими	2	8
114	в отношении	4	8
115	его в	9	8
116	указывает на	1	8
117	и потому	2	8
118	не с	2	8
119	даже не	5	8
120	с другой	5	8
121	можно сказать	1	8
122	отнюдь не	5	8
123	с этой	5	7
124	в сущности	3	7
125	то не	1	7
126	самом деле	13	7
127	все эти	1	7
128	тем что	12	7
129	сравнению с	3	7
130	в действительности	1	7
131	относится к	1	7
132	слова и	1	7
133	без всякого	2	7
134	мог бы	1	7
135	никак не	2	7
136	или не	1	7
137	сама по	1	7
138	я не	4	7
139	по имени	4	7
140	и тем	4	7
141	е в	2	7
142	от того	2	7
143	а в	12	7
144	из них	11	7
145	в той	2	6
146	для себя	1	6
147	их в	3	6
148	в своей	6	6
149	в каком	1	6
150	из себя	3	6
151	в одном	3	6
152	и до	2	6
153	как только	2	6
154	ее не	1	6
155	вопрос о	2	6
156	от ее	3	6
157	для всякого	1	6
158	несмотря на	7	6
159	с точки	6	6
160	эти две	1	6
161	все равно	3	6
162	как же	2	6
163	или иначе	3	6
164	дело в	1	6
165	быть только	1	6
166	между ними	4	6
167	если я	1	6
168	в нем	8	6
169	так или	3	6
170	можно было	3	6
171	этот вопрос	2	6
172	как мы	6	6
173	жизни и	1	6
174	независимо от	4	6
175	ведь и	1	6
176	и все	6	6
177	это имя	1	6
178	никогда не	5	6
179	больше того	2	6
180	все что	6	5
181	как это	5	5
182	один из	6	5
183	на себе	2	5
184	и здесь	11	5
185	как к	3	5
186	подобно тому	1	5
187	себя с	1	5
188	в жизни	1	5
189	ничем не	4	5
190	как о	3	5
191	вместе с	16	5
192	да и	3	5
193	себе в	6	5
194	как имя	1	5
195	чем же	2	5
196	и достаточно	1	5
197	в свою	12	5
198	и если	3	5
199	думают что	1	5
200	быть не	1	5
201	и когда	2	5
202	ее с	1	5
203	свою очередь	10	5
204	и имени	1	5
205	нет и	4	5
206	того же	9	5
207	о ней	2	5
208	только не	1	5
209	во всех	4	5
210	мы видим	2	5
211	что у	2	5
212	и мы	5	5
213	в его	12	5
214	хотя и	6	5
215	как можно	2	5
216	мы находим	1	5
217	от всех	1	5
218	в которой	6	5
219	но совершенно	1	5
220	на себя	10	5
221	то это	5	5
222	и без	2	5
223	как она	2	5
224	я мог	1	5
225	об этом	12	5
226	должен быть	2	5
227	кроме того	1	5
228	тому как	1	5
229	когда я	1	5
230	мы должны	1	5
231	быть и	1	5
232	если же	2	5
233	на это	3	5
234	что для	7	5
235	для этого	3	5
236	в каком-то	1	5
237	в чисто	1	5
238	и от	3	4
239	не мешает	3	4
240	собственном смысле	1	4
241	образом и	2	4
242	еще более	4	4
243	говорит о	2	4
244	о которой	2	4
245	сводится к	1	4
246	более или	2	4
247	этой точки	1	4
248	равно как	7	4
249	если это	1	4
250	то время	3	4
251	его на	5	4
252	с ними	1	4
253	том как	5	4
254	с этим	5	4
255	во всяком	3	4
256	его и	3	4
257	в основе	3	4
258	и более	1	4
259	в котором	6	4
260	того чтобы	9	4
261	о них	1	4
262	отношении к	1	4
263	нет никакой	1	4
264	же время	12	4
265	так же	8	4
266	при помощи	1	4
267	точке зрения	1	4
268	и еще	4	4
269	на него	6	4
270	находится в	1	4
271	что все	1	4
272	тут же	8	4
273	тот же	11	4
274	то в	1	4
275	сам себя	3	4
276	может не	1	4
277	и вот	3	4
278	к себе	9	4
279	в качестве	4	4
280	это я	1	4
281	себя самого	1	4
282	так и	4	4
283	и сама	1	4
284	же не	3	4
285	в их	5	4
286	однако не	1	4
287	и притом	1	4
288	и эта	2	4
289	в конце	14	4
290	судить о	1	4
291	время как	3	4
292	что только	1	4
293	или менее	2	4
294	и у	4	4
295	мы можем	7	4
296	на этом	3	4
297	не было	6	4
298	она должна	2	4
299	что вы	2	4
300	в и	3	4
301	дело не	2	4
302	он не	11	4
303	в силу	2	4
304	но только	1	4
305	и сам	11	4
306	по своей	2	4
307	в этой	7	4
308	отношение к	7	4
309	к ней	9	4
310	и о	3	4
311	главным образом	2	4
312	это совершенно	1	4
313	и ничем	1	3
314	только что	11	3
315	чтобы утверждать	1	3
316	на ее	4	3
317	была бы	2	3
318	а вот	1	3
319	она уже	1	3
320	к смысловой	1	3
321	из которых	7	3
322	я могу	1	3
323	из того	3	3
324	нас в	1	3
325	другой стороны	2	3
326	и само	1	3
327	себе не	2	3
328	в своих	4	3
329	если не	7	3
330	но все	5	3
331	от чего	1	3
332	ни о	1	3
333	что угодно	1	3
334	из самых	2	3
335	себя как	1	3
336	если он	3	3
337	отношения к	2	3
338	в собственном	1	3
339	как в	4	3
340	жизни в	1	3
341	не имеет	6	3
342	к тому	11	3
343	чем бы	1	3
344	перед нами	1	3
345	от этого	1	3
346	ни к	1	3
347	не является	5	3
348	было в	2	3
349	оба эти	1	3
350	но даже	1	3
351	одной стороны	4	3
352	у меня	5	3
353	из его	3	3
354	с которой	2	3
355	не понимает	1	3
356	только один	2	3
357	только на	1	3
358	чтобы она	1	3
359	превращается в	1	3
360	в истории	2	3
361	то чтобы	1	3
362	и во	3	3
363	только с	1	3
364	не мог	2	3
365	в самой	1	3
366	или другой	1	3
367	в другом	2	3
368	к нему	8	3
369	об их	1	3
370	и всякий	2	3
371	что ему	4	3
372	различие между	1	3
373	свидетельствует о	1	3
374	не можем	1	3
375	с одной	5	3
376	но еще	2	3
377	бы на	2	3
378	то мы	2	3
379	у него	10	3
380	но он	3	3
381	или в	1	3
382	быть ни	1	3
383	по существу	4	3
384	и она	1	3
385	и хочу	1	3
386	же как	1	3
387	а так	1	3
388	тем более	9	3
389	ему не	4	3
390	а потом	1	3
391	этих двух	2	3
392	к одному	1	3
393	выражение в	3	3
394	но как	1	3
395	а с	2	3
396	мы уже	1	3
397	и может	2	3
398	в частности	4	3
399	для человека	2	3
400	кто не	1	3
401	стоит у	1	3
402	стало быть	2	3
403	это может	1	3
404	что из	2	3
405	человека и	2	3
406	для того	9	3
407	могла бы	1	3
408	а тем	1	3
409	я в	1	3
410	вещей не	1	3
411	однако в	5	3
412	мы будем	1	3
413	в уме	1	3
414	все еще	2	3
415	из этого	2	3
416	бы ни	1	3
417	ли в	3	3
418	в целом	4	3
419	мы видели	1	3
420	не к	1	3
421	к другому	2	3
422	во всем	2	2
423	и к	4	2
424	от нее	5	2
425	не так	4	2
426	мы подходим	1	2
427	и другие	1	2
428	во втором	2	2
429	и уже	1	2
430	которая была	1	2
431	еще раз	1	2
432	в с	2	2
433	сходить с	1	2
434	раз к	1	2
435	и на	6	2
436	же и	2	2
437	качества не	1	2
438	здравом уме	2	2
439	есть для	2	2
440	тому что	5	2
441	реальной жизни	1	2
442	и совершенно	1	2
443	которым они	1	2
444	о чем	11	2
445	не как	2	2
446	а затем	4	2
447	в последние	2	2
448	одно из	3	2
449	в связи	4	2
450	раз с	1	2
451	не столько	3	2
452	переживания и	1	2
453	подходит к	1	2
454	его от	5	2
455	с собой	4	2
456	и ничего	1	2
457	не на	3	2
458	все то	1	2
459	себя так	1	2
460	отличаются от	1	2
461	уме и	1	2
462	в первом	2	2
463	от одного	1	2
464	чтобы не	3	2
465	с ней	1	2
466	тем самым	1	2
467	как не	2	2
468	к его	4	2
469	есть тот	1	2
470	и выявлять	1	2
471	и так	1	2
472	в слове	1	2
473	приводит к	4	2
474	почти все	1	2
475	о котором	1	2
476	но раз	1	2
477	в это	2	2
478	знает что	2	2
479	же теперь	2	2
480	себя от	2	2
481	жизни мы	1	2
482	сразу и	1	2
483	а что	1	2
484	свое время	1	2
485	нет ничего	4	2
486	и того	1	2
487	нам не	1	2
488	было и	1	2
489	самое главное	1	2
490	своей собственной	1	2
491	что мне	1	2
492	он только	1	2
493	она могла	1	2
494	только как	2	2
495	структур в	1	2
496	это только	1	2
497	хотя это	2	2
498	для нее	1	2
