N	2gram	Trubetskoy	Poddanst
1	не только	10	17
2	и в	24	14
3	и не	9	12
4	в области	4	11
5	в этом	13	10
6	в отношении	1	10
7	в том	31	9
8	то же	4	9
9	в качестве	1	9
10	но в	5	9
11	хотя бы	4	8
12	только в	6	7
13	же время	2	7
14	с к	1	7
15	в то	6	7
16	в ней	3	6
17	быть может	1	6
18	было бы	3	6
19	но и	11	6
20	и пр	1	5
21	может быть	17	5
22	россии в	1	5
23	с другой	6	5
24	не в	9	5
25	в которых	2	5
26	и к	5	4
27	что в	9	4
28	в котором	2	4
29	тех кто	5	4
30	и если	6	4
31	и потому	3	4
32	мы должны	4	4
33	в с	3	4
34	на пути	1	4
35	европейской культуры	8	4
36	не может	18	4
37	в гораздо	2	4
38	а в	3	4
39	то что	18	4
40	как бы	10	4
41	если бы	8	4
42	в своем	12	4
43	том что	20	4
44	большей степени	1	4
45	наряду с	1	3
46	в себе	5	3
47	что мы	4	3
48	с одной	3	3
49	мы не	1	3
50	это не	3	3
51	одной стороны	2	3
52	для того	8	3
53	между тем	12	3
54	с точки	8	3
55	хотя и	4	3
56	с тем	4	3
57	потому что	9	3
58	прежде всего	3	3
59	сводится к	2	3
60	тем самым	3	3
61	заключается в	3	3
62	но не	3	3
63	могут быть	1	3
64	я и	1	3
65	и как	1	3
66	с ними	2	3
67	столь же	5	3
68	в нем	3	3
69	и без	5	3
70	тот же	3	3
71	точки зрения	14	3
72	с этим	12	2
73	во всех	10	2
74	об отсталости	1	2
75	именно как	1	2
76	и это	3	2
77	и других	3	2
78	которую мы	1	2
79	в европе	6	2
80	если в	1	2
81	и вот	1	2
82	время в	1	2
83	в значительной	1	2
84	том числе	1	2
85	еще более	1	2
86	по сравнению	5	2
87	эта идея	1	2
88	для тех	1	2
89	и весьма	1	2
90	создается в	1	2
91	на этих	1	2
92	ценности в	1	2
93	в ее	1	2
94	и тем	1	2
95	того что	7	2
96	никак не	1	2
97	в частности	2	2
98	н с	1	2
99	в его	5	2
100	а не	1	2
101	для нас	3	2
102	все это	13	2
103	говорить о	2	2
104	в тот	1	2
105	заключает в	2	2
106	в виде	4	2
107	в них	2	2
108	не было	2	2
109	подошел к	1	2
110	и с	5	2
111	в начале	3	2
112	может ли	1	2
113	как на	6	2
114	в а	2	2
115	в общем	6	2
116	мысль о	1	2
117	главным образом	1	2
118	именно в	5	2
119	должно быть	5	2
120	другие народы	4	2
121	в жизни	3	2
122	отношения к	1	2
123	современной европейской	2	2
124	друг другу	1	2
125	взгляда на	1	2
126	во всей	2	2
127	есть нечто	1	2
128	помнить что	2	2
129	в силу	7	2
130	одна из	2	2
131	между прочим	2	2
132	в мире	6	2
133	например в	1	2
134	не менее	7	2
135	отнюдь не	2	2
136	со стороны	1	2
137	да и	1	2
138	в эту	2	2
139	культуры в	10	2
140	из них	5	2
141	есть не	1	2
142	тем более	3	2
143	есть в	2	2
144	не к	1	2
145	бы ни	1	2
146	русской истории	1	1
147	и греческой	1	1
148	к сожалению	1	1
149	этих двух	2	1
150	были бы	1	1
151	представить себе	2	1
152	нет ничего	1	1
153	ли они	1	1
154	как к	5	1
155	от нее	2	1
156	более мелких	1	1
157	во всяком	2	1
158	тем в	1	1
159	значительная часть	4	1
160	к истине	1	1
161	не есть	4	1
162	у в	2	1
163	культурного развития	1	1
164	у каждого	1	1
165	и то	4	1
166	но как	2	1
167	ибо только	1	1
168	чтобы это	1	1
169	мы можем	6	1
170	и эти	1	1
171	на этой	3	1
172	мы видим	1	1
173	эта не	1	1
174	а с	4	1
175	в данном	3	1
176	что от	1	1
177	только к	1	1
178	с его	1	1
179	за то	1	1
180	что оно	3	1
181	и многие	1	1
182	сходства между	1	1
183	никакого сомнения	1	1
184	и более	2	1
185	те же	2	1
186	правила и	1	1
187	вместе с	7	1
188	есть признак	1	1
189	до тех	2	1
190	с большою	1	1
191	и на	6	1
192	отличие от	3	1
193	в самом	8	1
194	вопрос о	3	1
195	в народе	4	1
196	они не	2	1
197	среды в	1	1
198	может не	3	1
199	она должна	1	1
200	этой области	4	1
201	них в	2	1
202	на свои	1	1
203	только что	3	1
204	этого сделать	1	1
205	и главное	1	1
206	они являются	1	1
207	в психологии	4	1
208	более ранняя	1	1
209	на сторону	1	1
210	с и	1	1
211	отчасти и	1	1
212	она не	2	1
213	уже в	1	1
