N	3gram	Kanaev_Sov	Formalny
1	с точки зрения	5	40
2	не может быть	4	29
3	на самом деле	1	21
4	то же время	1	20
5	в то же	1	20
6	в связи с	1	16
7	во всяком случае	2	16
8	в настоящее время	2	13
9	по отношению к	1	12
10	в самом деле	1	11
11	бы то ни	1	10
12	в зависимости от	4	10
13	и не может	1	9
14	до сих пор	1	8
15	с одной стороны	1	8
16	сами по себе	1	7
17	то ни было	1	7
18	в свою очередь	2	7
19	в первый период	1	7
20	и в этом	1	7
21	в том что	1	6
22	и в то	1	6
23	в данном случае	1	6
24	раз и навсегда	1	6
25	может быть и	2	6
26	одной стороны и	1	5
27	в этом смысле	1	5
28	одни и те	1	5
29	в отличие от	2	5
30	и те же	1	5
31	мы не можем	6	5
32	тем не менее	2	4
33	не в том	1	4
34	дело идет о	1	4
35	все более и	1	4
36	более и более	1	4
37	не могут быть	1	4
38	но все же	1	4
39	с самого начала	3	4
40	по аналогии с	1	4
41	и тот же	1	3
42	мы уже знаем	1	3
43	и пр но	1	3
44	друг с другом	2	3
45	быть и речи	1	3
46	уже знаем что	1	3
47	то же самое	2	3
48	равно как и	1	3
49	один и тот	1	3
50	первый период развития	1	3
51	именно в том	1	3
52	ровно ничего не	1	3
53	ни о каком	1	3
54	но все эти	1	2
55	мы говорим о	1	2
56	в предыдущей главе	1	2
57	тот или другой	1	2
58	она не может	1	2
59	в том случае	1	2
60	в такой же	1	2
61	при определенных условиях	1	2
62	и прежде всего	1	2
63	поэтому мы не	2	2
64	а в настоящее	1	2
65	мы без труда	1	2
66	в ином направлении	1	2
67	может быть только	1	2
68	мы видели что	3	2
69	и все же	1	2
70	ни одного из	1	2
71	какой бы то	1	2
72	на этот вопрос	1	2
73	но уже в	1	2
74	и до сих	1	2
75	дело в том	1	2
76	так же как	1	2
77	но отнюдь не	1	2
78	в этом случае	1	2
79	совершенно независимо от	1	2
80	тот или иной	1	2
81	как и во	1	1
82	каждого из них	2	1
83	можно говорить об	1	1
84	что в ней	1	1
85	этом смысле можно	1	1
86	в том как	1	1
87	же это за	2	1
88	говорить только о	1	1
89	и не стремится	1	1
90	в процессе развития	1	1
91	и все те	1	1
92	влечет за собой	1	1
93	и во всех	1	1
94	они не могут	1	1
95	прежде всего необходимо	1	1
96	но они не	1	1
97	с помощью которых	2	1
98	друг на друга	1	1
99	без труда узнаем	1	1
100	все же в	1	1
101	мы знаем что	1	1
102	может иметь место	1	1
103	могут быть поняты	1	1
104	лишь там где	1	1
105	а это последнее	1	1
106	прежде всего мы	1	1
107	в этой области	1	1
108	возникновения и развития	1	1
109	зависимости от различных	1	1
110	в корне неверной	1	1
111	есть не что	1	1
112	что же это	3	1
113	самому своему существу	1	1
114	смысле можно говорить	1	1
115	научной мысли в	1	1
116	самом деле все	1	1
117	не может не	3	1
118	его между двумя	1	1
119	равны между собой	1	1
120	так как он	2	1
121	это значит что	1	1
122	его в ту	1	1
123	а не только	1	1
124	не может ведь	1	1
125	мы видим что	1	1
126	через известный промежуток	1	1
127	роль в пьесе	1	1
128	той или иной	1	1
129	ясно что при	1	1
130	на котором держится	1	1
131	точки зрения для	1	1
132	мы видим не	1	1
133	и может быть	1	1
134	таким образом все	1	1
135	и потому совершенно	1	1
136	если мы оторвем	1	1
137	он уже не	1	1
138	еще более недопустимо	1	1
139	и действительно если	1	1
140	по крайней мере	1	1
141	она в такой	1	1
142	тот факт что	1	1
143	что же делает	1	1
144	и не было	1	1
145	что все они	1	1
146	и той же	1	1
147	на ее месте	1	1
148	не вытекает из	1	1
149	же это не	1	1
150	он отвлекается от	1	1
151	не было бы	1	1
152	если бы эти	1	1
153	метода не может	1	1
154	не что иное	1	1
155	что иное как	1	1
156	и еще более	1	1
157	между собой но	1	1
158	остается подвести итоги	1	1
159	одной и той	1	1
160	в самом конце	1	1
161	без определенного метода	1	1
162	известный промежуток времени	1	1
163	но тем не	1	1
164	в новое время	1	1
165	и мы получим	1	1
166	по самому своему	1	1
167	в этом периоде	1	1
168	времени не может	1	1
169	сводится только к	1	1
170	в жизненной практике	1	1
171	одна из них	1	1
172	и конкретную методику	1	1
173	как одной из	1	1
174	теперь мы должны	1	1
175	можно было бы	1	1
176	приводит и к	1	1
