N	2gram	Medvedev_F	Retstnzi
1	не может	26	4
2	и в	54	3
3	социального общения	8	2
4	если в	3	2
5	один из	4	2
6	общения и	3	2
7	литературы то	1	1
8	произведения но	1	1
9	марксистскую науку	1	1
10	литературного языка	3	1
11	может и	2	1
12	в особенности	7	1
13	несмотря на	2	1
14	метода он	1	1
15	может быть	30	1
16	и истории	5	1
17	не только	14	1
18	точки зрения	21	1
19	с точки	17	1
20	может не	1	1
21	становится особенно	1	1
22	к историческому	1	1
23	для него	9	1
24	с теми	2	1
25	истории русского	1	1
26	подхода к	4	1
27	в ней	15	1
28	формального метода	29	1
29	тех же	2	1
30	в каждом	3	1
31	связи с	12	1
32	не из	5	1
33	русского литературного	2	1
34	можно и	2	1
35	с другими	11	1
36	лучше всего	2	1
37	или иными	1	1
38	художественной структуры	7	1
39	его от	5	1
40	если бы	8	1
41	конечно и	1	1
42	смысл и	2	1
43	в школе	2	1
44	художественного произведения	27	1
45	вещей и	3	1
46	литературного произведения	6	1
47	школе фосслера	1	1
48	и методологически	3	1
49	в его	30	1
50	зрения их	2	1
51	влияния на	3	1
52	не менее	12	1
53	и форму	1	1
54	своих работ	1	1
55	его основе	1	1
56	и социальной	1	1
57	поэтики и	1	1
58	и заставляет	1	1
59	в языке	5	1
60	но и	18	1
61	мы видим	1	1
62	к тому	6	1
63	анализа и	1	1
64	во второй	3	1
65	можно назвать	1	1
66	науку о	2	1
67	тому что	3	1
68	языка как	11	1
69	теми или	1	1
70	увидеть в	1	1
71	в конкретном	4	1
72	фосслера и	1	1
73	в то	14	1
74	из этих	4	1
75	и больше	1	1
76	и событий	1	1
77	на русской	1	1
78	он в	3	1
79	ни один	1	1
80	методов ее	2	1
81	же время	13	1
82	то же	16	1
83	методологического приема	1	1
84	по своим	1	1
85	не оказать	2	1
86	при анализе	1	1
87	а не	11	1
88	бы в	6	1
89	нет и	2	1
90	в лингвистике	1	1
91	искусство как	2	1
92	и должно	4	1
93	в системе	3	1
94	и не	34	1
95	язык как	8	1
96	на нее	2	1
97	о литературе	9	1
98	и все	9	1
99	и на	10	1
100	русской литературы	2	1
101	художественного целого	2	1
102	вполне понятно	2	1
103	русской почве	1	1
