N	3gram	Potebnia_M	VrazhdaK
1	и все же	1	5
2	то же время	3	4
3	в то же	3	4
4	в связи с	2	3
5	в том что	18	2
6	не может быть	11	2
7	с точки зрения	3	2
8	и что в	3	2
9	только при помощи	1	1
10	не было бы	3	1
11	но при этом	1	1
12	в ответ на	1	1
13	их и не	1	1
14	мыслей и чувств	1	1
15	с первого раза	1	1
16	в свою очередь	8	1
17	а между тем	5	1
18	в то время	3	1
19	далеко не все	1	1
20	не знали что	1	1
21	и во всей	1	1
22	в нем самом	6	1
23	во время сна	1	1
24	о том как	1	1
25	точно так же	1	1
26	так же как	1	1
27	не имело бы	1	1
28	но это не	2	1
29	на то что	3	1
30	не только от	1	1
31	по крайней мере	6	1
32	что они не	1	1
33	в этом смысле	4	1
34	заключается в том	1	1
35	для нас весьма	1	1
36	что в нем	1	1
37	не только не	2	1
38	о том что	1	1
39	от того как	1	1
40	не вдаваясь в	1	1
41	до сих пор	5	1
42	нет ничего общего	1	1
43	по объему и	1	1
44	имело бы смысла	1	1
45	или по крайней	2	1
46	с тех пор	1	1
47	во всяком случае	7	1
48	а следовательно и	1	1
49	тем не менее	10	1
50	служит для него	2	1
51	то что я	1	1
52	все что ни	1	1
53	с другой стороны	7	1
54	то что они	1	1
55	что у него	1	1
56	что для нас	1	1
57	с тою же	1	1
58	в этом отношении	1	1
59	все же не	1	1
60	и не может	1	1
61	ее тем что	1	1
62	и в этом	7	1
63	ответ на это	1	1
