N	4gram	Losev_Prob	VerxiiNi
1	в том числе и	1	4
2	во всяком случае не	2	3
3	бы то ни было	4	2
4	с этой точки зрения	1	2
5	свидетельствует о том что	1	1
6	по крайней мере в	1	1
7	в связи с тем	1	1
8	сливаются в одно нераздельное	1	1
9	или по крайней мере	6	1
10	не указывает на то	1	1
11	в данном случае мы	1	1
12	это и есть то	1	1
13	не имеет самостоятельного значения	1	1
14	и есть то самое	1	1
15	мы имеем в виду	1	1
16	в нашем смысле слова	7	1
17	и в то же	2	1
18	все более и более	1	1
19	в том что они	1	1
20	одного и того же	1	1
21	значение в связи с	1	1
22	с первого взгляда может	1	1
23	еще и потому что	1	1
24	только с первого взгляда	1	1
25	в том или ином	2	1
26	в одно нераздельное целое	3	1
27	один и тот же	1	1
