N	4gram	Propp_Isto	EvropaiC
1	бы то ни было	2	3
2	но вместе с тем	1	2
3	в то время как	3	1
4	то же самое что	2	1
5	стоит в связи с	1	1
6	образом мы видим что	2	1
7	а на самом деле	1	1
8	мы уже знаем что	2	1
9	невыгодное положение по сравнению	1	1
10	выше мы видели что	3	1
11	не говоря уже о	1	1
12	в том что он	1	1
13	на более высокой ступени	1	1
14	таким образом мы видим	2	1
15	говоря уже о том	1	1
16	дело в том что	2	1
17	надо иметь в виду	1	1
18	в тех случаях когда	1	1
19	приводит к тому что	1	1
20	мы видели что при	1	1
21	уже о том что	1	1
22	в том что они	3	1
23	если бы нам удалось	1	1
