N	3gram	Ircho_Kome	Vladivir
1	в том что	15	29
2	о том что	7	22
3	тем не менее	3	18
4	в то время	3	13
5	во всяком случае	3	12
6	в связи с	3	12
7	более или менее	2	11
8	в конце концов	3	11
9	к тому же	9	11
10	не может быть	1	10
11	в то же	11	10
12	вместе с тем	5	10
13	с точки зрения	6	10
14	то что он	1	9
15	у него в	1	9
16	на этот раз	2	9
17	то же время	11	9
18	в течение всей	1	8
19	на то что	1	8
20	точно так же	1	7
21	на первый план	1	7
22	в свое время	1	7
23	в это время	1	7
24	так или иначе	3	6
25	том что в	1	6
26	в отличие от	3	6
27	с другой стороны	2	6
28	и в этом	1	6
29	как мы знаем	1	6
30	в настоящее время	1	6
31	как мы видели	1	6
32	том что он	1	6
33	и в то	2	5
34	и в его	1	5
35	бы то ни	3	5
36	само собой разумеется	3	5
37	и в том	1	5
38	он не только	1	5
39	не говоря уже	2	5
40	не только в	1	5
41	то время как	3	5
42	что и в	2	5
43	себе отчет в	1	4
44	можно сказать что	1	4
45	говоря уже о	2	4
46	в том же	2	4
47	для того чтобы	8	4
48	в этом отношении	2	4
49	у него не	1	4
50	к этому времени	2	4
51	и т д	1	4
52	в том чтобы	1	4
53	по крайней мере	1	4
54	можно было бы	1	4
55	с одной стороны	4	4
56	что он не	3	3
57	а то что	1	3
58	в самом деле	13	3
59	в котором он	1	3
60	в том числе	2	3
61	потому что в	2	3
62	ничего общего с	1	3
63	и в отношении	1	3
64	по этому поводу	1	3
65	к тому что	1	3
66	во второй половине	1	3
67	в свою очередь	10	3
68	в этом же	1	3
69	собой разумеется что	3	3
70	так и не	1	3
71	и в дальнейшем	1	3
72	на себя внимание	3	3
73	только в том	1	3
74	тем более что	1	3
75	хотя и не	2	3
76	и в частности	1	3
77	кроме того в	1	3
78	с самого начала	5	3
79	в первую очередь	2	3
80	мы находим у	1	3
81	в согласии с	1	3
82	когда он был	1	2
83	так же как	1	2
84	одной стороны и	2	2
85	имеет ничего общего	1	2
86	и тот же	3	2
87	и с его	1	2
88	но вместе с	1	2
89	об этом не	1	2
90	обращает на себя	3	2
91	что у него	1	2
92	он и в	1	2
93	так и в	1	2
94	до сих пор	12	2
95	в тот же	1	2
96	незадолго до того	1	2
97	за это время	1	2
98	в этой области	1	2
99	точки зрения того	1	2
100	и во многом	1	2
101	из них не	1	2
102	не имеет ничего	1	2
103	то ни было	3	2
104	но как раз	1	2
105	так как он	2	2
106	для нас важно	1	2
107	и по существу	1	2
108	речь шла о	2	2
109	в ответ на	4	2
110	сих пор не	2	2
111	за то что	1	2
112	но и здесь	2	2
113	едва ли можно	1	2
114	ни в чем	2	2
115	тех пор пока	1	2
116	один и тот	3	2
117	и без того	1	2
118	в тех же	2	2
119	и есть тот	1	2
120	об этом и	1	2
121	как это было	1	2
122	независимо от того	1	2
123	до тех пор	5	2
124	таким образом если	1	2
125	главным образом в	1	2
126	в этом случае	2	2
127	то обстоятельство что	3	2
128	и все же	2	2
129	по этому вопросу	1	2
130	после того как	3	2
131	тоже было запрещено	1	1
132	которой мы сталкиваемся	1	1
133	тот же день	1	1
134	да и сам	1	1
135	в этот момент	1	1
136	что он говорит	1	1
137	но в этот	1	1
138	в самом начале	1	1
139	себе не может	1	1
140	как будто бы	1	1
141	и если в	1	1
142	в которой оказался	1	1
143	не иначе как	2	1
144	в неловкое положение	1	1
145	и даже не	1	1
146	в той же	1	1
147	отнюдь не является	1	1
148	в известной степени	2	1
149	нет ничего кроме	1	1
150	того чтобы не	1	1
151	она должна быть	1	1
152	хотя бы по	2	1
153	не было и	1	1
154	не был бы	1	1
155	не по годам	1	1
156	дошедшим до нас	1	1
157	наряду с этим	2	1
158	сказать что их	1	1
159	потому что как	1	1
160	он не может	1	1
161	вступить с ней	1	1
162	а может быть	1	1
163	в котором и	1	1
164	сказать что ни	1	1
165	далеко не всегда	1	1
166	потому что она	1	1
167	что в доме	1	1
168	что весь этот	1	1
169	всю свою жизнь	1	1
170	но никак не	1	1
171	к которой мы	1	1
172	насколько мне известно	1	1
173	том что она	2	1
174	он был и	1	1
175	его отношение к	1	1
176	все усилия чтобы	1	1
177	чем определяется его	1	1
178	что в смысле	1	1
179	но об этом	1	1
180	нет никакой необходимости	1	1
181	друзей и в	1	1
182	и не столь	1	1
183	более далекого от	1	1
184	потому что он	1	1
185	и меня и	1	1
186	что при всей	1	1
187	отдать себе отчет	1	1
188	не могла быть	1	1
189	никогда не любил	1	1
190	мы имеем право	1	1
191	совсем в другом	1	1
192	и далеко не	1	1
193	и есть для	2	1
194	и тем самым	1	1
195	в чем не	2	1
196	не забудем что	1	1
197	и никогда не	1	1
198	по себе не	1	1
199	из любви к	1	1
200	есть для нас	1	1
201	от отца и	1	1
202	не столько о	1	1
203	в самой общей	1	1
204	но он ни	1	1
205	если не считать	1	1
206	хотя и без	1	1
207	и не хочет	1	1
208	то же самое	3	1
209	сама по себе	1	1
210	это в свою	1	1
211	в высшей степени	2	1
212	приходится признать что	1	1
213	но все же	3	1
214	не только во	1	1
215	лицом к лицу	1	1
216	этот раз не	1	1
217	теперь же ему	1	1
218	о том как	5	1
219	никак не может	1	1
220	в двух словах	1	1
221	и о том	1	1
222	вследствие чего он	1	1
223	со своей стороны	1	1
224	не без основания	1	1
225	в разной степени	1	1
226	думать что в	1	1
227	гораздо раньше чем	1	1
228	на каждом шагу	1	1
229	с ним не	1	1
230	собственном смысле слова	1	1
231	он вместе с	1	1
232	на русский язык	1	1
233	кто из вас	3	1
234	тому что в	1	1
235	чуть ли не	2	1
236	еще не был	1	1
237	вместе с ним	3	1
238	человека и его	1	1
239	на земле и	1	1
240	равно как и	3	1
241	как нет и	1	1
242	по существу своему	1	1
243	не столько по	1	1
244	в каждой из	1	1
245	в какой мере	2	1
246	из той же	1	1
247	но и в	1	1
248	ничего о ней	1	1
249	все то же	1	1
250	любовь к ней	3	1
251	с этой точки	1	1
252	не с точки	1	1
253	как об этом	1	1
254	выходят за пределы	2	1
255	можно предполагать что	1	1
256	самой общей форме	1	1
257	отношения к нему	1	1
258	об этом уже	1	1
259	не хочет быть	2	1
260	что как раз	1	1
261	русский язык и	1	1
262	как раз этим	1	1
263	закрывать глаза на	1	1
264	еще одна цитата	1	1
265	во время своего	1	1
266	и не могла	1	1
267	в основе своей	2	1
268	к себе на	1	1
269	всего на несколько	1	1
270	как впрочем и	1	1
271	и к тому	2	1
272	что человек не	1	1
273	своей любви к	2	1
274	доброго и отзывчивого	1	1
275	на этот вопрос	1	1
276	не делает то	1	1
277	время как первый	1	1
278	состоит в том	2	1
279	начинается с того	1	1
280	не было бы	1	1
281	в противном случае	1	1
