N	3gram	Potebnia_M	Vladivir
1	в том что	18	29
2	там же с	7	29
3	о том что	1	22
4	тем не менее	10	18
5	что же касается	1	14
6	в то время	3	13
7	дело в том	3	13
8	во всяком случае	7	12
9	в связи с	2	12
10	более или менее	6	11
11	не может быть	11	10
12	в то же	3	10
13	вместе с тем	1	10
14	с точки зрения	3	10
15	то что он	1	9
16	в этом смысле	4	9
17	то же время	3	9
18	на то что	3	8
19	точно так же	1	7
20	это значит что	1	7
21	само по себе	6	6
22	в отличие от	1	6
23	с другой стороны	7	6
24	и в этом	7	6
25	как мы видели	1	6
26	том что он	1	6
27	но даже и	1	5
28	бы то ни	2	5
29	и в том	3	5
30	и потому что	2	5
31	то что в	2	5
32	не говоря уже	1	5
33	в сравнении с	4	5
34	не только в	3	5
35	то время как	1	5
36	что и в	4	5
37	говоря уже о	1	4
38	для того чтобы	4	4
39	в этом отношении	1	4
40	сам по себе	5	4
41	и т д	6	4
42	по крайней мере	6	4
43	заключается в том	1	4
44	не что иное	2	4
45	можно было бы	1	4
46	что иное как	2	4
47	с одной стороны	6	4
48	еще и потому	1	4
49	не в том	6	3
50	во что бы	1	3
51	потому что в	5	3
52	мы знаем что	1	3
53	в том случае	1	3
54	ничего общего с	1	3
55	и в отношении	1	3
56	было для него	1	3
57	даже и в	1	3
58	а в том	4	3
59	не только на	1	3
60	не только не	2	3
61	к тому что	2	3
62	только то что	1	3
63	но это не	2	3
64	в свою очередь	8	3
65	не менее если	1	3
66	несмотря на все	1	3
67	только в том	7	3
68	должны сказать что	1	3
69	мы видели выше	1	3
70	что бы то	1	3
71	субъекта и объекта	4	3
72	так что в	2	3
73	с самого начала	5	3
74	что несмотря на	1	3
75	то ни стало	1	3
76	так же как	1	2
77	собственно говоря только	1	2
78	так что для	1	2
79	но то что	1	2
80	одной стороны и	2	2
81	имеет ничего общего	1	2
82	и тот же	1	2
83	а не на	1	2
84	и не в	1	2
85	для нас в	1	2
86	и в таком	2	2
87	оно должно быть	1	2
88	в таком случае	4	2
89	что у него	1	2
90	только при помощи	1	2
91	так и в	5	2
92	до сих пор	5	2
93	здесь не о	1	2
94	это нисколько не	1	2
95	тот же с	1	2
96	не было ничего	1	2
97	не имеет ничего	1	2
98	то ни было	1	2
99	или по крайней	2	2
100	не то что	1	2
101	что для нас	1	2
102	так как в	2	2
103	уже о том	1	2
104	в ответ на	1	2
105	в том и	2	2
106	и тем не	1	2
107	а так как	3	2
108	но дело в	2	2
109	один и тот	1	2
110	и притом не	3	2
111	бы если бы	1	2
112	а следовательно и	1	2
113	ответ на это	1	2
114	до тех пор	1	2
115	что мы действительно	1	2
116	главным образом в	1	2
117	что в нем	1	2
118	и что в	3	2
119	отрицать что в	1	2
120	с тем что	4	2
121	и все же	1	2
122	том случае если	1	2
123	притом не только	2	2
124	то что мы	2	2
125	если бы мы	1	2
126	после того как	3	2
127	лишь в том	1	1
128	может быть много	1	1
129	но все эти	1	1
130	если не в	1	1
131	и в жизни	3	1
132	себе не может	1	1
133	то и в	2	1
134	и не создает	1	1
135	и как бы	4	1
136	как и всякая	1	1
137	своего развития а	1	1
138	все то что	2	1
139	может быть назван	1	1
140	а не иначе	2	1
141	физических явлений и	1	1
142	о которой мы	2	1
143	не иначе как	2	1
144	потому что тогда	1	1
145	в себе в	1	1
146	но и по	2	1
147	заключать в себе	1	1
148	ни на одно	1	1
149	укажем только на	1	1
150	можно себе представить	2	1
151	а не с	1	1
152	то это будет	1	1
153	из этих последних	1	1
154	на рубеже двух	1	1
155	в том как	4	1
156	точки зрения но	1	1
157	когда это последнее	1	1
158	с моей стороны	1	1
159	идеи то есть	2	1
160	потому что его	1	1
161	между ними нет	1	1
162	о которых мы	1	1
163	есть не только	1	1
164	потому что как	3	1
165	говорить и о	1	1
166	так что одно	1	1
167	если они не	1	1
168	потому что сам	2	1
169	я еще не	1	1
