N	2gram	Ircho_Kome	StatiiOP
1	в и	3	145
2	и в	40	103
3	в том	19	89
4	том что	19	77
5	в этом	9	76
6	что в	12	74
7	не только	12	60
8	и т	11	51
9	о том	12	47
10	но и	14	46
11	то что	8	44
12	что он	11	42
13	в его	8	42
14	и не	19	41
15	может быть	16	38
16	т е	14	33
17	было бы	8	32
18	т д	4	32
19	в этой	9	31
20	вовсе не	3	31
21	тем что	5	29
22	все это	7	29
23	таким образом	13	28
24	в г	28	28
25	а в	9	27
26	а не	1	27
27	но в	6	26
28	что это	5	25
29	так и	17	25
30	этом отношении	3	24
31	в трагедии	3	24
32	и его	17	24
33	все же	7	23
34	точки зрения	7	23
35	не в	8	23
36	так что	6	23
37	потому что	8	23
38	для того	3	22
39	в которой	9	22
40	как в	8	22
41	того что	1	22
42	прежде всего	8	22
43	у нас	3	22
44	в области	3	22
45	того чтобы	4	21
46	до сих	3	20
47	это не	2	20
48	в своей	3	19
49	г в	5	19
50	сих пор	3	19
51	т п	7	19
52	в то	14	19
53	только в	6	19
54	в котором	6	18
55	с другой	7	18
56	он не	5	18
57	об этом	2	18
58	не может	3	18
59	в самом	5	17
60	в году	3	17
61	как на	2	17
62	между прочим	2	17
63	в русской	1	17
64	как бы	3	17
65	в данном	1	17
66	в этих	5	16
67	с этим	5	16
68	сказать что	1	16
69	можно было	5	16
70	если бы	4	16
71	в ней	2	16
72	г и	8	16
73	другой стороны	6	15
74	с тем	5	15
75	как и	12	15
76	по поводу	7	15
77	из этих	5	15
78	у него	6	15
79	и на	9	15
80	например в	1	15
81	в отношении	6	15
82	как раз	4	15
83	для него	1	15
84	также и	1	15
85	то же	7	14
86	но все	4	14
87	так например	1	14
88	к тому	15	14
89	я думаю	2	14
90	между тем	9	14
91	и что	2	14
92	в течение	5	14
93	в той	2	13
94	именно в	5	13
95	во всяком	4	13
96	в своем	6	13
97	из них	16	13
98	в качестве	8	13
99	а с	1	13
100	в конце	7	13
101	в нем	8	13
102	вместе с	8	13
103	со стороны	3	13
104	всяком случае	4	13
105	но это	2	13
106	что касается	5	13
107	жизни и	4	13
108	тому что	4	13
109	в своих	2	12
110	не менее	6	12
111	хотя бы	2	12
112	что у	6	12
113	в первой	2	12
114	ни в	9	12
115	так как	6	12
116	что они	4	12
117	в тексте	1	12
118	того времени	3	12
119	в них	7	11
120	в другом	5	11
121	должна была	3	11
122	не было	1	11
123	ясно что	9	11
124	и с	8	11
125	и по	6	11
126	из его	6	11
127	того как	3	11
128	вопрос о	5	11
129	все эти	1	11
130	это было	5	11
131	стиха в	1	11
132	на то	3	11
133	на эти	1	10
134	думаю что	2	10
135	не столько	1	10
136	в виду	2	10
137	связь с	2	10
138	речь идет	6	10
139	так же	4	10
140	отметить что	1	10
141	в целом	6	10
142	что и	10	10
143	это слово	4	10
144	но он	2	10
145	во всех	4	10
146	а как	1	10
147	в каком	1	10
148	в истории	10	10
149	же время	5	10
150	ничего не	4	10
151	ответ на	2	10
152	на вопрос	1	10
153	на самом	1	10
154	но не	3	10
155	во второй	4	10
156	в частности	7	10
157	в начале	7	10
158	и к	2	9
159	с этой	3	9
160	он был	4	9
161	в одном	10	9
162	говорит что	1	9
163	внимание на	1	9
164	несмотря на	5	9
165	и это	3	9
166	в чем	3	9
167	в каждом	2	9
168	и тем	2	9
169	что эта	1	9
170	во время	11	9
171	не является	2	9
172	такого рода	6	9
173	времени и	2	9
174	что же	2	9
175	и для	4	9
176	там где	1	9
177	по изд	2	9
178	место в	7	9
179	в результате	5	8
180	и даже	5	8
181	по его	2	8
182	еще более	2	8
183	к которому	4	8
184	что она	3	8
185	к этому	8	8
186	связи с	3	8
187	одним из	3	8
188	действующих лиц	8	8
189	и др	1	8
190	могут быть	3	8
191	в общем	2	8
192	к сожалению	2	8
193	должен был	1	8
194	евгения онегина	1	8
195	в которых	1	8
196	не имеет	1	8
197	тем не	3	8
198	совершенно не	1	8
199	и более	2	8
200	мы имеем	1	8
201	статьи в	1	8
202	той же	3	8
203	до конца	3	8
204	в их	6	8
205	а также	5	8
206	в какой	2	8
207	п в	1	8
208	по мнению	2	8
209	отношение к	3	8
210	и о	3	8
211	такой же	2	8
212	это в	1	8
213	с которыми	1	7
214	и очень	2	7
215	о чем	2	7
216	по себе	2	7
217	года в	1	7
218	представление о	3	7
219	отличается от	1	7
220	в это	3	7
221	уже о	4	7
222	не мог	4	7
223	того же	4	7
224	гораздо более	2	7
225	в ее	2	7
226	что все	1	7
227	в эту	2	7
228	как это	7	7
229	нельзя не	2	7
230	что для	1	7
231	из этого	2	7
232	то в	1	7
233	xix в	1	7
234	то время	8	7
235	еще не	7	7
236	еще и	2	7
237	одной из	6	7
238	на этот	5	7
239	этой области	2	7
240	данном случае	1	7
241	уже в	9	7
242	трагедии в	3	7
243	мы находим	2	7
244	в виде	3	7
245	материал для	2	7
246	тем более	1	7
247	не все	2	7
248	с самого	3	7
249	конце концов	4	7
250	отношению к	5	7
251	вплоть до	1	7
252	случае в	1	6
253	на его	5	6
254	одно из	1	6
255	и сам	5	6
256	в жизни	1	6
257	говорить о	3	6
258	по отношению	5	6
259	даже в	3	6
260	ни одного	2	6
261	к нему	5	6
262	время как	6	6
263	же как	3	6
264	одном из	4	6
265	о которых	6	6
266	в устах	1	6
267	своего времени	2	6
268	этом смысле	2	6
269	его как	1	6
270	в себе	3	6
271	в особенности	1	6
272	и здесь	6	6
273	из которых	5	6
274	и все	4	6
275	времени не	1	6
276	в в	8	6
277	в известном	2	6
278	идет о	5	6
279	тем же	2	6
280	и во	4	6
281	с его	4	6
282	мы не	4	6
283	и за	3	6
284	независимо от	5	6
285	по существу	1	6
286	и я	2	6
287	должен быть	1	6
288	в одной	1	6
289	этих двух	1	6
290	за то	4	6
291	его не	1	6
292	что на	4	6
293	нас не	2	5
294	до него	1	5
295	по плану	1	5
296	при этом	5	5
297	в пользу	3	5
298	в духе	3	5
299	целый ряд	2	5
300	на эту	1	5
301	в речах	1	5
302	то это	3	5
303	одной стороны	5	5
304	но они	2	5
305	конечно не	1	5
306	самого начала	2	5
307	до того	1	5
308	в основу	1	5
309	что именно	3	5
310	на протяжении	14	5
311	что эти	1	5
312	после того	3	5
313	в обеих	3	5
314	с одной	5	5
315	хотя и	6	5
316	его в	6	5
317	не была	1	5
318	не о	1	5
319	на себя	5	5
320	что не	1	5
321	это человек	2	5
322	даже не	4	5
323	в двух	6	5
324	же касается	1	5
325	не был	1	5
326	это были	2	5
327	если не	1	5
328	не приходится	1	5
329	в тех	5	5
330	стр и	2	5
331	занимает в	1	5
332	возможно что	4	5
333	и почему	1	5
334	столь же	9	5
335	или иного	1	5
336	не так	1	5
337	один из	9	5
338	по форме	1	5
339	для себя	2	5
340	ср с	1	5
341	о которой	1	5
342	не на	1	5
343	судить по	3	5
344	никто не	3	5
345	не знали	1	5
346	ни с	1	5
347	в очень	1	5
348	и если	2	5
349	отношении к	1	5
350	которую он	3	5
351	нет и	2	5
352	том же	1	5
353	ее в	2	5
354	но если	4	5
355	это был	1	5
356	такое же	1	5
357	раз в	2	5
358	в сущности	3	5
359	этого рода	2	5
360	а то	3	5
361	является не	2	5
362	и потому	1	5
363	того или	1	5
364	и только	1	5
365	не по	5	5
366	как он	2	5
367	можно найти	2	5
368	на это	3	5
369	в предисловии	1	5
370	к ней	2	5
371	одного из	7	5
372	как будто	3	5
373	находим в	2	4
374	и другие	3	4
375	все что	3	4
376	только что	2	4
377	в применении	1	4
378	в биографии	1	4
379	не являются	2	4
380	и без	3	4
381	в первом	2	4
382	из двух	2	4
383	что по	3	4
384	что ни	1	4
385	культуры в	1	4
386	не имели	1	4
387	казалось бы	3	4
388	обращает на	4	4
389	не могли	2	4
390	которыми он	1	4
391	применении к	1	4
392	не всегда	2	4
393	предисловии к	1	4
394	и те	1	4
395	сцены в	1	4
396	на сцене	5	4
397	на него	4	4
398	во времена	2	4
399	который в	2	4
400	трагедии и	1	4
401	всего в	5	4
402	и он	1	4
403	и эти	1	4
404	тому же	14	4
405	будто бы	2	4
406	очевидно что	1	4
407	в таком	1	4
408	в связи	3	4
409	одна из	4	4
410	на этом	3	4
411	не могут	1	4
412	и у	3	4
413	могло бы	1	4
414	для его	1	4
415	молодой человек	9	4
416	в развитии	2	4
417	на долю	1	4
418	и тот	1	4
419	иметь в	1	4
420	была не	1	4
421	с которым	1	4
422	которые были	2	4
423	его времени	1	4
424	за пределы	2	4
425	на рубеже	1	4
426	в последнем	1	4
427	то есть	1	4
428	если в	3	4
429	известно что	4	4
430	по адресу	18	4
431	не зная	1	4
432	и вполне	1	4
433	в форме	2	4
434	так или	4	4
435	они не	1	4
436	обращается к	1	4
437	это время	5	4
438	нет не	1	4
439	от его	1	4
440	связанные с	2	4
441	да и	5	4
442	по своей	2	4
443	именно поэтому	1	4
444	нет в	1	4
445	здесь нет	1	4
446	бы и	1	4
447	в основе	1	4
448	ни у	1	4
449	более чем	4	4
450	совпадает с	1	4
451	в значительной	1	4
452	как известно	4	4
453	относится к	2	4
454	быть не	1	4
455	и тогда	1	4
456	тех пор	2	4
457	народ в	1	4
458	в обоих	3	4
459	не знает	1	4
460	состоит в	1	4
461	не для	1	4
462	в образе	4	4
463	с нею	1	4
464	значительной степени	1	4
465	этого слова	1	4
466	сожалению не	1	4
467	могли быть	2	4
468	которые в	3	4
469	нет ни	1	4
470	естественно что	1	4
471	бы на	1	4
472	как у	1	4
473	смысле этого	1	4
474	а на	2	4
475	или в	5	4
476	или иначе	4	4
477	места в	1	4
478	более что	1	4
479	в ряде	1	4
480	меньше всего	3	4
481	г а	2	4
482	в каждой	1	4
483	мере в	1	4
484	каждая из	1	4
485	е в	2	4
486	а по	1	4
487	и их	3	4
488	еще в	9	4
489	что его	1	4
490	как мы	5	4
491	же можно	1	4
492	в период	5	4
493	же это	1	4
494	место из	1	4
495	в эпоху	1	4
496	для этого	2	4
497	богатого и	1	3
498	от него	1	3
499	является в	1	3
500	говоря уже	4	3
501	находясь в	1	3
502	любовь к	1	3
503	к числу	2	3
504	а у	3	3
505	а затем	4	3
506	его от	1	3
507	или иной	1	3
508	чтобы в	1	3
509	более или	1	3
510	в пору	1	3
511	работы в	1	3
512	их в	1	3
513	в одно	1	3
514	почти все	1	3
515	его друзья	1	3
516	сцена с	1	3
517	себе в	1	3
518	без труда	1	3
519	к этой	1	3
520	больше чем	5	3
521	даже и	1	3
522	не должен	1	3
523	ii и	1	3
524	представляет собой	1	3
525	в руках	4	3
526	в первые	2	3
527	с помощью	1	3
528	которым в	1	3
529	может служить	2	3
530	и была	1	3
531	для которого	1	3
532	видно что	1	3
533	с именем	1	3
534	быть в	1	3
535	во всей	1	3
536	все время	2	3
537	от них	3	3
538	нет никаких	1	3
539	к этим	3	3
540	ему не	1	3
