N	4gram	Vygotskiy_	formyVre
1	в то же время	2	18
2	одного и того же	1	9
3	с одной стороны и	1	5
4	в том числе и	1	5
5	одно и то же	1	5
6	в то время как	6	4
7	в связи с этим	1	4
8	и т п но	1	3
9	так же как и	2	3
10	но для того чтобы	1	2
11	дело в том что	1	2
12	и т п все	2	2
13	и т п в	2	2
14	включает в себя и	1	2
15	в узком смысле слова	1	2
16	само собой разумеется что	1	2
17	никогда не может быть	2	1
18	с этой точки зрения	5	1
19	в том что в	1	1
20	разрешения этой проблемы и	1	1
21	в широком смысле слова	1	1
22	они сами по себе	1	1
23	вместе с тем и	1	1
24	в зависимости от того	1	1
25	и т п то	1	1
26	в своем чистом виде	1	1
27	одну и ту же	1	1
28	совершенно так же как	1	1
29	этой точки зрения может	1	1
30	что на самом деле	1	1
31	одной и той же	5	1
32	с другой стороны в	1	1
33	приходит к выводу что	2	1
34	и для того чтобы	1	1
35	быть или не быть	1	1
36	в основе его лежит	1	1
37	все больше и больше	2	1
38	или что то же	1	1
39	одном и том же	1	1
40	совершенно ясно что в	1	1
41	так и в процессе	1	1
42	в том что он	1	1
43	ясно что в таком	1	1
44	но вместе с тем	1	1
45	к цели то есть	1	1
46	смысле слова то есть	1	1
47	в том что все	1	1
