N	3gram	Tiupa_Teor	RusskieA
1	в том что	10	49
2	состоит в том	6	29
3	тем не менее	3	14
4	в этом случае	1	12
5	о том что	1	10
6	том что в	1	9
7	для того чтобы	5	8
8	в данном случае	5	8
9	подобно тому как	3	8
10	в настоящее время	1	7
11	не может быть	5	6
12	так же как	1	6
13	в связи с	3	5
14	к тому что	2	5
15	не что иное	1	4
16	в отличие от	7	4
17	не только на	1	4
18	в этих случаях	1	4
19	что иное как	1	4
20	на себя внимание	1	4
21	в то время	1	4
22	это имеет место	1	3
23	по отношению к	10	3
24	по своему происхождению	1	3
25	более или менее	6	3
26	в свою очередь	3	3
27	и потому что	1	3
28	с точки зрения	3	3
29	между тем это	1	3
30	обращает на себя	1	3
31	здесь мы имеем	1	3
32	как это имеет	1	3
33	может быть и	2	3
34	может быть назван	1	2
35	в большинстве случаев	1	2
36	дело не в	1	2
37	в е годы	1	2
38	также что в	1	2
39	с другой стороны	6	2
40	в евгении онегине	1	2
41	между собой в	1	2
42	ту или иную	2	2
43	не принадлежат к	1	2
44	как и в	2	2
45	можно сказать что	3	2
46	иметь в виду	1	2
47	в равной степени	3	2
48	в виду что	1	2
49	с одной стороны	3	2
50	мы имеем не	1	2
51	в одном и	1	1
52	и как бы	1	1
53	принадлежат к числу	1	1
54	никак не может	1	1
55	она состоит в	1	1
56	только о том	1	1
57	для него не	1	1
58	в xix веке	1	1
59	и другие в	1	1
60	как видно из	1	1
61	на нее как	1	1
62	перед тем как	1	1
63	все то что	1	1
64	в таком случае	2	1
65	одного и того	4	1
66	об этом так	1	1
67	былинах и в	1	1
68	а между тем	1	1
69	место в текстах	1	1
70	в руке и	1	1
71	точно так же	1	1
72	можно говорить о	1	1
73	точки зрения в	1	1
74	но не с	1	1
75	к тому же	1	1
76	что в основе	2	1
77	и того же	4	1
78	в своем сознании	1	1
79	и а а	3	1
80	то же самое	1	1
81	не входит в	1	1
82	значении этого слова	3	1
83	сама по себе	2	1
84	как это происходит	1	1
85	в былинах и	1	1
86	одном и том	1	1
87	имея в виду	1	1
88	в значительной степени	2	1
89	виду что в	1	1
90	но он не	2	1
91	есть рассказ о	1	1
92	те и другие	1	1
93	и том же	1	1
94	в своего рода	1	1
95	в противном случае	2	1
96	в целом ряде	1	1
97	как один из	1	1
98	состоит не в	1	1
99	это бывает в	1	1
100	тем и другим	1	1
101	при этом не	1	1
102	в том чем	1	1
103	друг другу и	1	1
104	в жизни человека	1	1
105	из того что	1	1
106	как это ни	1	1
107	дело в том	1	1
108	приводит к тому	2	1
109	между собой и	1	1
110	и другим в	1	1
111	в первую очередь	1	1
112	в русском языке	1	1
113	в новое время	1	1
114	на первый взгляд	1	1
115	тогда как в	2	1
116	в таких случаях	1	1
117	и совершенно иной	1	1
118	в себе и	1	1
119	это и есть	1	1
120	в основе своей	2	1
121	на две части	1	1
