N	2gram	Savitsky_P	Stilisti
1	и в	14	42
2	как бы	4	30
3	не только	17	28
4	прежде всего	3	22
5	хотя бы	8	18
6	то же	9	16
7	но и	6	16
8	и не	12	14
9	может быть	5	13
10	не может	4	13
11	как и	1	12
12	что мы	3	11
13	точки зрения	3	11
14	в этом	10	10
15	в себе	3	10
16	и как	3	10
17	мы должны	4	10
18	отнюдь не	2	10
19	мы не	3	9
20	все же	1	9
21	то что	4	9
22	для того	3	9
23	в то	7	9
24	с тем	3	8
25	и это	2	8
26	в ней	6	8
27	тем самым	3	8
28	с его	1	8
29	и на	1	7
30	мы можем	1	7
31	только в	7	7
32	в которой	1	7
33	потому что	3	7
34	того чтобы	1	7
35	и тем	2	7
36	же время	7	7
37	было бы	6	7
38	а не	2	7
39	никогда не	1	7
40	во всех	2	6
41	в его	2	6
42	не в	5	6
43	в нем	3	6
44	одно и	1	6
45	в этой	1	6
46	или иной	1	6
47	в области	11	6
48	в самом	1	5
49	уже в	1	5
50	с точки	3	5
51	те же	1	5
52	в живом	1	5
53	и с	2	5
54	но в	9	5
55	вместе с	1	5
56	точек зрения	2	5
57	а с	1	5
58	а в	4	5
59	и то	1	5
60	были бы	1	4
61	и к	4	4
62	мы видим	1	4
63	что это	1	4
64	все это	2	4
65	в качестве	9	4
66	его в	1	4
67	если бы	4	4
68	да и	2	4
69	связаны с	1	4
70	и без	3	4
71	в каждом	1	4
72	если мы	1	4
73	и пр	5	4
74	было в	2	4
75	с определенной	1	4
76	так называемые	2	4
77	заключает в	2	4
78	так же	1	4
79	себя в	1	4
80	тем же	1	4
81	что именно	1	4
82	не просто	1	4
83	того что	2	4
84	не к	2	4
85	что было	1	3
86	представить себе	1	3
87	что оно	1	3
88	и здесь	1	3
89	если он	1	3
90	для нас	2	3
91	и вот	2	3
92	в том	9	3
93	отношения к	2	3
94	теперь в	2	3
95	хотя и	3	3
96	ни на	1	3
97	в ее	2	3
98	и уже	1	3
99	что и	1	3
100	быть может	6	3
101	и само	1	3
102	слова но	2	3
103	но для	1	3
104	том что	4	3
105	бы мы	1	3
106	слова о	1	3
107	еще не	1	3
108	в котором	4	3
109	между тем	3	3
110	в частности	2	3
111	только на	1	3
112	не с	1	3
113	связь между	1	3
114	в начале	2	3
115	главным образом	2	3
116	это не	3	3
117	из них	2	3
118	был и	1	2
119	культурного развития	1	2
120	находятся в	1	2
121	в душе	1	2
122	правила и	1	2
123	уяснить себе	1	2
124	должно быть	2	2
125	и при	1	2
126	и потому	4	2
127	каждый из	1	2
128	еще более	2	2
129	ни к	1	2
130	н о	5	2
131	что то	1	2
132	в глубинах	2	2
133	но как	1	2
134	для них	2	2
135	в отношении	10	2
136	иными словами	1	2
137	с собой	1	2
138	речь но	1	2
139	не было	2	2
140	из двух	1	2
141	к чему	2	2
142	не сумеем	1	2
143	в наших	1	2
144	прежде чем	1	2
145	но не	3	2
146	или хотя	1	2
147	на наш	1	2
