N	2gram	Losev_Dial	Analitik
1	не только	35	71
2	тогда как	1	67
3	и в	34	66
4	в качестве	1	61
5	но и	14	57
6	в том	17	52
7	может быть	30	52
8	в этом	14	51
9	в частности	3	51
10	как и	14	50
11	и не	50	48
12	а не	39	42
13	при этом	7	40
14	том что	18	40
15	то есть	1	35
16	так и	11	35
17	в мире	2	31
18	отнюдь не	16	29
19	как бы	19	29
20	не может	29	29
21	а в	3	28
22	в его	6	27
23	и его	8	27
24	не в	11	26
25	но не	3	26
26	в себе	8	24
27	что в	12	22
28	и даже	21	22
29	к тому	4	22
30	в этой	3	22
31	о том	11	20
32	в самом	9	19
33	то же	9	19
34	в своей	4	19
35	с его	7	19
36	но в	3	19
37	в данном	6	18
38	в то	9	18
39	тем самым	3	17
40	с другой	5	17
41	только в	10	17
42	со стороны	5	17
43	или иной	4	17
44	что и	8	16
45	могут быть	5	16
46	то что	25	16
47	в пределах	1	16
48	и на	6	15
49	не есть	95	15
50	уже не	9	15
51	прежде всего	20	15
52	в сущности	10	15
53	в их	2	15
54	не менее	11	14
55	себя в	3	14
56	я и	2	14
57	в себя	4	14
58	той или	3	14
59	мы имеем	3	14
60	же время	5	14
61	в отличие	1	14
62	данном случае	3	14
63	отличие от	2	14
64	далеко не	1	14
65	по себе	31	13
66	точки зрения	43	13
67	тому же	2	13
68	он не	8	13
69	ничего не	29	13
70	как раз	11	13
71	для него	4	13
72	и к	5	12
73	и сам	1	12
74	никогда не	9	12
75	как это	8	12
76	как в	2	12
77	еще не	7	12
78	в конечном	1	12
79	есть не	11	12
80	даже в	1	11
81	конечном счете	1	11
82	имеем дело	2	11
83	по своей	1	11
84	той же	6	11
85	это не	13	11
86	можно сказать	5	11
87	и как	13	11
88	не с	1	11
89	именно в	5	10
90	все же	4	10
91	едва ли	2	10
92	с одной	4	10
93	в конце	2	10
94	было бы	13	10
95	однако в	1	10
96	подобно тому	5	10
97	отношения к	4	10
98	совпадает с	2	10
99	здесь не	2	10
100	со своей	1	10
101	того или	6	10
102	и самого	1	10
103	на себя	3	10
104	говорить о	13	9
105	говорит о	5	9
106	в результате	7	9
107	другой стороны	4	9
108	одной стороны	3	9
109	в своем	7	9
110	крайней мере	10	9
111	таким образом	14	9
112	во всех	2	9
113	за пределы	3	9
114	или иного	3	9
115	только не	10	9
116	имеет место	1	9
117	особого рода	3	9
118	вместе с	3	9
119	по крайней	10	9
120	тому как	5	9
121	того что	22	9
122	личности в	9	9
123	о чем	2	8
124	не всегда	3	8
125	я с	2	8
126	одной из	3	8
127	в контексте	1	8
128	в сторону	1	8
129	с ним	3	8
130	если бы	10	8
