N	3gram	Vinokur_St	Formalny
1	с точки зрения	10	40
2	не может быть	5	29
3	на самом деле	7	21
4	то же время	5	20
5	в то же	5	20
6	и т д	25	19
7	и т п	11	18
8	во всяком случае	8	16
9	в настоящее время	2	13
10	по отношению к	3	12
11	в самом деле	7	11
12	так и в	5	11
13	в этом отношении	13	11
14	бы то ни	2	10
15	в зависимости от	2	10
16	с другой стороны	8	9
17	и не может	1	9
18	для того чтобы	13	8
19	до сих пор	12	8
20	вместе с тем	2	8
21	с одной стороны	2	8
22	в применении к	3	7
23	более или менее	2	7
24	того или иного	4	7
25	сами по себе	2	7
26	то ни было	1	7
27	в высшей степени	1	7
28	а вовсе не	1	7
29	и в этом	4	7
30	в том что	29	6
31	и в то	1	6
32	в своей статье	4	6
33	сам по себе	1	6
34	в данном случае	7	6
35	не только не	2	6
36	смысле этого слова	1	6
37	может быть и	2	6
38	в этом смысле	2	5
39	одни и те	1	5
40	художественного произведения в	1	5
41	в отличие от	1	5
42	к тому что	4	5
43	в значительной степени	2	5
44	и те же	1	5
45	как бы ни	2	5
46	и не в	1	4
47	в той же	2	4
48	тем не менее	4	4
49	не в том	3	4
50	в конце концов	2	4
51	точки зрения его	1	4
52	вовсе не является	1	4
53	но все же	3	4
54	а не в	1	4
55	то ни стало	1	4
56	но и в	2	4
57	она ни была	1	4
58	т п в	4	4
59	в лучшем случае	1	4
60	с самого начала	3	4
61	хотя бы в	1	4
62	же время не	1	3
63	то или иное	3	3
64	и пр но	1	3
65	ведь на самом	1	3
66	в том числе	3	3
67	во что бы	1	3
68	убедиться в этом	1	3
69	всяком случае в	2	3
70	так или иначе	3	3
71	чтобы убедиться в	1	3
72	вместо того чтобы	1	3
73	том числе и	2	3
74	быть и речи	1	3
75	только то что	1	3
76	но вовсе не	1	3
77	при таком положении	2	3
78	в том смысле	4	3
79	в том чтобы	1	3
80	потому что он	1	3
81	точки зрения их	2	3
82	что бы то	1	3
83	но в то	2	3
84	именно в том	1	3
85	у нас не	1	3
86	т е в	3	3
87	в предисловии к	2	3
88	что же касается	3	3
89	ни о каком	1	3
90	мере в какой	3	2
91	и в данном	2	2
92	о том как	1	2
93	том смысле что	2	2
94	в той мере	2	2
95	но все эти	1	2
96	должно было бы	1	2
97	мы говорим о	1	2
98	хотя бы и	2	2
99	говоря уже о	2	2
100	вовсе не в	2	2
101	такой же степени	1	2
102	друг от друга	1	2
103	но и с	2	2
104	но даже и	1	2
105	только тем что	1	2
106	одних и тех	1	2
107	в том случае	1	2
108	поэтического языка который	1	2
109	иметь в виду	2	2
110	в отношении к	1	2
111	в его первоначальном	1	2
112	этого прежде всего	1	2
113	могло бы быть	1	2
114	как и всякая	1	2
115	и в других	1	2
116	той мере в	2	2
117	и пр в	1	2
118	нужно сказать что	5	2
119	что это не	2	2
120	так же и	1	2
121	но ведь на	1	2
122	и в том	3	2
123	в основе этой	1	2
124	и тем же	2	2
125	представление о языке	1	2
126	поэтического языка к	1	2
127	выйти за пределы	1	2
128	не выходя за	1	2
129	в это время	3	2
130	как и в	2	2
131	в целом ряде	1	2
132	ничего общего с	3	2
133	если бы оно	1	2
134	и тех же	1	2
135	на этот вопрос	2	2
136	мы приходим к	1	2
137	т е с	3	2
138	не говоря уже	2	2
139	в одной из	3	2
140	одним и тем	2	2
141	дело в том	7	2
142	не только в	4	2
143	и притом в	1	2
144	так же как	5	2
145	в этом случае	3	2
146	в виду что	1	2
147	что в нем	2	2
148	совершенно независимо от	1	2
149	для этого прежде	1	2
150	дело не в	2	2
151	что и в	4	2
152	ни в чем	1	2
153	она до сих	1	1
154	слова здесь и	1	1
155	что он не	5	1
156	самом деле оно	1	1
157	в конкретном и	1	1
158	как и во	1	1
159	научной работы в	1	1
160	каждого из них	3	1
161	отношении что они	2	1
162	заключается именно в	1	1
163	свое выражение в	2	1
164	что в его	1	1
165	и в этих	1	1
166	как раз ту	1	1
167	то что он	3	1
168	например в стихотворениях	1	1
169	в том как	3	1
170	же это за	1	1
171	том отношении что	2	1
172	лежать в основе	1	1
173	не похож на	1	1
174	по сравнению с	1	1
175	то было бы	1	1
176	пишет по этому	1	1
177	все это и	1	1
178	здесь совершенно не	2	1
179	нашей точки зрения	1	1
180	такое отношение к	1	1
181	так во всех	1	1
182	в целом это	1	1
183	произведений с точки	1	1
184	и на этом	1	1
185	он не может	1	1
186	не значит что	3	1
187	нельзя было бы	1	1
188	в том же	3	1
189	как на какой-то	1	1
190	в какой степени	1	1
191	так например в	4	1
192	необходимо обратить внимание	1	1
193	будет зависеть от	1	1
194	прежде всего необходимо	1	1
195	в этом его	1	1
196	иначе и быть	1	1
197	и то же	1	1
198	говорит о том	3	1
199	если бы и	2	1
200	это не значит	3	1
201	идет не о	1	1
202	говорить как о	1	1
203	и всякая иная	1	1
204	на эти вопросы	3	1
205	только с точки	1	1
206	научной работы но	1	1
207	было бы отрицать	1	1
208	научная работа никогда	1	1
209	в данном месте	2	1
210	с этой стороны	1	1
211	там где у	1	1
212	что он в	1	1
213	в наши дни	1	1
214	являются для нас	1	1
215	следует сказать что	1	1
216	это не просто	1	1
217	в то что	1	1
218	в этой книге	1	1
219	в этой области	5	1
220	настолько велико что	1	1
221	и вместе с	1	1
222	в одних и	1	1
223	что в этом	1	1
224	том что этот	1	1
225	и никогда не	1	1
226	таким образом в	1	1
227	жизни и творчества	2	1
228	а с другой	1	1
229	что при таких	1	1
230	не могло быть	1	1
231	все эти утверждения	1	1
232	и по отношению	1	1
233	что же это	1	1
234	начале своей статьи	1	1
235	эпохи с одной	1	1
236	же и в	2	1
237	каждой из этих	1	1
238	т п на	1	1
239	потому что не	1	1
240	не может не	1	1
241	работа никогда не	1	1
242	настоящее время можно	1	1
243	идет лишь о	1	1
244	не только с	2	1
245	по этому поводу	4	1
246	и пр совпадение	1	1
247	и с тем	1	1
248	быть даже и	1	1
249	нет никаких оснований	1	1
250	в качестве мотивировки	1	1
251	с рядом других	1	1
252	было бы с	1	1
253	бы отрицать что	1	1
254	самым простым и	1	1
255	и речи о	1	1
256	но не менее	1	1
257	произведение не только	1	1
258	а также и	2	1
259	с нашей точки	1	1
260	конечно это не	1	1
261	то что было	1	1
262	может быть абсолютно	1	1
263	как своего рода	2	1
264	в том и	1	1
265	за то что	5	1
266	т е не	2	1
267	чуть ли не	2	1
268	но он не	1	1
269	и некоторые другие	1	1
270	той или иной	1	1
271	является не только	1	1
272	это может быть	1	1
273	ясно что при	1	1
274	в этой категории	1	1
275	на своем пути	1	1
276	вследствие того что	1	1
277	тем что в	2	1
278	и только в	3	1
279	же степени как	1	1
280	но и здесь	2	1
281	на то что	5	1
282	ни в каком	1	1
