N	4gram	Bakhtin_fo	Istorich
1	в то время как	2	13
2	в тех случаях когда	1	10
3	так же как и	2	9
4	но вместе с тем	1	8
5	с этой точки зрения	1	6
6	и вместе с тем	1	5
7	от отца к сыну	1	4
8	в том что они	1	3
9	мы уже видели как	1	3
10	до сих пор не	1	3
11	с одной стороны и	2	3
12	дело не только в	1	3
13	мы здесь не можем	1	2
14	в соответствии с этим	2	2
15	с другой стороны в	1	2
16	все больше и больше	1	2
17	похожи друг на друга	2	2
18	одно и то же	4	2
19	но и в других	2	2
20	дело в том что	2	2
21	наряду с этим в	1	2
22	в том числе и	4	2
23	здесь как и в	1	2
24	вплоть до наших дней	1	2
25	друг на друга но	1	1
26	и т д он	1	1
27	но все же и	1	1
28	еще один аналогичный пример	1	1
29	в том что в	1	1
30	принадлежит к тому же	1	1
31	с нашей точки зрения	3	1
32	в связи с этим	4	1
33	как мы уже знаем	1	1
34	в буквальном смысле этого	1	1
35	что во всех этих	1	1
36	но дело не только	1	1
37	мы можем поставить вопрос	1	1
38	с тем и наиболее	1	1
39	дошли до нас в	1	1
40	такую большую роль в	1	1
41	в дальнейшем оказывается что	2	1
42	не только в том	1	1
43	и не могло быть	1	1
44	друг с другом и	1	1
45	на самом деле может	1	1
46	вместе с тем и	1	1
47	одна и та же	2	1
48	говорит о том что	1	1
49	но в данном случае	1	1
50	только в том что	1	1
51	к тому времени уже	1	1
52	в иной мир но	1	1
53	сами по себе они	1	1
54	сюда же относится и	1	1
55	его в связи с	2	1
56	в средние века и	3	1
57	за тридевять земель за	1	1
58	то что происходит в	1	1
59	обратное превращение в человека	1	1
60	превращение в человека и	1	1
61	буквальном смысле этого слова	1	1
62	в то же время	10	1
