N	2gram	Bakhtin_Fr	BTomashe
1	у нас	4	3
2	все это	6	2
3	в ней	6	2
4	можно было	3	2
5	больше чем	3	2
6	и не	25	2
7	видеть в	2	2
8	и о	5	1
9	только более	1	1
10	о них	1	1
11	забывать что	1	1
12	со всем	2	1
13	не только	21	1
14	всего в	1	1
15	таким образом	22	1
16	не было	7	1
17	в эпоху	18	1
18	прежде всего	23	1
19	моментом в	1	1
20	и в	68	1
21	на самом	7	1
22	так и	8	1
23	из своей	1	1
24	в своей	11	1
25	во всяком	2	1
26	и потому	6	1
27	и во	6	1
28	же не	1	1
29	с другой	8	1
30	об этом	3	1
31	художественного произведения	1	1
32	по богатству	1	1
33	богатству материала	1	1
34	своей книге	3	1
35	как будто	2	1
36	точке зрения	1	1
37	этой книги	2	1
38	совершенно не	1	1
39	другой стороны	5	1
40	всяком случае	2	1
41	кроме того	5	1
42	было бы	4	1
43	и ее	3	1
44	одной из	3	1
45	в значительной	3	1
46	в пределах	1	1
47	в данном	5	1
48	выпадает из	1	1
49	в области	5	1
50	далеко не	3	1
51	и более	2	1
52	что все	2	1
53	нельзя не	1	1
54	художественном произведении	1	1
55	никак не	3	1
56	в книге	5	1
57	значительной степени	2	1
58	будто бы	2	1
59	также не	1	1
60	а не	6	1
61	отнюдь не	1	1
62	до конца	10	1
63	представляется нам	2	1
64	не укладывается	1	1
65	и на	16	1
66	между ними	4	1
67	еще не	3	1
68	все же	6	1
69	работа по	1	1
70	что в	14	1
71	меньше чем	3	1
