N	2gram	Losev_Vlad	NovoeSre
1	а не	5	17
2	не может	12	16
3	и в	56	16
4	во имя	1	15
5	совсем не	7	12
6	и не	33	11
7	и есть	2	10
8	что в	24	9
9	истории и	1	9
10	в эпоху	1	9
11	в том	26	8
12	жизни и	8	8
13	он не	13	8
14	в этом	30	7
15	может быть	12	7
16	не будет	1	7
17	как и	7	7
18	ни в	4	6
19	не в	12	6
20	лишь в	3	6
21	от бога	1	6
22	высшей степени	1	6
23	с его	15	6
24	но это	6	6
25	в высшей	2	6
26	никогда не	15	6
27	и к	10	5
28	не только	35	5
29	в ней	5	5
30	истории в	2	5
31	все это	7	5
32	в жизни	4	5
33	в нем	7	5
34	с ее	1	5
35	и потому	8	4
36	к старому	1	4
37	жизни к	1	4
38	и мы	6	4
39	по своему	5	4
40	быть может	1	4
41	не во	1	4
42	должно быть	1	4
43	потому что	16	4
44	большую роль	1	4
45	это не	3	4
46	прежде всего	5	4
47	в них	5	4
48	то что	30	4
49	не было	12	4
50	и все	8	4
51	государства и	1	4
52	не менее	9	4
53	не имеет	2	4
54	и для	4	4
55	о том	13	4
56	к лицу	1	3
57	верить в	1	3
58	во всех	4	3
59	вопрос о	1	3
60	и пр	1	3
61	и быстро	1	3
62	она не	3	3
63	что такое	3	3
64	в прошлом	1	3
65	лицом к	1	3
66	за пределы	3	3
67	конечно не	5	3
68	в истории	4	3
69	не существует	1	3
70	с другой	3	3
71	право и	1	3
72	к ним	1	3
73	в россии	7	3
74	бога и	3	3
75	сказать что	14	3
76	наряду с	1	3
77	и начало	1	3
78	духа и	1	3
79	с тем	4	3
80	к жизни	2	3
81	не есть	4	3
82	в своей	7	3
83	как в	6	3
84	жизни в	3	3
85	но и	26	3
86	это было	9	3
87	жизни не	1	3
88	растет и	1	3
89	к тому	5	3
90	еще не	2	3
91	с этим	3	2
92	и от	6	2
93	и весь	2	2
94	это и	2	2
95	ни к	2	2
96	и материального	1	2
97	и что	11	2
98	не могли	2	2
99	на протяжении	1	2
100	бога но	1	2
101	что она	2	2
102	не имеют	1	2
103	духовной жизни	1	2
104	познания и	1	2
