N	2gram	Tiupa_Lite	DiskursI
1	в качестве	21	72
2	а не	28	60
3	может быть	24	56
4	не только	29	49
5	и в	26	49
6	как и	13	47
7	тогда как	20	47
8	при этом	23	46
9	и не	19	44
10	в том	22	44
11	представляет собой	5	41
12	то есть	11	41
13	том что	19	40
14	в этом	19	38
15	в себе	8	37
16	состоит в	18	37
17	в частности	18	36
18	но и	25	35
19	и т.п	14	32
20	своего рода	22	32
21	но не	8	31
22	отличие от	6	28
23	со стороны	6	28
24	но в	5	28
25	так и	7	28
26	в отличие	6	27
27	не может	10	27
28	по своей	3	26
29	как в	5	25
30	такого рода	18	24
31	коммуникативного события	8	24
32	отнюдь не	4	23
33	еще не	4	23
34	в рамках	9	23
35	а также	5	20
36	в своей	5	19
37	все же	6	19
38	в нем	4	19
39	прежде всего	14	19
40	лирического героя	4	18
41	далеко не	4	18
42	в основе	5	18
43	то же	13	17
44	в данном	7	17
45	с другой	11	17
46	в мире	9	17
47	по отношению	6	17
48	отношению к	4	17
49	точки зрения	8	16
50	только в	8	16
51	о том	3	15
52	художественного письма	11	15
53	то что	14	15
54	роль в	2	15
55	в его	9	15
56	не менее	11	14
57	можно сказать	1	14
58	одной стороны	8	14
59	с одной	9	14
60	не в	11	14
61	ни к	1	14
62	не является	3	14
63	стихотворения в	1	14
64	это не	4	14
65	или иной	3	14
66	как бы	8	13
67	для него	6	13
68	в целом	10	13
69	в своих	5	12
70	ведет к	5	12
71	при всей	5	12
72	в своем	12	12
73	того же	5	12
74	и на	5	12
75	и все	1	12
76	данном случае	6	12
77	являет собой	2	12
78	по мысли	2	11
79	как правило	5	11
80	не было	5	11
81	не сводится	3	11
82	столь же	5	11
83	что в	7	11
84	с его	5	11
85	и как	2	11
86	в тексте	9	11
87	не столько	8	10
88	в лирике	3	10
89	лирического субъекта	1	10
90	той или	1	10
91	а с	2	10
92	для себя	6	10
93	вследствие этого	1	10
94	по сути	1	10
95	а в	5	10
96	же время	12	10
97	также и	3	10
98	и т.д	8	10
99	в них	1	9
100	уже не	9	9
101	пока еще	1	9
102	себя в	7	9
103	коммуникативное событие	6	9
104	между тем	2	9
105	в силу	4	9
106	в то	12	9
107	героя в	2	9
108	сводится к	4	9
109	художественного целого	3	9
110	картина мира	2	9
111	еще в	7	9
112	тем самым	8	9
113	в этих	2	8
114	и даже	9	8
115	в соответствии	2	8
116	к тому	3	8
117	в котором	1	8
118	в противоположность	2	8
119	в творчестве	2	8
120	в одном	2	8
121	из них	5	8
122	в себя	5	8
123	он не	4	8
124	если в	2	8
125	не на	2	8
126	не следует	1	8
127	жизни в	5	8
128	потому что	5	8
129	соответствии с	3	8
130	этом отношении	5	8
131	человека в	5	8
132	как уже	3	8
133	не с	2	8
134	очевидным образом	1	8
135	и о	1	8
136	лирический герой	14	8
137	другой стороны	5	7
138	таким образом	4	7
139	иначе говоря	2	7
140	в русской	13	7
141	одной из	2	7
142	что и	3	7
143	тому же	2	7
144	его в	4	7
145	к этому	2	7
146	в этой	7	7
147	я в	12	7
148	могут быть	4	7
149	в рассказе	1	7
150	например в	3	7
151	приводит к	4	7
152	перед нами	1	7
153	с позиции	3	7
154	присутствия в	1	7
155	той же	5	7
156	но это	2	7
157	и для	1	7
158	основе своей	1	7
159	нового времени	2	7
160	в пределах	4	7
161	лишь в	4	7
162	в ходе	2	7
163	и его	7	7
164	мира в	4	7
165	не как	4	6
166	одно из	3	6
167	в строгом	1	6
168	дискурс не	1	6
169	именно в	1	6
170	конечном счете	8	6
171	и того	2	6
172	в противовес	2	6
173	времени в	1	6
174	в контексте	1	6
175	одна из	8	6
176	крайней мере	2	6
177	картину мира	1	6
178	никогда не	5	6
179	то в	3	6
180	в принципе	7	6
181	с точки	4	6
182	в ее	1	6
183	в ситуации	2	6
184	в конечном	9	6
185	можно признать	1	6
186	не знает	3	6
187	во всех	4	6
188	героя и	2	6
189	однако в	7	6
190	в особенности	2	6
191	в сущности	5	6
192	и то	3	6
193	имеет место	1	6
194	разумеется не	2	6
195	и одновременно	2	6
196	что он	8	6
197	к его	1	6
198	в которых	1	6
199	по крайней	2	6
200	в истории	1	6
201	что же	1	6
202	здесь не	1	6
203	дело в	3	6
204	в эпоху	1	6
205	в одной	1	6
206	тому как	4	6
207	отношение к	1	6
208	одного из	4	6
209	в той	1	5
210	субъекта в	1	5
211	русской литературе	7	5
212	исходя из	3	5
213	может служить	1	5
214	строго говоря	1	5
215	в виду	4	5
216	из двух	1	5
217	мысль о	2	5
218	в ряду	1	5
219	на мой	1	5
220	в другом	3	5
221	не всегда	1	5
222	с.с аверинцева	2	5
223	но они	1	5
224	говорить о	1	5
225	значительной степени	1	5
226	не вполне	1	5
227	свою очередь	2	5
228	за рамки	1	5
229	перед ним	2	5
230	сказать что	1	5
231	к себе	3	5
232	несмотря на	3	5
233	как раз	6	5
234	для своего	2	5
235	сути своей	1	5
236	я и	10	5
237	так сказать	1	5
238	в сторону	1	5
239	мой взгляд	1	5
240	на этом	3	5
241	текста а	1	5
242	эстетической деятельности	7	5
243	но при	2	5
244	следует признать	2	5
245	подход к	1	5
246	с ее	3	5
247	тем что	6	5
248	одного и	1	5
249	во второй	2	5
250	но одновременно	2	5
251	во втором	3	5
252	один из	7	5
253	представляют собой	1	5
254	по слову	1	5
255	подобно тому	4	5
256	себе не	2	5
257	за пределы	3	5
258	в свою	2	5
259	в значительной	1	5
260	адресата в	2	5
261	переход от	1	5
262	при котором	2	5
263	к той	1	5
264	стихотворение в	1	5
265	ничего не	3	5
266	того что	7	5
267	в литературе	2	5
268	того как	1	5
269	о нем	1	5
270	художественного дискурса	2	5
271	несет в	2	5
272	по словам	1	5
273	в ней	4	5
274	и состоит	2	5
275	мира и	1	5
276	в их	3	5
277	и потому	1	5
278	в акте	1	5
279	из этих	2	5
280	по бахтину	1	5
281	коммуникативной стратегии	1	5
282	в концовке	2	5
283	стороны и	1	5
284	как будто	2	5
285	не к	3	5
286	в самом	4	4
287	и к	1	4
288	в равной	4	4
289	оказывается не	2	4
290	по выражению	2	4
291	говорит о	1	4
292	общения и	1	4
293	в году	18	4
294	в результате	2	4
295	и само	3	4
296	своего адресата	1	4
297	а напротив	1	4
298	в первом	1	4
299	и до	1	4
300	в жизни	7	4
301	его на	1	4
302	отличается от	1	4
303	во всяком	3	4
304	восходит к	2	4
305	на адресата	1	4
306	между двумя	1	4
307	следует отнести	1	4
308	только на	3	4
309	а сам	1	4
310	с читателем	2	4
311	и представляет	1	4
312	что они	1	4
313	по преимуществу	6	4
314	об одном	1	4
315	в произведении	1	4
316	тем не	4	4
317	аналогии с	3	4
318	к жизни	2	4
319	связи с	7	4
320	не о	1	4
321	полной мере	1	4
322	одним из	8	4
323	что не	3	4
324	который по	1	4
325	жизненной позиции	1	4
326	я не	8	4
327	не есть	2	4
328	человеческого существования	2	4
329	одном из	3	4
330	в исторической	1	4
331	в наше	1	4
332	и весьма	2	4
333	и тем	4	4
334	как это	9	4
335	силу своей	3	4
336	и есть	3	4
337	в культуре	5	4
338	наше время	1	4
339	и мн	1	4
340	однако и	2	4
341	жизни а	1	4
342	с ним	2	4
343	из того	3	4
344	не могут	1	4
345	особого рода	3	4
346	не более	2	4
347	с ней	1	4
348	можно назвать	1	4
349	и адресата	4	4
350	произведение в	2	4
351	в оде	1	4
352	к другому	1	4
353	свое время	1	4
354	более чем	4	4
355	в становлении	2	4
356	во мне	2	4
357	в современном	1	4
358	составляет не	1	4
359	тот или	1	4
360	первобытного человека	1	4
361	и во	1	4
362	до конца	3	4
363	у них	1	4
364	текста в	1	4
365	этом случае	2	4
366	в свое	1	4
367	мы имеем	2	4
368	не для	2	4
369	в основании	1	4
370	во внешнем	1	4
371	есть в	1	4
372	и др	4	4
373	со своим	2	4
374	или в	1	4
375	объекта и	2	4
376	с той	1	4
377	в какой	2	4
378	но уже	2	4
379	вследствие чего	1	4
380	а на	1	4
381	а к	2	4
382	в полной	1	4
383	которая может	1	4
384	одну из	2	4
385	а по	2	4
386	по формуле	2	4
387	частности в	1	4
388	и.п смирнов	5	4
389	и прежде	4	4
390	мн др	1	4
391	может и	1	4
392	в е	3	4
393	более того	1	4
394	более не	2	3
395	является в	1	3
396	говоря уже	3	3
397	человеческого присутствия	1	3
398	в момент	1	3
399	которая в	3	3
400	дело с	1	3
401	не бывает	2	3
402	у пушкина	1	3
403	на смену	6	3
404	но все	1	3
405	и сам	6	3
406	на первый	1	3
407	первый взгляд	1	3
408	в действительности	2	3
409	вопрос о	1	3
410	белкина в	1	3
411	в пределе	1	3
412	индивидуального бытия	1	3
413	означает не	1	3
414	на рубеже	4	3
415	как на	3	3
416	художественное высказывание	1	3
417	имеем дело	2	3
418	это прежде	1	3
419	тут же	1	3
420	понятие о	1	3
421	базируется на	1	3
422	на почве	2	3
423	и он	3	3
424	субъект самоопределения	1	3
425	в жертву	1	3
426	и столь	1	3
427	вплоть до	4	3
428	в повестях	4	3
429	своего другого	6	3
430	по справедливому	1	3
431	стремится к	1	3
432	или не	1	3
433	в которой	1	3
434	своего и	1	3
435	по аналогии	3	3
436	на себя	4	3
437	жанра но	1	3
438	в области	5	3
439	жизненный путь	2	3
440	ивана петровича	1	3
441	лирическое я	5	3
442	в борисе	1	3
443	здесь как	2	3
444	о себе	7	3
445	повестях белкина	2	3
446	но как	3	3
447	причастности к	5	3
448	с адресатом	1	3
449	концепция адресата	1	3
450	самому себе	2	3
451	этой причине	2	3
452	своего времени	2	3
453	одно и	1	3
454	и что	2	3
455	героя как	2	3
456	не просто	2	3
457	то ни	1	3
458	равной степени	2	3
459	было бы	4	3
460	не будучи	1	3
461	о его	1	3
462	и от	1	3
463	бы быть	1	3
464	пушкиным в	1	3
465	и по	1	3
466	не случайно	5	3
467	мире и	1	3
468	петровича белкина	1	3
469	должна быть	3	3
470	с миром	5	3
471	литературного письма	3	3
472	различного рода	2	3
473	жизни сознания	1	3
474	в миропорядке	2	3
475	литературного произведения	4	3
476	текста и	1	3
477	ориентировано на	1	3
478	оказывается в	1	3
479	себя с	1	3
480	в романе	1	3
481	отношения к	1	3
482	вместе с	5	3
483	перед лицом	2	3
484	не имеет	2	3
485	да и	3	3
486	роли в	1	3
487	художественной словесности	1	3
488	всей своей	2	3
489	уже говорилось	1	3
490	и более	1	3
491	это мир	2	3
492	своей собственной	2	3
493	который не	1	3
494	идет о	4	3
495	на том	3	3
496	автора и	1	3
497	слова и	6	3
498	на основании	1	3
499	тем же	5	3
500	как мы	2	3
501	может оказаться	1	3
502	всяком случае	2	3
503	по этой	2	3
504	жизни не	2	3
505	письма в	1	3
506	жизни но	1	3
507	на языке	1	3
508	ему в	2	3
509	они не	1	3
510	произведения как	2	3
511	различие между	3	3
512	и было	1	3
513	том числе	2	3
514	уже в	7	3
515	мы не	5	3
516	еще и	3	3
517	внешнем мире	1	3
518	в формах	4	3
519	коммуникативная стратегия	9	3
520	в полном	1	3
521	этом в	3	3
522	с их	3	3
523	однако не	2	3
524	что ни	1	3
525	этого рода	2	3
526	уклонение от	1	3
527	и всякое	1	3
528	в литературу	1	3
529	в сферу	2	3
530	борисе годунове	1	3
531	и без	1	3
532	не подлежит	1	3
533	все эти	2	3
534	ли не	7	3
535	в новом	1	3
536	в каждой	2	3
537	бы это	1	3
538	не говоря	3	3
539	личности в	4	3
540	он говорит	2	3
541	как представляется	2	3
542	она не	1	3
543	хотя бы	3	3
544	дело не	2	3
545	обнаруживаются в	2	3
546	когда он	1	3
547	в начале	4	3
548	при всем	4	3
549	в большинстве	1	3
550	герой не	1	3
551	слова в	2	3
552	жизни и	6	3
553	уже о	2	3
554	себе самому	1	3
555	и.п смирнова	4	3
556	бытия в	1	3
557	для этого	5	3
558	и наконец	2	3
559	и иные	1	3
560	во всем	1	2
561	мы можем	1	2
562	для всех	5	2
563	в душе	3	2
564	в настоящем	1	2
565	субъекта жизни	2	2
566	к традициям	1	2
567	и читателем	3	2
568	граница между	2	2
569	с этой	6	2
570	эстетического объекта	7	2
571	о них	1	2
572	мысли и	1	2
573	общим местом	2	2
574	в некоторых	1	2
575	принадлежности к	1	2
576	с собачкой	2	2
577	требует от	1	2
578	такова что	1	2
579	переходит к	1	2
580	к собственному	1	2
581	как было	1	2
582	мыслится как	5	2
583	я героя	1	2
584	как субъекта	1	2
585	собой все	1	2
586	в классическом	1	2
587	и с	4	2
588	о мире	1	2
589	за ним	1	2
590	от всего	1	2
591	в построении	1	2
592	в.т и	1	2
593	ему по	1	2
594	из канонических	1	2
595	лица в	1	2
596	всех подобных	1	2
597	речь идет	3	2
598	воспринимающего сознания	2	2
599	такого дискурса	1	2
600	так например	1	2
601	обращение к	1	2
602	большей части	1	2
603	ставят перед	1	2
604	вследствие которого	2	2
605	не могли	1	2
606	же автора	1	2
607	первого лица	2	2
608	самого субъекта	1	2
609	для того	2	2
610	которых не	1	2
611	сознания в	14	2
612	в различных	1	2
613	обращаясь к	4	2
614	е годы	3	2
615	к которой	1	2
616	принадлежит не	1	2
617	о литературе	2	2
618	самого начала	1	2
619	в чистом	1	2
620	было сказано	1	2
621	я с	1	2
622	жизни как	3	2
623	проницательно охарактеризовал	1	2
624	том чтобы	1	2
625	все то	2	2
626	установка на	1	2
627	в нашем	2	2
628	на него	1	2
629	под названием	3	2
630	реализуется в	1	2
631	для понимания	2	2
632	который в	2	2
633	не удивительно	1	2
634	в литературоведении	1	2
635	текст и	1	2
636	он сам	2	2
637	по поводу	2	2
638	что даже	1	2
639	деятельности в	4	2
640	в.в розанова	1	2
641	едва ли	5	2
642	все перечисленные	1	2
643	от ее	1	2
644	к нему	1	2
645	всего в	4	2
646	бы то	1	2
647	к общему	3	2
648	той мере	1	2
649	собой и	1	2
650	мышления и	3	2
651	я на	3	2
652	сознания с	1	2
653	х гг	1	2
654	должно быть	1	2
655	я как	1	2
656	как эстетической	2	2
657	ни было	2	2
658	взаимодействующих сознаний	2	2
659	м.л гаспарова	2	2
660	лирический сюжет	2	2
661	человеческого опыта	1	2
662	бытия и	1	2
663	человек как	1	2
664	текст не	1	2
665	с другими	1	2
666	не обладает	2	2
667	не от	1	2
668	иного рода	1	2
669	хх веку	1	2
670	природу и	1	2
671	в третьем	3	2
672	у него	5	2
673	отношения между	3	2
674	хх столетия	2	2
675	всем что	1	2
676	все того	1	2
677	но для	1	2
678	очевидно что	2	2
679	взаимодействия с	1	2
680	человек в	2	2
681	же как	3	2
682	большинстве случаев	1	2
683	герой в	1	2
684	во главе	2	2
685	должно было	1	2
686	себе и	2	2
687	к мысли	1	2
688	а только	2	2
689	в чем	2	2
690	как субъект	1	2
691	это тоже	1	2
692	кто из	1	2
693	вопроса о	1	2
694	не был	1	2
695	в каждом	2	2
696	по большей	1	2
697	не имея	1	2
698	и пространства	1	2
699	решающее значение	1	2
700	всего лишь	7	2
701	личности и	1	2
702	своей внутренней	2	2
703	в случае	5	2
704	никого не	1	2
705	но зато	2	2
706	иметь в	1	2
707	также не	1	2
708	в историческом	1	2
709	первого и	1	2
710	покоя и	1	2
711	личного существования	1	2
712	для литературы	1	2
713	жизнь как	1	2
714	только с	1	2
715	события общения	1	2
716	что может	1	2
717	в первой	1	2
718	писателя в	2	2
719	а как	2	2
720	в него	1	2
721	себе как	2	2
722	чем и	1	2
723	и чужого	2	2
724	бы я	2	2
725	мы видели	1	2
726	надо полагать	1	2
727	рамках которого	1	2
728	на деле	1	2
729	а потому	4	2
730	не позволяет	1	2
731	во множестве	1	2
732	по определению	1	2
733	как с	1	2
734	в хх	9	2
735	в основном	1	2
736	как к	4	2
737	хх веке	8	2
738	xix столетия	3	2
739	переживание переживания	1	2
740	говорит и	1	2
741	нашего времени	2	2
742	из которых	3	2
743	поэтому в	1	2
744	нередко и	1	2
745	в отношении	2	2
746	в ценностном	1	2
747	то с	2	2
748	и вполне	3	2
749	этом как	3	2
750	этом своем	1	2
751	письма как	1	2
752	если бы	1	2
753	самом деле	2	2
754	как писал	3	2
755	самим собой	2	2
756	от своего	3	2
757	в россии	2	2
758	одновременно с	2	2
759	в различные	1	2
760	не делает	1	2
761	оказываются не	1	2
762	в памяти	1	2
763	поскольку в	3	2
764	предстает субъектом	1	2
765	от его	1	2
766	в xix	1	2
767	не приводит	1	2
768	художественного мышления	3	2
769	себя и	3	2
770	о любви	1	2
771	начале х	1	2
772	вместо заключения	1	2
773	ключом к	1	2
774	в стихах	8	2
775	марка ивановича	1	2
776	эти характеристики	1	2
777	преступления и	1	2
778	второго лица	1	2
779	и выступает	1	2
780	одним и	1	2
781	повседневного существования	1	2
782	натуральной школы	1	2
783	тех же	3	2
784	столь уж	1	2
785	в роли	3	2
786	не должно	1	2
787	на основе	2	2
788	речевой культуры	1	2
789	в значении	1	2
790	со всей	2	2
791	и вся	1	2
792	отношении к	2	2
793	и ему	1	2
794	к одному	1	2
795	своем качестве	1	2
796	вслед за	1	2
797	целый ряд	1	2
798	каждый из	4	2
799	было и	1	2
800	в выявлении	1	2
801	повествование в	1	2
802	поэзии как	1	2
803	автора в	2	2
804	из наиболее	2	2
805	мышления но	1	2
806	событий в	1	2
807	героя оказывается	1	2
808	субъекта объекта	1	2
809	одного сознания	1	2
810	столько в	1	2
811	к предмету	1	2
812	друг друга	5	2
813	словами бахтина	1	2
814	во внутреннем	1	2
815	как некий	2	2
