N	3gram	Bakhtin_Fr	VerxiiNi
1	с одной стороны	3	7
2	с точки зрения	4	6
3	во всяком случае	1	6
4	а с другой	1	5
5	до сих пор	3	5
6	в том числе	4	5
7	более или менее	3	5
8	том числе и	2	4
9	с тем чтобы	1	4
10	но все же	1	4
11	о том что	4	4
12	к тому же	1	4
13	в том что	4	3
14	в конце концов	5	3
15	в связи с	2	3
16	а так как	1	3
17	верхом и низом	1	3
18	ничего общего с	1	2
19	некоторые из них	1	2
20	те и другие	2	2
21	той или иной	1	2
22	и связанные с	1	2
23	в значительной мере	1	2
24	не только для	1	2
25	то что он	1	2
26	сих пор еще	3	2
27	говорили о том	1	2
28	таким образом в	2	2
29	с самого начала	1	2
30	есть как бы	1	2
31	то же самое	1	2
32	и те и	2	2
33	в этом отношении	3	2
34	то же время	12	2
35	в то же	12	2
36	но и для	2	2
37	но все это	2	2
38	и в этом	1	2
39	мы видели что	1	1
40	находит свое завершение	1	1
41	так и в	3	1
42	что и у	2	1
43	у него в	2	1
44	в первом случае	1	1
45	с представлением о	1	1
46	притом не только	1	1
47	не потому что	1	1
48	том как бы	1	1
49	именно потому что	1	1
50	сказать что в	1	1
51	в свою очередь	3	1
52	в настоящее время	1	1
53	по своему характеру	1	1
54	смысле этого слова	1	1
55	может и не	1	1
56	но в то	3	1
57	речь идет о	1	1
58	тем что в	1	1
59	один из этих	1	1
60	мы видим что	2	1
61	до известной степени	1	1
62	одной стороны с	1	1
63	отправной точкой для	1	1
64	все это мы	1	1
65	то есть о	2	1
66	по отношению к	3	1
67	с половиной века	1	1
68	в данном случае	1	1
69	мы имеем в	2	1
70	в том или	2	1
71	оказывается что все	1	1
72	и не могут	1	1
73	и превращается в	1	1
74	же что и	2	1
75	в этой роли	2	1
76	после того как	6	1
77	до настоящего времени	1	1
78	в эту эпоху	1	1
79	говорить не приходится	1	1
80	как в прямом	1	1
81	что в этом	1	1
82	и того же	1	1
83	что касается до	1	1
84	в xvii веке	1	1
85	имеем в виду	2	1
86	том что они	1	1
87	с тем что	1	1
88	и есть то	2	1
89	том или ином	2	1
90	связан и другой	1	1
91	души от тела	1	1
92	в широком смысле	1	1
93	и по своим	1	1
94	и в сущности	1	1
95	в самом деле	3	1
96	в одном из	2	1
97	связанных с именем	1	1
98	а следовательно и	2	1
99	в этом процессе	1	1
100	таким образом уже	1	1
101	и что он	1	1
102	как бы в	1	1
103	и в этой	2	1
104	с другой стороны	2	1
105	уже говорили о	2	1
106	человека и в	1	1
107	оценке с точки	1	1
108	мы уже говорили	12	1
109	рождение и смерть	1	1
110	в лесах и	1	1
111	о том как	3	1
112	одном из своих	1	1
113	свидетельствует о том	2	1
114	не совпадает с	1	1
115	в то время	1	1
116	это и есть	1	1
117	но по существу	2	1
118	что и в	1	1
119	физическая сила и	1	1
120	это связано с	1	1
121	два с половиной	1	1
122	одного и того	1	1
123	в которых он	1	1
124	никогда не могут	1	1
125	друг к другу	1	1
