N	4gram	Tiupa_Narr	Istorich
1	в то время как	1	13
2	по мере того как	1	8
3	с этой точки зрения	1	6
4	точно так же как	1	6
5	состоит в том что	5	4
6	точно так же в	1	3
7	один и тот же	1	3
8	с одной стороны и	1	3
9	внимание на то что	2	3
10	дело не только в	2	3
11	бы то ни было	1	3
12	одно и то же	2	2
13	же как и в	1	2
14	и здесь мы имеем	1	2
15	ответ на этот вопрос	1	2
16	но и в других	1	2
17	дело в том что	2	2
18	и не может быть	2	2
19	в том числе и	1	2
20	друг на друга но	1	1
21	есть на самом деле	1	1
22	видит в нем своего	1	1
23	в том смысле как	1	1
24	никогда не было и	1	1
25	в связи с этим	1	1
26	с этой стороны может	1	1
27	мысль о том что	1	1
28	не само по себе	1	1
29	отнюдь не означает что	1	1
30	сам по себе а	1	1
31	этой стороны может быть	1	1
32	все время пребывания в	1	1
33	ни тот ни другой	1	1
34	и не могло быть	1	1
35	он не может быть	1	1
36	с большей или меньшей	1	1
37	одна и та же	1	1
38	в данном случае это	1	1
39	не в том как	1	1
40	к тому или иному	1	1
41	между жизнью и смертью	1	1
42	не сами по себе	1	1
43	мы имеем дело с	4	1
44	в том что на	1	1
45	как если бы она	1	1
46	и так или иначе	1	1
47	одна из них не	1	1
48	никак не может быть	1	1
49	какой бы то ни	1	1
50	обратим внимание на то	1	1
51	в то же время	7	1
