N	3gram	Losev_Vlad	UchenyiS
1	не может быть	4	4
2	то ни было	1	3
3	с другой стороны	3	3
4	в этой области	1	3
5	бы то ни	2	3
6	в то же	7	3
7	то же время	7	3
8	и то что	7	2
9	в том что	13	2
10	в самом деле	1	2
11	и в частности	3	2
12	в конце концов	6	2
13	в этом отношении	2	2
14	но даже и	3	2
15	по крайней мере	1	2
16	в этом смысле	4	2
17	в последние годы	2	1
18	в которой все	1	1
19	сам по себе	1	1
20	и в конце	2	1
21	так или иначе	3	1
22	по существу то	1	1
23	но что такое	1	1
24	что мы и	1	1
25	в своей работе	1	1
26	в этой же	1	1
27	но в то	2	1
28	с тем что	1	1
29	ошибок но в	1	1
30	с одной стороны	1	1
31	нам представляется что	1	1
32	в ней не	1	1
33	можно сказать что	3	1
34	равно как и	1	1
35	конечно не в	1	1
36	это не только	1	1
37	в значительной мере	1	1
38	не было бы	1	1
39	на первый план	4	1
40	даны не только	1	1
41	в той же	1	1
42	не в том	3	1
43	на то что	6	1
44	не только в	3	1
45	более или менее	5	1
46	и в то	3	1
47	но это не	2	1
48	само по себе	1	1
49	у него уже	1	1
50	выдвигает на первый	1	1
51	что он и	1	1
52	для тех кто	1	1
53	в этом случае	1	1
