N	2gram	Berdyaev_V	Vladivir
1	и в	16	116
2	то что	9	71
3	и не	20	67
4	у него	1	65
5	не только	2	65
6	в этом	4	53
7	в том	3	52
8	том что	2	51
9	что в	3	48
10	но и	5	47
11	в конце	3	41
12	в его	4	40
13	и с	1	39
14	то есть	1	37
15	потому что	4	33
16	что он	4	32
17	еще и	1	32
18	только в	2	30
19	как мы	1	29
20	никогда не	3	29
21	для него	2	29
22	вовсе не	1	27
23	а в	2	27
24	не было	3	26
25	а к	2	25
26	но в	3	25
27	и то	2	25
28	может быть	1	23
29	он был	1	22
30	ни в	3	22
31	так как	9	22
32	в виде	1	22
33	в своей	3	21
34	вместе с	1	21
35	и что	3	20
36	в своем	1	20
37	для нас	2	20
38	прежде всего	2	20
39	и вообще	1	19
40	так и	4	19
41	и потому	7	19
42	как и	4	18
43	не в	3	18
44	не был	1	18
45	хотя и	5	18
46	как это	1	18
47	с его	3	18
48	то это	3	17
49	что и	3	17
50	в этой	1	17
51	и если	1	17
52	а не	7	17
53	у нас	1	17
54	все же	1	16
55	уже не	2	16
56	к тому	3	16
57	не есть	6	16
58	для себя	1	16
59	и все	4	16
60	того что	5	16
61	в котором	4	16
62	то же	1	15
63	в своих	1	15
64	к этому	1	15
65	но это	3	15
66	все эти	3	14
67	раз и	1	14
68	и на	1	14
69	уже в	1	14
70	во всем	1	13
71	в результате	1	13
72	с тем	2	13
73	так же	1	13
74	не просто	1	13
75	и от	1	13
76	что это	1	13
77	да и	2	13
78	жизни и	3	13
79	и это	2	12
80	и по	1	12
81	в нем	4	12
82	если не	3	12
83	ничего не	1	12
84	во всяком	2	12
85	него в	1	11
86	но что	1	11
87	хотя бы	3	11
88	в которой	1	11
89	я не	1	11
90	все это	5	11
91	конце концов	1	11
92	в самом	1	10
93	вот что	1	10
94	что все	4	10
95	можно было	2	10
96	к нему	1	10
97	с ним	2	10
98	еще не	8	10
99	в истории	8	10
100	в ней	4	10
101	но не	2	10
102	о чем	1	9
103	и сам	2	9
104	с другой	1	9
105	и можно	1	9
106	но как	1	9
107	а с	2	9
108	не будет	2	9
109	мы будем	1	9
110	что мы	4	9
111	это не	2	9
112	в целом	1	9
113	с этой	1	8
114	это значит	1	8
115	в этих	3	8
116	тем что	2	8
117	конечно не	2	8
118	это мы	2	8
119	в чем	3	8
120	как в	1	8
121	должно быть	3	8
122	как бы	5	8
123	и для	3	8
124	тот же	3	8
125	тоже не	1	8
126	и я	4	8
127	отношение к	1	8
128	мы и	2	7
129	в одном	1	7
130	в них	3	7
131	но все	1	7
132	и мы	3	7
133	себе и	1	7
134	был в	1	7
135	и есть	4	7
136	который был	1	7
137	в я	1	7
138	но вот	1	7
139	не имеет	3	7
140	бы и	3	7
141	и вот	1	7
