N	2gram	Bakhtin_fo	Russkaja
1	не может	8	22
2	и не	19	19
3	в этом	41	17
4	в том	16	17
5	с другом	5	14
6	и в	84	14
7	друг с	5	14
8	то что	13	13
9	самим собой	2	12
10	таким образом	14	11
11	то же	18	11
12	точки зрения	14	11
13	но и	14	10
14	же время	13	10
15	в то	13	10
16	не только	16	9
17	с точки	9	9
18	том что	7	9
19	во всяком	5	9
20	может быть	18	9
21	в себе	7	9
22	прежде всего	28	8
23	того чтобы	11	8
24	как на	2	8
25	ни к	3	7
26	самом деле	2	7
27	к тому	6	7
28	о том	4	7
29	самого себя	1	7
30	в данном	4	7
31	мы должны	2	7
32	и с	10	7
33	отнюдь не	7	7
34	и к	4	6
35	для всех	3	6
36	если в	1	6
37	и при	1	6
38	для него	5	6
39	все это	10	6
40	на самом	1	6
41	в своих	1	6
42	если бы	6	6
43	и для	12	6
44	с тем	5	6
45	что он	2	6
46	для того	12	6
47	своего народа	1	6
48	в своем	8	6
49	всяком случае	1	6
50	до сих	4	5
51	и на	13	5
52	из которых	1	5
53	только в	12	5
54	или иной	4	5
55	по существу	17	5
56	в своей	2	5
57	жизни в	11	5
58	себя и	6	5
59	между собой	5	5
60	во всех	13	5
61	сих пор	4	5
62	и только	3	5
63	вопрос о	2	5
64	хотя бы	2	5
65	потому что	11	5
66	в нем	28	5
67	между тем	1	5
68	он не	6	5
69	конечно не	7	5
70	а в	6	5
71	при этом	8	5
72	было бы	2	5
73	на то	1	5
74	он должен	2	5
75	никогда не	8	5
76	что в	9	4
77	во всем	3	4
78	и то	5	4
79	все что	2	4
80	когда они	1	4
81	так как	12	4
82	возможно лишь	1	4
83	к этой	1	4
84	быть самим	1	4
85	тогда когда	2	4
86	в его	19	4
87	не могут	4	4
88	его в	8	4
89	не в	10	4
90	в корне	2	4
91	вместе с	9	4
92	как и	15	4
93	на земле	2	4
94	в мире	4	4
95	все же	12	4
96	приводит к	1	4
97	в их	9	4
98	к вопросу	2	4
99	себе и	4	4
100	которой он	3	4
101	в совершенно	3	4
102	и т.д	2	4
103	как бы	11	4
104	путь к	1	4
105	в этой	3	4
106	себя в	2	4
107	жизни и	12	4
108	но не	9	4
109	точку зрения	3	4
110	в другое	1	4
111	в самом	9	3
112	то в	2	3
113	что они	3	3
