N	2gram	Ircho_Kome	EvropaiE
1	и в	40	37
2	в отношении	6	32
3	в пределах	1	25
4	точки зрения	7	23
5	что в	12	21
6	не только	12	18
7	в то	14	16
8	то же	7	15
9	хотя бы	2	15
10	отношении к	1	15
11	в качестве	8	14
12	и не	19	14
13	но и	14	14
14	же время	5	14
15	в своем	6	14
16	но в	6	14
17	в этом	9	12
18	в том	19	11
19	в их	6	11
20	в области	3	11
21	с и	5	10
22	так и	17	10
23	в себе	3	9
24	т е	14	9
25	прежде всего	8	9
26	только в	6	9
27	все более	4	9
28	так же	4	9
29	не может	3	9
30	отнюдь не	2	9
31	с одной	5	8
32	в ее	2	8
33	в своей	3	8
34	одной стороны	5	8
35	между тем	9	8
36	было бы	8	8
37	к тому	15	8
38	так как	6	7
39	того что	1	7
40	а также	5	7
41	как и	12	7
42	между прочим	2	7
43	по своему	5	7
44	также и	1	7
45	с другой	7	7
46	то есть	1	6
47	с этой	3	6
48	в современности	1	6
49	в последние	2	6
50	и даже	5	6
51	вслед за	4	6
52	и на	9	6
53	том что	19	6
54	вовсе не	3	6
55	во всех	4	6
56	может быть	16	6
57	того чтобы	4	6
58	для того	3	6
59	то что	8	6
60	как бы	3	6
61	на то	3	6
62	в той	2	5
63	тем самым	1	5
64	в виде	3	5
65	этой точки	1	5
66	не в	8	5
67	но не	3	5
68	к которым	1	5
69	от этого	2	5
70	со стороны	3	5
71	и потому	1	5
72	в течение	5	5
73	же как	3	5
74	в частности	7	5
75	как мы	5	5
76	одной из	6	5
77	столь же	9	5
78	но если	4	5
79	и по	6	5
80	в самом	5	4
81	бы то	4	4
82	то в	1	4
83	мы не	4	4
84	даже в	3	4
85	ни было	4	4
86	того или	1	4
87	иными словами	1	4
88	не на	1	4
89	и притом	2	4
90	само по	1	4
91	из числа	6	4
92	именно в	5	4
93	по себе	2	4
94	не имеет	1	4
95	в каком	1	4
96	культуры в	1	4
97	тем более	1	4
98	той или	1	4
99	вопрос о	5	4
100	то ни	4	4
101	или иного	1	4
102	как это	7	4
103	несмотря на	5	4
104	к ней	2	4
105	в ней	2	4
106	сказать что	1	4
107	или иной	1	4
108	мира в	5	4
109	культурной жизни	1	4
110	независимо от	5	4
111	до г	1	3
112	и к	2	3
113	применении к	1	3
114	всех случаях	1	3
115	в применении	1	3
116	из всех	2	3
117	этом отношении	3	3
118	по общему	1	3
119	ее в	2	3
120	в аттику	2	3
121	народ и	1	3
122	что и	10	3
123	европейской культуры	2	3
124	в результате	5	3
125	мы можем	6	3
126	не является	2	3
127	можно было	5	3
128	как было	1	3
129	на себя	5	3
130	не более	2	3
131	тем что	5	3
132	очевидно что	1	3
133	в таком	1	3
134	в стороне	1	3
135	большинстве случаев	2	3
136	как в	8	3
