N	2gram	Trubetskoy	BTomashe
1	все это	6	2
2	в ней	2	2
3	можно было	4	2
4	больше чем	2	2
5	и не	19	2
6	видеть в	2	2
7	следовало бы	1	1
8	неудивительно что	1	1
9	для которой	1	1
10	вопрос о	5	1
11	говорить о	3	1
12	было говорить	1	1
13	и о	2	1
14	не только	9	1
15	остановиться на	1	1
16	а о	1	1
17	всего в	1	1
18	таким образом	11	1
19	не было	3	1
20	в эпоху	1	1
21	прежде всего	8	1
22	и в	14	1
23	на самом	6	1
24	так и	1	1
25	на которой	2	1
26	в своей	5	1
27	во всяком	9	1
28	и потому	3	1
29	и во	3	1
30	по нашему	1	1
31	по крайней	1	1
32	с другой	1	1
33	об этом	1	1
34	как будто	2	1
35	точке зрения	3	1
36	совершенно не	2	1
37	не следовало	1	1
38	не о	2	1
39	крайней мере	1	1
40	всяком случае	6	1
41	было бы	5	1
42	не следует	1	1
43	одной из	3	1
44	в значительной	3	1
45	в данном	7	1
46	более что	1	1
47	должна быть	2	1
48	в области	2	1
49	тем более	1	1
50	говорить не	1	1
51	и более	2	1
52	что все	3	1
53	никак не	1	1
54	узко и	1	1
55	значительной степени	1	1
56	ясного и	1	1
57	а не	2	1
58	отнюдь не	7	1
59	до конца	1	1
60	сейчас в	1	1
61	и на	5	1
62	еще не	3	1
63	целиком в	1	1
64	к ней	1	1
65	все же	4	1
66	работу по	1	1
67	работа по	2	1
68	что в	4	1
