N	4gram	Voloshinov	TeoriaLi
1	в то же время	1	8
2	имеем в виду не	1	3
3	мы имеем в виду	1	3
4	ни в коем случае	1	2
5	одно и то же	2	2
6	бы то ни было	3	2
7	но в то же	1	2
8	по отношению к герою	1	2
9	должен занимать особую притом	1	1
10	бы они ни были	1	1
11	автору и по отношению	1	1
12	отношению к автору и	1	1
13	художественного творчества он должен	1	1
14	незаместимое место в событии	1	1
15	занимать особую притом двустороннюю	1	1
16	в том что в	1	1
17	случае мы имеем дело	1	1
18	особую притом двустороннюю позицию	1	1
19	свое незаместимое место в	1	1
20	и по отношению к	3	1
21	двустороннюю позицию в нем	1	1
22	с одной стороны и	2	1
23	притом двустороннюю позицию в	1	1
24	в нем по отношению	1	1
25	нем по отношению к	1	1
26	дело в том что	4	1
27	позицию в нем по	1	1
28	событии художественного творчества он	1	1
29	по отношению к автору	1	1
30	в событии художественного творчества	1	1
31	к автору и по	1	1
32	позицию по отношению к	1	1
33	не может быть и	2	1
34	одним и тем же	1	1
35	он должен занимать особую	1	1
36	какой бы то ни	1	1
37	место в событии художественного	1	1
38	мы имеем дело с	1	1
39	творчества он должен занимать	1	1
40	искусства и в частности	1	1
