N	2gram	Tiupa_Disk	Formalny
1	и в	27	95
2	и не	25	78
3	может быть	29	66
4	в этом	29	61
5	не может	17	57
6	вовсе не	1	53
7	таким образом	4	52
8	и его	4	51
9	так и	14	50
10	точки зрения	6	47
11	в нем	16	42
12	в его	9	42
13	прежде всего	17	41
14	с точки	3	40
15	как и	27	39
16	художественного произведения	1	36
17	в самом	4	35
18	не в	8	35
19	а не	35	34
20	в процессе	6	34
21	но и	22	33
22	то же	12	32
23	самом деле	2	32
24	истории литературы	1	31
25	не только	36	30
26	в пределах	4	28
27	в том	29	26
28	отнюдь не	11	26
29	если бы	1	26
30	то что	10	25
31	при этом	22	24
32	в своей	10	24
33	на почве	3	24
34	лишь в	4	24
35	на самом	1	24
36	с помощью	1	23
37	было бы	1	23
38	связи с	4	23
39	в ней	2	23
40	в то	8	22
41	и ее	5	22
42	и с	2	21
43	что в	8	21
44	в истории	5	21
45	как бы	9	21
46	между ними	1	20
47	с тем	1	20
48	не менее	6	20
49	входит в	2	20
50	как мы	2	20
51	и от	2	20
52	же время	9	20
53	место в	2	20
54	в их	5	20
55	по себе	3	19
56	конструктивное значение	1	19
57	хотя бы	3	19
58	не могут	2	19
59	все это	2	19
60	все же	8	18
61	в связи	1	18
62	должна быть	2	18
63	только в	9	18
64	и все	5	18
65	с его	9	18
66	все эти	2	18
67	и их	1	18
68	как раз	1	17
69	произведения в	1	17
70	как в	16	17
71	более того	2	17
72	во всяком	3	16
73	с другой	14	16
74	всяком случае	2	16
75	в искусстве	1	16
76	потому что	7	16
77	именно в	5	15
78	должно быть	2	15
79	с другими	1	15
80	его в	1	15
81	во всех	6	15
82	и на	8	15
83	но в	15	15
84	в литературе	2	15
85	в жизни	2	14
86	только на	2	14
87	в своем	11	14
88	в ее	4	14
89	в этой	5	14
90	что он	6	14
91	вместе с	3	14
92	еще не	20	14
93	языка и	3	14
94	и потому	3	14
95	жизни и	2	14
96	в целом	5	14
97	в результате	3	13
98	тем что	4	13
99	что и	5	13
100	ни в	7	13
101	как его	2	13
102	могут быть	5	13
103	независимо от	1	13
104	как таковой	1	13
105	для них	1	13
106	сводится к	7	13
107	со стороны	17	13
108	что же	4	13
109	до конца	2	13
110	того что	4	13
111	она не	1	13
112	а в	5	13
113	там где	1	12
114	уже не	7	12
115	к тому	6	12
116	в действительности	3	12
117	по отношению	13	12
118	как это	2	12
119	оно не	2	12
120	отношению к	13	12
121	никогда не	3	11
122	что они	1	11
123	самой литературы	1	11
124	так сказать	3	11
125	между тем	5	11
126	литературного произведения	3	11
127	литературы в	2	11
128	они не	2	11
129	произведения как	2	11
130	это и	2	11
131	для него	9	11
132	этом отношении	4	11
133	в основе	11	11
134	но не	17	11
135	в большинстве	3	11
136	слова и	2	11
137	не как	5	10
138	другой стороны	5	10
139	в своих	6	10
140	в первом	4	10
141	раз и	1	10
142	о литературе	2	10
143	не было	9	10
144	большинстве случаев	2	10
145	не есть	3	10
146	он не	4	10
147	если же	1	10
148	с ее	3	10
149	мы видели	1	10
150	как о	1	10
151	в слове	1	10
152	не является	5	10
153	и теперь	1	10
154	тем же	1	10
155	друг друга	2	10
156	формы и	1	10
157	и др	3	10
158	мы не	2	10
159	и как	9	10
160	на фоне	1	10
161	не о	2	10
162	и даже	4	9
163	говорить о	3	9
164	для понимания	2	9
165	не могло	2	9
166	в каждом	2	9
167	или иного	2	9
168	в языке	2	9
169	отношения к	2	9
170	в свою	3	9
171	и до	2	9
172	здесь не	1	9
173	но это	3	9
174	ничего не	1	9
175	быть и	2	9
176	и может	3	9
177	и к	4	8
178	в них	6	8
179	и те	1	8
180	в данном	9	8
181	одной стороны	12	8
182	как такового	1	8
183	с одной	12	8
184	же как	1	8
185	между собой	2	8
186	в сторону	4	8
187	в других	1	8
188	сих пор	1	8
189	и является	1	8
190	из этого	1	8
191	всех этих	1	8
192	литературной эволюции	1	8
193	до сих	1	8
194	и должно	2	8
195	что это	1	8
196	с этим	3	8
197	роль в	10	8
198	не должна	1	8
199	это не	5	8
200	должен быть	1	8
201	не следует	4	8
202	в области	3	8
203	для этого	1	8
204	в той	2	7
205	можно говорить	2	7
206	же и	1	7
207	его от	1	7
208	более или	2	7
209	в художественную	1	7
210	но все	2	7
211	является для	1	7
212	свою очередь	3	7
213	сказать что	4	7
214	установка на	1	7
215	к этому	4	7
216	вот как	1	7
217	в сущности	3	7
218	из них	6	7
219	оценки и	1	7
220	от этого	1	7
221	и понимание	2	7
222	в себе	22	7
223	столь же	6	7
224	бы быть	3	7
225	искусства в	1	7
226	в особенности	5	7
227	во втором	5	7
228	литературы как	1	7
229	не на	3	7
230	сами по	2	7
231	произведение в	2	7
232	жизни в	4	7
233	том что	27	7
234	известной степени	3	7
235	ничем не	1	7
236	в первый	1	7
237	и более	1	7
238	и всякое	2	7
239	в литературу	3	7
240	в какой	2	7
241	войти в	1	7
242	или менее	2	7
243	в одной	4	7
244	того или	3	7
245	стороны и	3	7
246	как их	2	7
247	в понимании	1	7
248	как к	2	7
249	и только	1	7
250	за счет	1	7
251	и наконец	2	7
252	те же	1	6
253	в этих	4	6
254	как она	1	6
255	например в	4	6
256	их в	2	6
257	при таком	1	6
258	отличается от	3	6
259	о том	12	6
260	действительности в	1	6
261	он был	1	6
262	общения и	4	6
263	по преимуществу	2	6
264	от его	1	6
265	и других	1	6
266	в которой	2	6
267	но для	2	6
268	в конце	1	6
269	учение о	1	6
270	речевого общения	13	6
271	и это	3	6
272	в смысле	1	6
273	на этом	3	6
274	и тем	2	6
275	должны быть	3	6
276	за пределы	2	6
277	один из	3	6
278	они и	3	6
279	его с	2	6
280	на ее	2	6
281	сам по	1	6
282	в плоскости	1	6
283	к его	5	6
284	в россии	1	6
285	его и	1	6
286	из этих	3	6
287	в произведении	3	6
288	литературных произведений	1	6
289	нет и	1	6
290	той же	2	6
291	этого слова	1	6
292	у них	1	6
293	данном случае	6	6
294	уже в	2	6
295	в формах	2	6
296	ее в	1	6
297	как таковая	1	6
298	по их	1	6
299	так в	1	6
300	особенно в	1	6
301	его не	1	6
302	не по	1	6
303	в частности	18	6
304	тем самым	6	6
305	отношение к	6	6
306	такой же	1	6
307	с этой	2	5
308	даже в	1	5
309	средства изображения	1	5
310	в виду	2	5
311	равно как	1	5
312	значительной степени	3	5
313	в мире	9	5
314	так например	2	5
315	и со	1	5
316	можно сказать	7	5
317	восприятия и	1	5
318	в котором	7	5
319	вопрос о	2	5
320	должно было	2	5
321	и сюжет	1	5
322	из виду	4	5
323	как на	1	5
324	в нашем	2	5
325	к которому	2	5
326	как от	1	5
327	в литературоведении	2	5
328	к нему	1	5
329	всего в	2	5
330	то в	1	5
331	на язык	1	5
332	время и	2	5
333	хотя и	3	5
334	не от	2	5
335	не столько	3	5
336	что не	4	5
337	а только	1	5
338	могло бы	1	5
339	высказывание не	1	5
340	мы можем	1	5
341	или же	1	5
342	не приходится	2	5
343	и что	2	5
344	этом смысле	1	5
345	целом и	1	5
346	его как	3	5
347	и по	2	5
348	а как	1	5
349	конкретное высказывание	1	5
350	если в	2	5
351	в основном	1	5
352	каждый жанр	1	5
353	между которыми	2	5
354	ни о	2	5
355	даже не	1	5
356	может стать	1	5
357	отчасти и	1	5
358	приводит к	4	5
359	не имеет	1	5
360	да и	2	5
361	роли в	1	5
362	бы и	1	5
363	то и	1	5
364	высказывания и	3	5
365	в значительной	3	5
366	слов и	1	5
367	в отличие	13	5
368	одной из	4	5
369	до известной	2	5
370	к предмету	1	5
371	и то	4	5
372	произведении как	1	5
373	общения в	3	5
374	значение в	1	5
375	однако не	1	5
376	а о	2	5
377	становления и	4	5
378	в эпоху	5	5
379	виду что	2	5
380	на все	1	5
381	в такой	1	5
382	в условиях	1	5
383	отличие от	13	5
384	тому как	5	5
385	одни и	1	5
386	мы должны	1	5
387	таким же	1	5
388	еще в	6	5
389	от того	1	5
390	одного из	5	5
391	по аналогии	2	5
392	слова в	2	5
393	же в	1	5
394	может и	4	5
395	настоящего времени	2	5
396	что было	1	4
397	науки о	1	4
398	и другие	1	4
399	мы и	1	4
400	не являются	1	4
401	от одного	1	4
402	все дело	1	4
403	или на	3	4
404	к другим	3	4
405	исходить из	1	4
406	является не	2	4
407	имеет место	4	4
408	к самому	1	4
409	жанр есть	1	4
410	в каких	1	4
411	должна была	1	4
412	между двумя	1	4
413	для данного	3	4
414	превращается в	1	4
415	самого начала	2	4
416	на него	2	4
417	одна из	1	4
418	того же	5	4
419	едва ли	2	4
420	своего развития	1	4
421	в некоторых	1	4
422	на протяжении	2	4
423	тем не	1	4
424	что такое	1	4
425	очевидно что	1	4
426	в таком	1	4
427	и следовательно	1	4
428	не будет	1	4
429	содержания и	1	4
430	должны были	1	4
431	могла бы	2	4
432	он в	1	4
433	в теории	1	4
434	высказывания как	1	4
435	в сюжете	1	4
436	и чем	1	4
437	чтобы не	2	4
438	и сами	1	4
439	однако и	2	4
440	его из	1	4
441	героя в	6	4
442	романа в	1	4
443	литературного развития	1	4
444	подобно тому	4	4
445	как не	3	4
446	и действительно	1	4
447	значения и	1	4
448	это время	1	4
449	к другому	3	4
450	аналогии с	2	4
451	дальнейшее развитие	1	4
452	этом пункте	1	4
453	произведение искусства	1	4
454	до настоящего	1	4
455	совпадает с	4	4
456	идет о	2	4
457	изображения и	1	4
458	наконец в	1	4
459	со всей	1	4
460	отношении к	1	4
461	целый ряд	2	4
462	тот или	2	4
463	и во	2	4
464	громадное значение	1	4
465	но именно	1	4
466	только при	1	4
467	для всего	1	4
468	и о	4	4
469	но если	1	4
470	они были	2	4
471	он должен	1	4
472	этот процесс	1	4
473	зависит от	2	4
474	о нем	3	4
475	здесь в	4	4
476	что каждый	1	4
477	чем он	2	4
478	слово в	1	4
479	реальной действительности	1	4
480	или в	2	4
481	в поэтике	1	4
482	или даже	2	4
483	а к	3	4
484	с самого	2	4
485	и притом	1	4
486	но при	3	4
487	нельзя понять	1	4
488	только то	2	4
489	роман и	1	4
490	одним из	2	4
491	и художественной	1	4
492	не к	3	4
493	во всем	2	3
494	и правильно	1	3
495	для всех	2	3
496	дело с	2	3
497	в году	3	3
498	требует от	2	3
499	в одном	5	3
500	в предыдущей	1	3
501	смыслом а	1	3
502	и должен	1	3
503	а именно	1	3
504	жанра и	2	3
505	в это	1	3
506	поэтических форм	1	3
507	на первый	1	3
508	связано с	1	3
509	во все	1	3
510	в противовес	4	3
511	было в	4	3
512	в пределе	2	3
513	не всегда	2	3
514	как совокупность	1	3
515	это было	2	3
516	сознания в	2	3
517	воздействия на	1	3
518	но они	3	3
519	не об	1	3
520	в различных	2	3
521	уже как	2	3
522	всех областях	1	3
523	ней и	1	3
524	в контексте	3	3
525	том чтобы	2	3
526	следующим образом	1	3
527	акт его	1	3
528	к этим	1	3
529	в системе	1	3
530	точка зрения	3	3
531	не то	2	3
532	и читатель	1	3
533	внимание на	5	3
534	данного высказывания	2	3
535	проявляется в	2	3
536	поэзии в	1	3
537	в качестве	45	3
538	но как	2	3
539	и развитие	1	3
540	лежит в	1	3
541	о возможности	1	3
542	исторической поэтики	3	3
543	быть только	1	3
544	и именно	1	3
545	же касается	4	3
546	из одного	1	3
547	в чем	2	3
548	произведение есть	1	3
549	что как	1	3
550	внутренней речи	5	3
551	вопроса о	1	3
552	от них	1	3
553	в противном	1	3
554	всякое конкретное	1	3
555	не сводится	7	3
556	историческую действительность	1	3
557	и литературой	2	3
558	не дает	1	3
559	в работе	1	3
560	так что	1	3
561	речи и	2	3
562	всех других	1	3
563	между жизнью	1	3
564	в форме	2	3
565	не просто	1	3
566	в новое	1	3
567	никакого отношения	1	3
568	жизнь как	2	3
569	это приводит	1	3
570	их к	1	3
571	жанр и	3	3
572	как система	1	3
573	художественное восприятие	1	3
574	к такому	2	3
575	из возможных	1	3
576	и поэтическое	1	3
577	к одной	1	3
578	и при	1	3
579	художественного творчества	1	3
