N	2gram	Propp_Isto	VelikijI
1	и не	12	20
2	и в	41	16
3	так как	21	9
4	то что	12	9
5	еще не	13	8
6	и потому	1	7
7	что они	5	7
8	а не	9	7
9	на земле	6	7
10	не есть	1	6
11	что есть	1	5
12	хотя и	3	5
13	того что	7	5
14	все это	9	5
15	ты не	1	5
16	как бы	8	5
17	бога и	1	5
18	на себя	3	5
19	но и	20	5
20	все что	4	4
21	в котором	3	4
22	в этом	19	4
23	что мы	3	4
24	потому что	13	4
25	в его	4	4
26	в ней	4	4
27	так и	8	4
28	они будут	1	4
29	и есть	2	4
30	земного и	1	4
31	и все	6	4
32	что не	3	4
33	в образе	4	4
34	что все	1	4
35	как и	8	4
36	что он	29	4
37	в силах	1	4
38	нет у	1	4
39	в нем	12	4
40	во всех	8	3
41	что в	21	3
42	за ним	3	3
43	то это	7	3
44	в конце	4	3
45	должно быть	1	3
46	этого мира	2	3
47	нас и	1	3
48	тех которые	1	3
49	в первый	1	3
50	если не	4	3
51	хотя бы	1	3
52	в том	14	3
53	первый раз	1	3
54	тому что	2	3
55	от которого	2	3
56	этих трех	1	3
57	не в	12	3
58	его во	1	3
59	и что	15	3
60	что и	13	3
61	ни в	4	3
62	превращается в	10	3
63	людей он	1	3
64	в этих	16	3
65	в них	4	3
66	оно не	2	3
67	не было	3	3
68	что ты	1	3
69	что во	2	3
70	в жизни	2	3
71	что я	2	3
72	по этому	3	3
73	и они	2	3
74	как не	1	3
75	их в	3	3
76	в своей	4	3
77	должна быть	3	3
78	с его	4	3
79	от этого	2	3
80	не имеет	6	3
81	но это	5	3
82	жизни и	3	3
83	в чем	5	3
84	все эти	8	3
85	тот же	2	3
86	но в	7	3
87	к тому	4	3
88	никогда не	16	3
89	всего в	1	2
90	во всяком	3	2
91	от него	6	2
92	его и	1	2
93	ее и	2	2
94	один из	7	2
95	превращаются в	2	2
96	мы и	1	2
97	не могли	1	2
98	они и	1	2
99	самого себя	2	2
100	которые не	2	2
101	превратились в	1	2
102	на том	10	2
103	его не	4	2
104	не так	4	2
105	того чтобы	1	2
106	это не	14	2
107	земли и	3	2
108	не только	30	2
109	вот почему	1	2
110	и тогда	1	2
111	с ним	9	2
112	которой они	2	2
113	не будет	6	2
114	ее в	3	2
115	для нас	8	2
116	и то	3	2
117	и за	1	2
118	не с	2	2
119	с тобой	1	2
120	прежде всего	6	2
121	можно было	3	2
122	в форме	4	2
123	людей и	1	2
124	вслед за	2	2
125	и это	9	2
126	мы не	10	2
127	конечно не	2	2
128	только в	10	2
129	а с	3	2
130	под этим	2	2
131	те которые	1	2
132	а в	12	2
133	до того	1	2
134	люди не	1	2
135	и сам	3	2
136	людей так	1	2
137	это мы	1	2
138	но не	8	2
139	и никогда	1	2
140	все царства	1	2
141	тем что	11	2
142	тот кто	5	2
143	духа и	1	2
144	и во	1	2
145	могут быть	3	2
146	высокие горы	1	2
147	не имел	2	2
148	с тем	8	2
149	и т	29	2
150	одна из	7	2
151	так для	1	2
152	его к	2	2
153	не могут	3	2
154	т д	25	2
155	и новые	2	2
156	том что	18	2
157	за богов	1	2
158	когда в	3	2
159	почему в	1	2
160	но мы	3	2
161	что их	1	2
162	уже не	8	2
163	от своей	1	2
164	не царем	1	1
165	в самом	2	1
166	во всем	2	1
167	бы то	1	1
168	мире и	1	1
169	мне от	1	1
170	от труда	1	1
171	связь с	7	1
172	и другие	10	1
173	то есть	1	1
174	тебе все	1	1
175	его связь	1	1
176	гораздо шире	1	1
177	и пусть	1	1
178	человека в	1	1
179	но как	4	1
180	все в	2	1
181	это одна	1	1
182	мы видим	14	1
183	ее к	2	1
184	конца мира	1	1
185	если оно	1	1
186	что оно	1	1
187	и царства	1	1
188	на котором	3	1
189	государство в	1	1
190	праведных и	1	1
191	тоже не	3	1
192	он говорит	4	1
193	полетел в	1	1
194	и на	12	1
195	ничем не	2	1
196	ней мы	1	1
197	она и	3	1
198	тому кто	2	1
199	и сделалась	1	1
200	вопрос о	6	1
201	превратившись в	1	1
202	же и	1	1
203	может быть	19	1
204	они не	4	1
205	видим что	4	1
206	после того	6	1
207	ты хочешь	1	1
208	не имеют	3	1
209	и спасения	1	1
210	и было	1	1
211	и свою	1	1
212	богом и	1	1
