N	2gram	Berdyaev_O	Dialekti
1	не есть	2	181
2	т е	4	159
3	и не	13	120
4	по себе	2	79
5	а не	11	78
6	и в	19	77
7	может быть	11	71
8	не только	11	66
9	то что	5	59
10	и есть	3	55
11	ничего не	2	54
12	не может	4	53
13	и даже	1	47
14	что это	1	46
15	так как	2	46
16	потому что	9	45
17	как бы	3	43
18	и что	1	42
19	не имеет	2	41
20	вовсе не	1	41
21	в том	5	40
22	в этом	12	39
23	что она	1	38
24	это есть	1	38
25	в себе	3	38
26	что он	3	37
27	том что	2	37
28	прежде всего	9	37
29	так что	2	36
30	это не	3	36
31	что в	4	34
32	в нем	10	34
33	и все	10	33
34	того что	3	33
35	но и	13	32
36	все это	6	31
37	сказать что	2	30
38	и как	1	30
39	было бы	3	29
40	так и	2	29
41	как и	6	28
42	никогда не	9	27
43	в виду	1	26
44	не в	11	26
45	учение о	2	25
46	и то	2	25
47	и пр	1	25
48	есть не	1	25
49	но это	1	24
50	если бы	1	24
51	и вот	3	23
52	что не	4	21
53	личности и	2	21
54	должна быть	1	21
55	она не	1	21
56	и с	2	20
57	о том	3	20
58	что и	2	20
59	что все	2	20
60	совершенно не	1	20
61	уже не	1	20
62	в самом	5	19
63	не существует	1	19
64	в своем	2	19
65	и это	1	19
66	как это	1	19
67	и его	4	19
68	хотя бы	3	18
69	что же	2	18
70	жизни и	1	18
71	в сущности	1	17
72	должно быть	2	17
73	к нему	3	16
74	есть просто	1	16
75	сам по	1	16
76	само по	1	16
77	в своей	2	16
78	да и	1	16
79	нет ничего	7	16
80	мы не	1	16
81	же и	1	15
82	все же	2	15
83	то в	1	15
84	самом деле	1	15
85	хотя и	2	15
86	также и	1	15
87	и о	2	15
88	на то	1	15
89	а именно	1	14
90	даже и	2	14
91	с ним	3	14
92	не было	9	14
93	и ее	3	14
94	ни с	7	14
95	и потому	2	14
96	же это	2	14
97	и к	2	13
98	говорит о	1	13
99	отличается от	1	13
100	что они	2	13
101	он не	7	13
102	в силу	1	13
103	но в	2	13
104	не могу	1	13
105	в ней	1	13
106	и нет	2	12
107	вопрос о	10	12
108	вещей и	1	12
109	нет никакого	1	12
110	но не	1	12
111	могут быть	3	12
112	не могут	3	12
113	еще не	3	12
114	и тогда	1	12
115	и тут	1	12
116	всегда есть	4	12
117	все эти	4	12
118	и ни	2	12
119	а в	5	12
120	в них	1	11
121	из них	1	11
122	та же	1	11
123	от того	1	11
124	нисколько не	1	11
125	его не	2	11
126	во всем	1	10
127	в душе	2	10
128	если вы	1	10
129	одно из	2	10
130	в жизни	1	10
131	во всяком	1	10
132	для того	3	10
133	можно ли	2	10
134	в ее	2	10
135	от этого	1	10
136	себе и	1	10
137	и для	2	10
138	что для	2	10
139	чтобы не	1	10
140	нет никакой	1	10
141	в его	7	10
142	это было	3	10
143	в частности	1	10
144	и можно	1	10
145	как будто	1	10
146	быть может	3	9
147	в этих	3	9
148	и на	2	9
149	мир и	1	9
150	в котором	1	9
151	ничто не	2	9
152	в одном	1	9
153	и когда	1	9
154	и он	8	9
155	бы в	1	9
156	была бы	1	9
157	с ними	1	9
158	и более	1	9
159	и от	3	9
160	в истории	2	9
161	от него	7	8
162	в разных	1	8
163	в отношении	1	8
164	вопрос об	1	8
165	чего не	1	8
166	всегда и	1	8
167	все время	1	8
168	в этой	5	8
169	что есть	2	8
170	в одной	1	8
171	один из	1	8
172	и из	2	8
173	у нас	1	8
174	на самом	1	8
175	бы и	1	8
176	и без	1	8
177	только и	4	8
178	все что	3	7
179	он всегда	7	7
180	тем что	2	7
181	но он	7	7
182	личность и	1	7
183	он сам	4	7
184	это я	1	7
185	это конечно	1	7
186	в конце	1	7
187	в мире	1	7
188	с какой	1	7
189	истории и	1	7
190	его как	1	7
191	его с	1	7
192	заключается в	1	7
193	отношения к	1	7
194	как в	1	7
195	со стороны	1	7
196	ничего нет	1	7
197	только одно	3	7
198	и больше	1	7
199	не потому	1	7
200	с его	4	7
201	он должен	1	7
202	и всякий	1	7
203	бытие и	1	7
204	и я	1	7
205	думать что	1	7
206	она должна	1	7
207	нуждается в	1	7
208	можно и	1	6
209	о чем	1	6
210	уже в	2	6
211	нем нет	3	6
212	а что	1	6
213	в другом	2	6
214	образ и	1	6
215	одна из	1	6
216	она и	1	6
