N	3gram	Losev_Vlad	OGranits
1	не может быть	4	4
2	до тех пор	2	4
3	тех пор пока	2	3
4	одно и то	1	3
5	в том что	13	2
6	ничего общего с	1	2
7	не что иное	2	2
8	и наконец в	1	2
9	и то же	1	2
10	есть не что	1	2
11	в самом деле	1	2
12	что иное как	2	2
13	с одной стороны	1	2
14	с другой стороны	3	2
15	само собой разумеется	2	1
16	не было бы	1	1
17	в этот момент	1	1
18	в течение всей	5	1
19	и тот же	2	1
20	и как бы	1	1
21	вопрос возможна ли	1	1
22	чуть ли не	1	1
23	его точки зрения	2	1
24	но в то	2	1
25	это конечно не	2	1
26	равно как и	1	1
27	в значительной мере	1	1
28	которая уже была	1	1
29	если бы мы	1	1
30	на то что	6	1
31	для того чтобы	3	1
32	мы уже видели	1	1
33	том что в	3	1
34	и никогда не	1	1
35	но это конечно	1	1
36	но тем не	1	1
37	весьма важная проблема	1	1
38	собой разумеется что	1	1
39	в связи со	2	1
40	в последнее время	2	1
41	что в этом	1	1
42	один и тот	2	1
43	нужно сказать что	1	1
44	с его точки	2	1
45	в связи с	7	1
46	то что в	1	1
47	течение всей своей	2	1
48	к тому что	1	1
49	с ними и	1	1
50	во всем своем	1	1
51	тем не менее	8	1
52	все равно не	1	1
53	несмотря на все	1	1
54	только то что	1	1
55	в разных местах	1	1
56	и в его	2	1
57	нет и не	1	1
58	только с помощью	1	1
59	в этом отношении	2	1
60	то же время	7	1
61	более или менее	5	1
62	в то же	7	1
63	но и его	1	1
64	само по себе	1	1
65	которая как известно	1	1
66	почти никогда не	1	1
67	здесь мы должны	1	1
68	в течение всего	1	1
69	и вместе с	1	1
70	и не может	1	1
71	нам кажется что	2	1
72	тот же самый	1	1
73	а также и	2	1
74	указать на то	1	1
75	на этом мы	1	1
76	может быть и	1	1
