N	3gram	Vygotskiy_	Tragedij
1	в то же	1	5
2	так и в	1	3
3	в том что	33	2
4	и как бы	1	2
5	и в частности	3	2
6	между этими двумя	2	2
7	в данном случае	3	2
8	о том что	7	2
9	но все же	2	2
10	в отличие от	3	2
11	который в своей	1	1
12	сам по себе	1	1
13	и т.д не	1	1
14	к тому типу	1	1
15	не только по	1	1
16	об этом прямо	1	1
17	он и в	1	1
18	том что он	3	1
19	имеет в виду	1	1
20	что он не	3	1
21	на всем протяжении	5	1
22	и при этом	1	1
23	в обоих случаях	2	1
24	в скрытом виде	2	1
25	смысле этого слова	2	1
26	в конце концов	2	1
27	это мы видим	1	1
28	как и его	1	1
29	как это часто	1	1
30	вместо того чтобы	5	1
31	ответа на вопрос	1	1
32	в применении к	1	1
33	в той же	3	1
34	и вместе с	1	1
35	если можно так	1	1
36	то что он	3	1
37	не может быть	4	1
38	по нашему мнению	1	1
39	но при этом	2	1
40	в этом случае	5	1
41	относится то что	1	1
42	по сравнению с	9	1
43	с того что	2	1
44	с самого начала	8	1
45	и то что	6	1
46	не только не	7	1
47	связаны между собой	3	1
48	но и на	1	1
49	не могут быть	3	1
50	в высшей степени	3	1
51	в связи с	6	1
52	в этом варианте	1	1
53	и все же	1	1
54	может быть в	1	1
55	в самом деле	6	1
56	во всяком случае	2	1
57	к тому что	5	1
58	тем не менее	1	1
59	общепринятый взгляд на	1	1
60	тем чем для	1	1
61	в этой связи	1	1
62	в известной мере	1	1
63	на вопрос о	4	1
64	которой не может	1	1
65	и то в	1	1
66	после того как	1	1
67	и не может	3	1
68	можно так выразиться	1	1
