N	2gram	Medvedev_V	VerxiiNi
1	и в	26	26
2	таким образом	32	22
3	с тем	4	18
4	в этом	29	15
5	вместе с	8	15
6	точки зрения	3	13
7	как бы	5	12
8	в том	15	11
9	не только	26	10
10	может быть	23	10
11	из этих	7	10
12	что в	11	9
13	связи с	5	9
14	но и	10	9
15	в области	2	9
16	в общем	2	8
17	и у	2	8
18	и не	20	8
19	как на	3	8
20	главным образом	7	8
21	с другой	11	8
22	но не	2	8
23	с одной	2	7
24	но все	1	7
25	том что	8	7
26	потому что	1	7
27	одной стороны	2	7
28	а с	1	7
29	то что	7	7
30	но в	2	7
31	из них	11	7
32	так и	6	6
33	в конце	3	6
34	несмотря на	1	6
35	все это	13	6
36	что и	3	6
37	все эти	8	6
38	все же	6	6
39	к тому	5	6
40	о том	10	6
41	во всяком	2	6
42	и потому	2	6
43	всяком случае	2	6
44	в себе	6	6
45	и к	3	5
46	до сих	2	5
47	том числе	2	5
48	в его	15	5
49	тому же	1	5
50	более или	6	5
51	не имеет	1	5
52	или менее	6	5
53	сих пор	2	5
54	по крайней	2	5
55	того чтобы	3	5
56	для того	3	5
57	так же	3	5
58	лишь в	2	5
59	отношение к	1	5
60	одной из	2	5
61	образом в	3	5
62	в силу	14	5
63	а не	7	5
64	и для	2	5
65	крайней мере	2	5
66	никогда не	5	5
67	в самом	4	4
68	что оно	3	4
69	то есть	1	4
70	и по	3	4
71	то же	10	4
72	из которых	2	4
73	только в	8	4
74	в этих	1	4
75	с другими	2	4
76	целый ряд	1	4
77	что он	4	4
78	и вместе	1	4
79	в которых	3	4
80	в котором	3	4
81	в течение	2	4
82	он не	2	4
83	и что	1	4
84	далеко не	3	4
85	а в	3	4
86	в этой	4	4
87	числе и	2	4
88	и от	3	4
89	не может	17	4
90	что все	4	4
91	на этот	1	4
92	в виде	1	4
93	в то	6	4
94	в нем	7	4
95	во время	4	4
96	к сожалению	2	3
97	и другие	1	3
98	с этой	1	3
99	и при	5	3
100	для него	9	3
101	и если	1	3
102	в качестве	12	3
103	в результате	5	3
104	к достижению	1	3
105	так или	1	3
106	и даже	2	3
107	если бы	3	3
108	в которой	2	3
109	или иначе	1	3
110	в таком	1	3
111	в связи	4	3
112	и как	3	3
113	как о	3	3
114	же как	2	3
115	но по	1	3
116	если в	2	3
117	не менее	2	3
118	петра великого	1	3
119	что эти	1	3
120	можно сказать	4	3
121	но с	2	3
122	хотя бы	20	3
123	в значительной	3	3
124	так называемые	3	3
125	у них	2	3
126	когда он	4	3
127	в одном	5	3
128	не вполне	2	3
129	к ним	2	3
130	отношению к	7	3
131	в своем	8	3
132	уже не	1	3
133	к этому	9	3
134	конце концов	2	3
135	своей индивидуальности	1	3
136	того что	3	3
137	с которого	1	2
138	поэтому что	1	2
139	взгляд на	1	2
140	один из	6	2
141	связанных с	1	2
142	смотреть на	1	2
143	благодаря этому	1	2
144	по тому	1	2
145	только что	4	2
146	свидетельствует о	1	2
147	уже в	1	2
148	тогда когда	2	2
149	или по	1	2
150	мы имеем	3	2
151	не с	2	2
152	утверждать что	5	2
153	этом отношении	14	2
154	к религии	1	2
155	в пользу	2	2
156	только не	2	2
157	не как	1	2
158	прежде всего	13	2
159	из своих	2	2
160	они в	1	2
161	как от	2	2
162	его от	2	2
163	этими двумя	1	2
164	исторического развития	1	2
165	в русском	1	2
166	не могут	10	2
167	в них	5	2
168	из него	1	2
169	не было	7	2
170	к его	2	2
171	этой точки	2	2
172	не в	6	2
173	без остатка	1	2
174	а также	1	2
175	в виду	4	2
176	одним из	5	2
177	мысль о	2	2
178	с целью	1	2
179	по существу	4	2
180	творца и	1	2
181	того момента	1	2
182	именно в	3	2
183	быть даже	1	2
184	в процессе	17	2
185	очень много	1	2
186	между этими	1	2
187	можно назвать	1	2
188	большею частью	1	2
189	одновременно и	1	2
190	при таком	1	2
191	никем не	1	2
192	по своему	1	2
193	приводит к	6	2
194	только для	2	2
195	отличается от	2	2
196	о котором	1	2
197	сравнению с	1	2
198	связанный с	1	2
199	ничего общего	1	2
200	так например	2	2
201	связано с	1	2
202	еще не	2	2
203	во всех	7	2
204	и мир	3	2
205	начиная с	2	2
206	некоторые из	3	2
207	что мы	2	2
208	ли это	2	2
209	силы и	1	2
210	если не	1	2
211	так называемой	1	2
212	его не	3	2
213	наконец в	1	2
214	без сновидений	1	2
215	по сравнению	1	2
216	между тем	6	2
217	в свою	1	2
218	не всегда	2	2
219	значительной мере	3	2
220	из себя	2	2
221	быть и	1	2
222	связана с	2	2
223	бы например	1	2
224	не могло	1	2
225	ни один	8	2
226	всех других	3	2
227	заключает в	1	2
228	вслед за	3	2
229	и это	1	2
230	в начале	1	2
231	конечно не	1	2
232	же время	5	2
233	но вместе	1	2
234	самого начала	1	2
235	признать что	1	2
236	или иное	1	2
237	же самое	2	2
238	он в	2	2
239	общего с	1	2
240	сказать что	5	2
241	которые в	2	2
242	тенденции к	1	2
243	них не	4	2
244	в образе	2	2
245	относится к	2	2
246	или иной	2	2
247	жизни и	3	2
248	оно является	2	2
249	на то	2	2
250	с его	4	2
251	от них	2	2
252	и все	1	2
253	для этого	1	2
254	и из	1	2
255	то или	1	2
256	в самой	1	2
257	и особенно	1	2
258	мира его	1	2
259	и наконец	2	2
260	той или	1	2
261	вплоть до	2	2
262	нее не	1	2
263	с того	1	2
264	мы видели	3	2
265	не к	1	2
266	его можно	1	2
267	грань между	1	2
268	в той	1	1
269	относящимися к	1	1
270	представить себе	2	1
271	рисуется в	1	1
272	то в	1	1
273	на почве	1	1
274	что один	1	1
275	к общему	1	1
276	смерть и	1	1
277	следует видеть	1	1
278	а потому	1	1
279	видели что	3	1
280	следует упомянуть	1	1
281	быть принято	1	1
282	а другие	1	1
283	от до	2	1
284	к лицу	1	1
285	мы видим	1	1
286	можно говорить	1	1
287	и этот	2	1
288	не всякому	1	1
289	в прямом	1	1
290	создавать в	1	1
291	этого в	1	1
292	свою очередь	1	1
293	к их	1	1
294	со всем	1	1
295	если некоторые	1	1
296	они не	2	1
297	может не	2	1
298	этой области	3	1
299	данном случае	1	1
300	что такое	2	1
301	ни с	2	1
302	воплощения в	1	1
303	творчества в	8	1
304	должно быть	2	1
305	того как	2	1
306	жить по	1	1
307	время и	1	1
308	зависит от	2	1
309	несколько иной	1	1
310	от природы	1	1
311	случайное и	1	1
312	смысле слова	2	1
313	обе эти	1	1
314	это не	7	1
315	мы знаем	3	1
316	именно к	1	1
317	как самый	1	1
318	а тот	1	1
319	дело с	1	1
320	и менее	1	1
321	не для	1	1
322	а и	1	1
323	которых он	1	1
324	них следует	1	1
325	и счастья	1	1
326	с ним	1	1
327	кроме того	1	1
328	о чем	2	1
329	в ее	4	1
330	две основные	1	1
331	как раз	4	1
332	что так	2	1
333	труда и	2	1
334	одном и	2	1
335	те черты	1	1
336	и через	2	1
337	него в	3	1
338	невозможно и	1	1
339	к сознанию	1	1
340	у нас	3	1
341	развития не	1	1
342	лицом к	1	1
343	это и	6	1
344	ни в	1	1
345	другой стороны	8	1
346	эти явления	2	1
347	у многих	1	1
348	творчество как	3	1
349	как нечто	1	1
350	не является	5	1
351	по мере	1	1
352	для творчества	1	1
353	таком случае	1	1
354	у него	6	1
355	за это	1	1
356	в их	5	1
357	в данном	1	1
358	лежит в	1	1
359	ума и	2	1
360	его в	3	1
361	отцов и	1	1
362	в своих	2	1
363	сами по	1	1
364	нам в	1	1
365	к искусству	1	1
366	в соответствии	1	1
367	самом деле	1	1
368	и некоторые	2	1
369	как видно	1	1
370	жизни это	1	1
371	а во-вторых	2	1
372	их и	4	1
373	жизнь в	1	1
374	что его	2	1
375	всех его	2	1
376	по одному	2	1
377	таково в	1	1
378	который как	1	1
379	а отсюда	1	1
380	этим и	1	1
381	это состояние	1	1
382	заключается в	2	1
383	отношении представляет	1	1
384	это мы	3	1
385	может только	1	1
386	о работе	3	1
387	мы и	1	1
388	другие наоборот	1	1
389	известной работе	1	1
390	всем что	1	1
