N	3gram	Losev_Prob	Otkroven
1	о великом инквизиторе	1	6
2	в легенде о	1	3
3	для того чтобы	3	3
4	преступлении и наказании	1	3
5	в преступлении и	1	3
6	в романах достоевского	1	3
7	достоевский прежде всего	1	2
8	легенда о великом	1	2
9	ни у кого	1	2
10	как и все	1	2
11	не может быть	2	2
12	у него не	1	2
13	но и в	2	2
14	и никогда не	2	2
15	и в этом	1	2
16	что у него	1	2
17	не приходит в	1	1
18	сам по себе	3	1
19	в вечном муже	2	1
20	свободы человеческого духа	1	1
21	хотя и не	3	1
22	дело доходит до	1	1
23	о том что	14	1
24	в том что	13	1
25	не в том	1	1
26	у достоевского не	1	1
27	только и состоит	1	1
28	у достоевского нет	1	1
29	на человеческом языке	1	1
30	и то что	3	1
31	и он не	1	1
32	творчества но о	1	1
33	в виду не	1	1
34	то что в	2	1
35	и все же	1	1
36	в самом деле	1	1
37	и не в	2	1
38	а вовсе не	1	1
39	как будто бы	3	1
40	хотя бы даже	2	1
41	в силу чего	1	1
42	потому что у	1	1
43	во всяком случае	6	1
44	в каждом из	1	1
45	в братьях карамазовых	1	1
46	бросается в глаза	2	1
47	все еще не	1	1
48	и в его	1	1
49	о том как	1	1
50	и прежде всего	2	1
51	и даже когда	1	1
52	в этом отношении	4	1
53	все это было	1	1
54	да и то	1	1
55	человека в этом	1	1
56	но и тут	1	1
57	на то что	2	1
58	должен был бы	1	1
59	у кого не	1	1
60	но никогда не	1	1
61	человека вообще и	1	1
62	в русской и	1	1
63	человека а не	1	1
64	от того что	1	1
65	том что в	1	1
66	прежде всего в	1	1
67	нет у него	1	1
68	и в том	1	1
69	людей но и	1	1
70	не было и	1	1
71	после того как	3	1
72	что не все	1	1
73	в россии в	1	1
74	не в силах	3	1
75	приходит в голову	1	1
76	друг к другу	1	1
77	как бы и	1	1
78	униженные и оскорбленные	1	1
