N	2gram	Vygotskiy_	Morfolog
1	и т	36	62
2	может быть	35	61
3	т д	10	60
4	и пр	1	45
5	таким образом	38	26
6	т е	3	25
7	действующих лиц	3	22
8	могут быть	15	21
9	так как	28	20
10	мы имеем	7	19
11	не может	30	19
12	в этом	21	18
13	в этих	6	17
14	представляет собой	2	17
15	и в	55	17
16	и не	24	16
17	мы видим	8	15
18	перед нами	1	14
19	с этим	7	14
20	прежде всего	5	14
21	эта форма	2	14
22	по существу	6	13
23	видим что	5	12
24	при помощи	27	12
25	связи с	2	12
26	и др	1	12
27	а не	18	11
28	заметить что	3	11
29	чаще всего	1	11
30	что в	39	10
31	то же	17	10
32	а затем	1	10
33	вопрос о	3	10
34	мы увидим	4	10
35	не всегда	2	10
36	но если	2	10
37	в том	55	10
38	так и	6	10
39	что и	27	10
40	в связи	3	10
41	составные части	1	10
42	то что	47	10
43	все же	9	9
44	с другой	7	9
45	но и	12	9
46	не только	25	8
47	в результате	4	8
48	мы не	15	8
49	в качестве	3	8
50	но не	5	8
51	представляет собою	1	8
52	в тех	2	8
53	а в	10	8
54	как мы	2	8
55	во втором	1	7
56	один из	6	7
57	и здесь	3	7
58	если в	2	7
59	не могут	6	7
60	не менее	9	7
61	том что	30	7
62	потому что	27	7
63	этот случай	1	7
64	наряду с	3	7
65	точки зрения	32	7
66	как это	8	7
67	тем не	6	7
68	образом мы	1	7
69	или же	2	7
70	а также	1	7
71	и другие	5	6
72	подобно тому	7	6
73	о том	11	6
74	большей частью	3	6
75	как бы	11	6
76	увидим ниже	1	6
77	но это	3	6
78	это не	1	6
79	с точки	12	6
80	в нашем	1	6
81	или в	2	6
82	и как	9	6
83	вовсе не	7	6
84	во всех	4	6
85	если мы	21	6
86	очень часто	4	6
87	может считаться	3	6
88	также и	2	6
89	они и	2	5
90	из которых	5	5
91	другой стороны	7	5
92	в первом	1	5
93	вслед за	10	5
94	что он	17	5
95	как в	17	5
96	со стороны	5	5
97	то это	3	5
98	хотя бы	4	5
99	было бы	14	5
100	к тому	8	5
101	ничего не	4	5
102	что они	7	5
103	хотя и	3	5
104	то мы	1	5
105	тому что	7	5
106	учение о	1	5
107	ясно что	22	5
108	все эти	7	5
109	одна из	5	5
110	между собой	1	5
111	в поле	1	5
112	на его	3	5
113	об этом	3	5
114	в других	3	5
115	там где	5	5
116	мы можем	6	5
117	сюда же	1	5
118	тому как	10	5
119	между тем	6	5
120	он не	8	5
121	если же	3	5
122	далеко не	7	5
123	и затем	1	5
124	главным образом	3	5
125	в целом	8	5
126	и ее	4	5
127	и к	5	4
128	смысле слова	4	4
129	на этом	3	4
130	нами в	1	4
131	как и	25	4
132	самом деле	19	4
133	но все	1	4
134	показать что	12	4
135	тем что	7	4
136	никто не	1	4
137	уже не	3	4
138	еще не	2	4
139	не является	5	4
140	а если	1	4
141	тех же	2	4
142	того чтобы	13	4
143	так же	29	4
144	и наоборот	2	4
145	сказать что	12	4
146	следующим образом	1	4
147	на него	2	4
148	на котором	2	4
149	и для	9	4
150	из них	4	4
151	но в	5	4
152	несмотря на	8	4
153	на самом	6	4
154	его в	3	4
155	что его	5	4
156	с теми	2	4
157	случае не	2	4
158	встречается в	1	4
159	к этому	5	4
160	в то	8	4
161	можно было	4	4
162	этот вопрос	2	4
163	от того	6	4
164	могла бы	1	4
165	о его	2	4
166	этой школы	2	4
167	оно может	1	4
168	значит что	1	4
169	независимо от	3	4
170	утверждать что	9	3
171	собственном смысле	3	3
172	то время	6	3
173	раз он	1	3
174	та же	4	3
175	мы приходим	1	3
176	только что	3	3
177	с этой	8	3
178	и при	3	3
179	что это	12	3
180	в сущности	15	3
181	ни в	9	3
182	с собой	1	3
183	только в	18	3
184	здесь мы	1	3
185	время как	6	3
186	из двух	1	3
187	если это	2	3
188	и другим	1	3
189	есть нечто	4	3
190	в собственном	4	3
191	состоит из	2	3
192	но мы	3	3
193	так если	1	3
194	первом случае	1	3
195	не существует	4	3
196	и что	28	3
197	рассматриваться как	4	3
198	связана с	1	3
199	для того	12	3
200	но эти	1	3
201	и тогда	3	3
202	не оказывает	1	3
203	или не	2	3
204	целый ряд	12	3
205	и изучение	1	3
206	состоит в	5	3
207	настоящее время	2	3
208	и вне	1	3
209	так например	1	3
210	элементы которые	1	3
211	с его	3	3
212	для этой	1	3
213	в настоящее	2	3
214	что при	8	3
215	с того	2	3
216	он должен	1	3
217	к нему	3	3
218	бы то	3	3
219	то в	2	3
220	что эти	3	3
221	они не	1	3
222	благодаря этому	1	3
223	который может	1	3
224	а и	1	3
225	того что	15	3
226	что такое	2	3
227	но как	4	3
228	у нас	4	3
229	это и	3	3
230	же можно	1	3
231	и есть	5	3
232	а на	4	3
233	этой формы	2	3
234	в таких	2	3
235	должны рассматриваться	2	3
236	к чему	2	3
237	как таковое	2	3
238	но для	1	3
239	а то	1	3
240	здесь же	1	3
241	в какой	6	3
242	приходим к	1	3
243	даже не	1	3
244	это было	1	3
245	форма в	3	3
246	и у	6	3
247	вопроса о	1	3
248	и отсюда	2	3
249	том случае	3	3
250	как уже	1	3
251	то ни	2	3
252	совсем не	3	3
253	в ход	2	3
254	если бы	10	3
255	мы должны	4	3
256	из ряда	1	3
257	и тем	5	3
258	не в	19	3
259	в которой	6	3
260	на нем	2	3
261	а по	1	3
262	и их	4	3
263	в пределах	1	3
264	в большинстве	1	3
265	значение и	3	3
266	в этой	5	3
267	приводит к	3	3
268	что изучение	1	3
269	приводят к	1	3
270	не значит	2	3
271	мы будем	2	3
272	же в	1	3
273	все еще	1	3
274	на то	17	3
275	и его	14	3
276	и по	7	3
277	и только	5	3
278	означает что	2	3
279	не так	2	2
280	от него	2	2
281	является в	1	2
282	могут иметь	1	2
283	а потому	5	2
284	к другу	1	2
285	и этот	3	2
286	друг к	1	2
287	как таковой	1	2
288	бы составить	1	2
289	должна быть	3	2
290	и дает	1	2
291	которое может	2	2
292	потому не	4	2
293	формах в	1	2
294	и тот	4	2
295	не на	2	2
296	оно не	2	2
297	как они	2	2
298	в своих	12	2
299	более или	3	2
300	с этого	2	2
301	образом если	1	2
302	это положение	1	2
303	в россии	1	2
304	но вот	1	2
305	увидеть что	2	2
306	например в	5	2
307	мы получаем	4	2
308	относятся к	1	2
309	с тем	11	2
310	получает от	1	2
311	особый вид	1	2
312	их в	4	2
313	в которых	5	2
314	себя и	3	2
315	не имеет	3	2
316	по этим	1	2
317	может дать	2	2
318	за ней	1	2
319	когда в	1	2
320	роль в	4	2
321	в каком	3	2
322	а эта	1	2
323	во сне	2	2
324	к другому	1	2
325	показать как	2	2
326	во всяком	9	2
327	его и	4	2
328	можно сказать	2	2
329	того как	5	2
330	в данном	1	2
331	к другой	1	2
332	можно установить	1	2
333	в основе	13	2
334	и более	3	2
335	что этот	3	2
336	что мы	9	2
337	в очень	2	2
338	как например	2	2
339	в круг	1	2
340	такую же	1	2
341	это делается	1	2
342	одной стороны	7	2
343	в другом	1	2
344	другу и	1	2
345	том как	2	2
