N	3gram	Losev_Prob	formyVre
1	и т п	1	32
2	в то же	4	18
3	как мы уже	2	15
4	в связи с	7	15
5	с точки зрения	3	15
6	для того чтобы	9	12
7	но и в	3	12
8	не только в	3	11
9	и в то	1	10
10	до сих пор	6	10
11	и того же	2	9
12	одного и того	2	9
13	в том числе	2	8
14	и т д	12	7
15	не может быть	5	7
16	в этом отношении	2	7
17	в том же	1	6
18	друг от друга	1	6
19	и в этом	5	6
20	а также и	2	6
21	имеем в виду	1	6
22	во всех этих	2	6
23	с одной стороны	4	6
24	мы уже сказали	1	6
25	в том что	7	5
26	одной стороны и	2	5
27	то есть не	1	5
28	в то время	2	5
29	том числе и	2	5
30	на первый план	3	5
31	в пространстве и	1	5
32	то есть в	6	5
33	той или иной	5	5
34	как и в	1	5
35	одно и то	1	5
36	и то же	1	5
37	мы имеем в	1	5
38	и не только	1	5
39	того чтобы они	1	4
40	и во всех	1	4
41	о которых мы	2	4
42	мы уже указывали	1	4
43	не для того	1	4
44	и в других	3	4
45	друг на друга	1	4
46	но все же	1	4
47	с другой стороны	7	4
48	в его целом	1	4
49	связи с этим	2	4
50	как раз в	1	4
51	в своем реальном	1	4
52	в этом случае	6	4
53	во всяком случае	11	4
54	то время как	2	4
55	может быть и	5	4
56	в той или	1	3
57	и как бы	2	3
58	в литературе и	4	3
59	о том как	2	3
60	с нашей точки	1	3
61	до известной степени	1	3
62	нашей точки зрения	1	3
63	может быть только	2	3
64	сами по себе	5	3
65	в зависимости от	1	3
66	что в этом	1	3
67	а не в	1	3
68	как мы увидим	2	3
69	как раз и	11	3
70	то же самое	9	3
71	и все прочие	1	3
72	вместе с тем	2	3
73	и в помине	1	3
74	а следовательно и	1	3
75	же как и	1	3
76	в точном смысле	1	3
77	и в частности	3	3
78	но в то	1	3
79	о том что	16	3
80	так же как	2	3
81	с самого начала	2	3
82	так и в	2	3
83	и в литературе	1	3
84	также и в	2	3
85	тот или иной	3	3
86	друг к другу	2	3
87	за пределы данного	1	2
88	в дальнейшем мы	1	2
89	того не зная	1	2
90	можно сказать что	6	2
91	здесь не только	2	2
92	очень важный момент	1	2
93	ни с чем	1	2
94	но для того	1	2
95	в частности в	2	2
96	вовсе не являются	5	2
97	только в этом	2	2
98	как мы сказали	1	2
99	в данном случае	10	2
100	а вовсе не	1	2
101	к тому же	1	2
102	вовсе не является	6	2
103	так как он	2	2
104	это значит что	3	2
105	он не был	1	2
106	в буквальном смысле	3	2
107	в нашем случае	1	2
108	само собой разумеется	1	2
109	то что было	1	2
110	в основе этих	1	2
111	в значительной мере	2	2
112	и должно быть	1	2
113	не было бы	1	2
114	мы находим в	1	2
115	то есть без	1	2
116	не было и	1	2
117	и в самом	2	2
118	мы здесь не	2	2
119	в этих условиях	1	2
120	мы будем говорить	1	2
121	слова то есть	2	2
122	в дальнейшем оказывается	1	2
123	дело в том	3	2
124	и все другие	1	2
125	и ничего не	2	2
126	к тому что	1	2
127	во всей его	1	2
128	по самому своему	2	2
129	с тем что	2	2
130	пространстве и времени	2	2
131	в определенном месте	1	2
132	это прежде всего	1	2
133	если бы он	1	2
134	в основе своей	1	2
135	потому что они	1	2
136	в первых двух	1	1
137	то что на	1	1
138	все больше и	1	1
139	этого термина но	1	1
140	в самом начале	1	1
141	данный момент в	1	1
142	тем более не	1	1
143	последнего времени мы	1	1
144	сих пор говорили	1	1
145	о которой мы	1	1
146	том что все	1	1
147	так и для	2	1
148	же самое время	4	1
149	но вместе с	1	1
150	него всегда есть	1	1
151	больше и больше	1	1
152	которой мы говорили	1	1
153	том что в	2	1
154	на том что	3	1
155	бы один из	1	1
156	в этом смысле	8	1
157	конечно уже не	1	1
158	более глубокое и	1	1
159	о чем мы	2	1
160	здесь прежде всего	1	1
161	то что не	2	1
162	и xx веков	1	1
163	и в другом	1	1
164	литературе и в	1	1
165	своему содержанию и	1	1
166	в которой они	1	1
167	представляет из себя	1	1
168	и это очень	1	1
169	и это было	1	1
170	определенного смысла и	1	1
171	до наших дней	1	1
172	не выходит за	1	1
173	только в том	4	1
174	хотя бы и	3	1
175	о чем подробно	1	1
176	во всех отношениях	1	1
177	в самом деле	4	1
178	и не имеют	1	1
179	в художественной литературе	1	1
180	не могут не	1	1
181	мы еще не	3	1
182	тем не менее	25	1
183	есть еще и	2	1
184	и не существует	1	1
185	вступает в свои	1	1
186	когда мы говорим	2	1
187	с которой он	1	1
188	этом смысле нет	1	1
189	бы не было	3	1
190	более или менее	7	1
191	это не значит	1	1
192	по своему содержанию	3	1
193	то есть только	2	1
194	в данном месте	1	1
195	мы можем сказать	1	1
196	а есть только	2	1
197	ни от чего	2	1
198	но оно обязательно	1	1
199	есть одно из	1	1
200	которых мы говорили	1	1
201	как мы это	1	1
202	можно говорить о	2	1
203	никаких сомнений и	1	1
204	они вовсе не	2	1
205	в нашем обзоре	1	1
206	человека никогда не	1	1
207	не только на	1	1
208	такие слова как	1	1
209	не являются только	2	1
210	потому что не	1	1
211	не может не	1	1
212	события в жизни	1	1
213	преступление и наказание	1	1
214	в целом и	1	1
215	уже не столь	1	1
216	в скрытой форме	1	1
217	мы не только	2	1
218	сама по себе	6	1
219	каждая из этих	1	1
220	имел в виду	2	1
221	это вовсе не	2	1
222	только то что	6	1
223	все это не	1	1
224	и в его	2	1
225	себя как бы	1	1
226	и самый язык	1	1
227	не то что	2	1
228	так же и	4	1
229	нами вовсе не	2	1
230	и в том	1	1
231	уже одно это	1	1
232	ничего нового не	2	1
233	все эти элементы	1	1
234	ни для кого	1	1
235	или хотя бы	2	1
236	к нему вполне	1	1
237	и не может	1	1
238	в этом последнем	1	1
239	и до наших	2	1
240	в чистом виде	3	1
241	в этом образе	1	1
242	смысле слова то	1	1
243	в какой-то мере	2	1
244	в погоне за	1	1
245	здесь в самом	1	1
246	и никак не	1	1
247	мы говорили в	1	1
248	и ни для	1	1
249	наше внимание на	1	1
250	повторяем в этом	1	1
251	то есть тот	1	1
252	с этим мы	1	1
253	этих вещей и	1	1
254	и для всех	1	1
255	что может быть	3	1
256	для нас не	1	1
257	и может быть	1	1
258	лежат в основе	1	1
259	в этом же	1	1
260	здесь вовсе не	1	1
261	в пределах этого	1	1
262	все указанные нами	1	1
263	а в таком	1	1
264	точном смысле слова	2	1
265	в это время	1	1
266	значение но в	1	1
267	бы он был	1	1
268	их самих и	1	1
269	ничто в нем	1	1
270	раз и является	2	1
271	в данный момент	1	1
272	то что в	4	1
273	то есть как	1	1
274	но и не	2	1
275	он не является	1	1
276	и в них	1	1
277	к выводу что	1	1
278	в абстрактном мышлении	1	1
279	не был бы	4	1
280	и той же	1	1
281	связаны между собою	1	1
282	и на ней	1	1
283	все эти проблемы	1	1
284	мы встречаемся с	1	1
285	вовсе не из	1	1
286	свое место в	1	1
287	в его чисто	1	1
288	одна из самых	1	1
289	потому что тут	2	1
290	мы вовсе не	2	1
291	мы не будем	2	1
292	хотя и не	2	1
293	но в конце	1	1
294	с которыми он	1	1
295	способность как бы	1	1
296	вовсе еще не	3	1
297	мы до сих	1	1
298	на самом деле	6	1
299	которых мы до	1	1
300	если же мы	1	1
301	до последнего времени	1	1
302	во всех случаях	1	1
303	же самое мы	1	1
304	и с точки	1	1
305	в других областях	1	1
306	еще не существует	1	1
307	от чего не	1	1
308	всех этих случаях	1	1
309	и в своем	1	1
310	в конце концов	11	1
311	подобно тому как	2	1
312	иной раз и	1	1
313	и притом в	1	1
314	этом случае он	1	1
315	но все равно	1	1
316	сказать что здесь	1	1
317	мы уже видели	1	1
318	было и не	1	1
319	может и должен	1	1
320	но отнюдь не	4	1
321	при этом необходимо	1	1
322	так что в	1	1
323	есть прежде всего	3	1
324	как мы видели	1	1
325	вовсе ничего не	3	1
326	в себе не	3	1
327	но мы можем	1	1
328	со всеми своими	2	1
329	хотя бы в	1	1
330	между тем как	1	1
331	нему вполне применимы	1	1
332	не могут быть	1	1
333	выходит за пределы	1	1
334	в свои права	1	1
335	xix и xx	1	1
336	на первый взгляд	2	1
337	никогда не может	2	1
338	а так как	1	1
339	та или иная	1	1
340	не было этого	2	1
341	что в нем	4	1
342	и на его	2	1
343	один из них	1	1
344	мы сказали выше	1	1
345	одной и той	1	1
346	буквальном смысле слова	1	1
347	все это в	1	1
348	отношений то есть	1	1
349	и в результате	1	1
350	не о чем	5	1
351	и следовательно в	2	1
352	и что будет	1	1
353	все подобного рода	1	1
354	есть по существу	1	1
355	здесь то что	2	1
356	ровно ничего не	1	1
357	в другом случае	2	1
358	всех этих актов	1	1
359	сводится к тому	1	1
360	а не о	1	1
