N	3gram	Vinokur_Ku	TeoriaLi
1	в том что	23	10
2	по отношению к	8	10
3	в то же	4	8
4	то же время	4	8
5	в отличие от	3	7
6	того или иного	5	6
7	в конечном счете	2	6
8	с другой стороны	12	6
9	более или менее	3	6
10	состоит в том	4	6
11	не может быть	5	5
12	так и не	1	5
13	для того чтобы	21	5
14	так или иначе	3	5
15	в данном случае	1	5
16	в силу своей	1	4
17	одного и того	2	4
18	и того же	2	4
19	в свою очередь	4	3
20	той или иной	1	3
21	а всего лишь	1	3
22	с точки зрения	16	3
23	в этом смысле	8	3
24	имеем в виду	1	3
25	в виду не	2	3
26	тем не менее	9	3
27	можно сказать что	2	3
28	тех или иных	1	3
29	мы имеем в	1	3
30	виду не только	1	3
31	в связи с	4	3
32	с одной стороны	2	3
33	тот или иной	1	3
34	но он не	1	2
35	в сочетании с	1	2
36	в противном случае	2	2
37	в данный момент	2	2
38	при этом что	1	2
39	по большей части	2	2
40	этой точки зрения	4	2
41	и в самом	4	2
42	с этой точки	3	2
43	как и в	1	2
44	в самом деле	14	2
45	с ними и	1	2
46	в стилистическом отношении	1	2
47	и то же	1	2
48	одно и то	1	2
49	и тем самым	1	2
50	с легкой руки	1	2
51	и в то	1	2
52	в соответствии с	5	2
53	а с другой	3	2
54	том что он	4	2
55	тем или иным	1	2
56	то ни было	1	2
57	не могут быть	1	2
58	к тому что	2	2
59	тогда как в	1	2
60	это своего рода	1	2
61	то что они	1	2
62	бы то ни	1	2
63	может быть и	1	2
64	может и не	1	1
65	и характерное для	1	1
66	может быть это	1	1
67	мере в какой	6	1
68	в этих случаях	1	1
69	в том и	3	1
70	том случае если	3	1
71	не что иное	2	1
72	в одном и	1	1
73	что говоря о	1	1
74	все то что	1	1
75	и потому что	4	1
76	но прежде всего	1	1
77	и том же	1	1
78	к нам не	1	1
79	языка но и	2	1
80	иметь в виду	1	1
81	является как бы	1	1
82	вследствие того что	2	1
83	никак не может	1	1
84	в той мере	6	1
85	состоит не в	2	1
86	а не с	1	1
87	только о том	1	1
88	уст в уста	1	1
89	они ни были	1	1
90	в большинстве случаев	2	1
91	по крайней мере	11	1
92	а на деле	1	1
93	заключается в том	2	1
94	могли бы служить	1	1
95	позицию по отношению	1	1
96	о том что	6	1
97	то или иное	2	1
98	в последние десятилетия	1	1
99	в том-то и	1	1
100	в нашем языковом	1	1
101	это необходимо для	1	1
102	мы говорим о	3	1
103	в свое время	4	1
104	дело не в	3	1
105	в себе и	1	1
106	отчет в том	1	1
107	точки зрения в	2	1
108	какой бы то	1	1
109	здесь как бы	1	1
110	сказать что для	1	1
111	таким же образом	1	1
112	в соответствии со	1	1
113	как впрочем и	1	1
114	существенно разнится от	1	1
115	при этом в	1	1
116	друг от друга	1	1
117	в настоящее время	2	1
118	областями духовной культуры	1	1
119	том что она	1	1
120	но у нас	1	1
121	если мы имеем	1	1
122	в том случае	3	1
123	дело в том	1	1
124	в особенности в	1	1
125	в иных случаях	3	1
126	и в частности	1	1
127	и здесь мы	1	1
128	в первом случае	1	1
129	в первую очередь	3	1
130	и может рассматриваться	1	1
131	речь идет о	3	1
132	в лучшем случае	1	1
133	нашем языковом сознании	1	1
134	в зависимости от	7	1
135	точно так же	4	1
136	так же как	3	1
137	это уже не	1	1
138	уже не просто	1	1
139	в том или	1	1
140	не в качестве	1	1
141	в этом случае	4	1
142	можно говорить о	2	1
143	а в том	2	1
144	той мере в	6	1
145	к тому же	1	1
146	и в слове	1	1
147	есть не что	1	1
148	том что в	1	1
149	в данном отношении	4	1
150	в русском языке	13	1
151	исходит из того	1	1
152	та или иная	1	1
153	том или ином	1	1
154	что иное как	2	1
155	к вопросу о	3	1
156	первого из этих	1	1
157	только то что	1	1
158	не только такие	1	1
159	едва ли не	1	1
160	могла бы послужить	1	1
161	в таких случаях	3	1
162	на этом пути	1	1
163	в узком и	1	1
164	из уст в	1	1
165	одном и том	1	1
166	с совершенно иными	1	1
167	не более чем	1	1
168	говорить о разных	1	1
169	а через посредство	1	1
170	еще и потому	1	1
171	что несмотря на	1	1
172	и в этой	1	1
173	это было бы	1	1
174	я думаю что	1	1
