N	2gram	Tiupa_Anal	Morfolog
1	и т	3	62
2	может быть	33	61
3	в сказке	1	27
4	таким образом	5	26
5	действующих лиц	1	22
6	могут быть	12	21
7	так как	3	20
8	мы имеем	9	19
9	не может	26	19
10	в этом	31	18
11	в этих	3	17
12	представляет собой	23	17
13	и в	30	17
14	представляют собой	4	16
15	и не	33	16
16	мы видим	1	15
17	этих случаях	2	15
18	перед нами	1	14
19	прежде всего	8	14
20	по существу	1	13
21	при помощи	2	12
22	связи с	2	12
23	и др	1	12
24	а не	25	11
25	что в	7	10
26	то же	12	10
27	а затем	3	10
28	вопрос о	2	10
29	мы увидим	1	10
30	не всегда	4	10
31	но если	1	10
32	этом случае	4	10
33	в том	36	10
34	так и	16	10
35	что и	5	10
36	в связи	2	10
37	то что	11	10
38	все же	4	9
39	с другой	7	9
40	но и	29	9
41	не только	30	8
42	в результате	3	8
43	имеем в	1	8
44	мы не	1	8
45	в качестве	38	8
46	но не	13	8
47	представляет собою	2	8
48	в тех	1	8
49	а в	11	8
50	как мы	3	8
51	во втором	1	7
52	один из	4	7
53	и здесь	1	7
54	если в	3	7
55	не могут	3	7
56	не менее	5	7
57	том что	21	7
58	потому что	3	7
59	по отношению	10	7
60	точки зрения	10	7
61	как это	5	7
62	тем не	3	7
63	а также	8	7
64	отношению к	9	7
65	подобно тому	5	6
66	о том	11	6
67	как бы	15	6
68	не все	3	6
69	но это	1	6
70	это не	7	6
71	с точки	6	6
72	в образе	1	6
73	в нашем	3	6
74	или в	2	6
75	и как	6	6
76	вовсе не	4	6
77	во всех	5	6
78	также и	3	6
79	во время	1	6
80	героя в	2	5
81	из которых	4	5
82	другой стороны	2	5
83	в первом	3	5
84	вслед за	3	5
85	что он	3	5
86	как в	3	5
87	со стороны	5	5
88	хотя бы	4	5
89	было бы	4	5
90	к тому	12	5
91	ничего не	10	5
92	хотя и	4	5
93	прежде чем	2	5
94	тому что	2	5
95	учение о	1	5
96	все эти	3	5
97	одна из	1	5
98	между собой	2	5
99	в поле	4	5
100	на его	4	5
101	то можно	1	5
102	об этом	1	5
103	тому как	5	5
104	между тем	7	5
105	он не	4	5
106	далеко не	6	5
107	в ходе	5	5
108	в целом	9	5
109	и ее	1	5
110	и к	5	4
111	сказка в	1	4
112	смысле слова	1	4
113	на этом	4	4
114	как и	23	4
115	самом деле	3	4
116	но все	1	4
117	тем что	2	4
118	никто не	3	4
119	уже не	6	4
120	еще не	5	4
121	не является	3	4
122	тех же	1	4
123	входит в	1	4
124	того чтобы	3	4
125	героя а	1	4
126	говорить о	3	4
127	так же	1	4
128	и наоборот	3	4
129	сказать что	2	4
130	следующим образом	1	4
131	на него	3	4
132	на котором	3	4
133	и для	3	4
134	из них	2	4
135	но в	11	4
136	получает в	1	4
137	несмотря на	5	4
138	на самом	2	4
139	его в	2	4
140	что его	1	4
141	с теми	1	4
142	случае не	2	4
143	встречается в	1	4
144	к этому	2	4
145	в то	10	4
146	мы уже	2	4
147	можно было	1	4
148	этот вопрос	1	4
149	могла бы	3	4
150	о его	5	4
151	оно может	3	4
152	независимо от	2	4
153	утверждать что	1	3
154	собственном смысле	1	3
155	та же	1	3
156	только что	1	3
157	с этой	2	3
158	и при	1	3
159	что это	1	3
160	в сущности	10	3
161	одному из	2	3
162	ни в	5	3
163	связывается с	2	3
164	с собой	1	3
165	только в	8	3
166	и вызывает	1	3
167	здесь мы	1	3
168	также может	3	3
169	есть нечто	1	3
170	в собственном	3	3
171	имеется в	1	3
172	но мы	2	3
173	на первый	1	3
174	первом случае	2	3
175	и что	2	3
176	для того	4	3
177	и тогда	3	3
178	или не	2	3
179	в карты	2	3
180	состоит в	16	3
181	волшебной сказки	1	3
182	так например	2	3
183	здесь не	2	3
184	с его	3	3
185	в отдельных	1	3
186	к нему	4	3
187	бы то	3	3
188	то в	2	3
189	первый взгляд	1	3
190	не происходит	1	3
191	они не	1	3
192	не слишком	1	3
193	а и	1	3
194	или с	1	3
195	того что	5	3
196	ее в	2	3
197	но как	1	3
198	у нас	1	3
199	и есть	3	3
200	в ином	2	3
201	в виде	1	3
202	в таких	1	3
203	отдельных случаях	1	3
204	а то	3	3
205	узнает о	2	3
206	к месту	2	3
207	в какой	3	3
208	даже не	2	3
209	это было	1	3
210	форма в	1	3
211	вопроса о	4	3
212	том случае	1	3
213	как уже	5	3
214	то ни	3	3
215	если бы	6	3
216	друг друга	1	3
217	мы должны	2	3
218	и тем	4	3
219	не в	17	3
220	в которой	3	3
221	на нем	1	3
222	и их	2	3
223	в начале	3	3
224	в пределах	11	3
225	требует чтобы	1	3
226	в этой	12	3
227	приводит к	2	3
228	не значит	1	3
229	мы будем	1	3
230	же в	1	3
231	все еще	1	3
232	на то	2	3
233	волшебная сказка	1	3
234	и его	9	3
235	и по	2	3
236	и только	1	3
237	сказки как	1	3
238	означает что	3	3
239	в один	4	3
240	не так	3	2
241	от него	2	2
242	является в	1	2
243	мы постараемся	1	2
244	без такого	1	2
245	с героем	1	2
246	если он	1	2
247	должна быть	1	2
248	или по	1	2
249	не с	8	2
250	или нет	1	2
251	например с	1	2
252	случае он	1	2
253	лишь на	1	2
254	и тот	2	2
255	но такое	1	2
256	ниже в	1	2
257	оно не	1	2
258	в своих	1	2
259	более или	2	2
260	например в	1	2
261	относятся к	1	2
262	с тем	1	2
263	получает от	1	2
264	в в	1	2
265	их в	1	2
266	обоих случаях	2	2
267	в которых	1	2
268	таких случаях	1	2
269	себя и	5	2
270	только для	3	2
271	не имеет	1	2
272	в итоге	1	2
273	роль в	3	2
274	в каком	1	2
275	к другому	1	2
276	не входит	1	2
277	показать как	1	2
278	во всяком	1	2
279	его и	3	2
280	можно сказать	6	2
281	со смертью	4	2
282	в данном	6	2
283	сразу же	1	2
284	в основе	6	2
285	и более	5	2
286	что этот	1	2
287	что мы	3	2
288	материала а	1	2
289	на той	1	2
290	одной стороны	6	2
291	можно лишь	1	2
292	и иных	1	2
293	в другом	4	2
294	том как	1	2
295	оно как	1	2
296	к себе	1	2
297	и больше	2	2
298	не исключает	1	2
299	в одном	3	2
300	в различных	1	2
301	от других	1	2
302	превращается в	3	2
303	ощущается как	1	2
304	не что	5	2
305	в совершенно	1	2
306	тогда как	30	2
307	в обоих	3	2
308	второй раз	1	2
309	затем уже	1	2
310	что же	3	2
311	могут и	1	2
312	в данной	1	2
313	тем же	1	2
314	тех случаях	1	2
315	одной из	2	2
316	из первых	1	2
317	на этот	2	2
318	что она	1	2
319	он может	2	2
320	который в	3	2
321	что именно	2	2
322	а вовсе	1	2
323	появляется в	2	2
324	всяком случае	1	2
325	чем это	1	2
326	себя в	8	2
327	другого и	1	2
328	или другой	1	2
329	для него	5	2
330	не означает	2	2
331	в свое	3	2
332	ответ на	3	2
333	что иное	6	2
334	может не	2	2
335	данном случае	3	2
336	на вопрос	5	2
337	после чего	1	2
338	в основу	1	2
339	собой в	2	2
340	с одной	7	2
341	она в	1	2
342	и за	3	2
343	иных случаях	1	2
344	нашей работы	1	2
345	ни было	4	2
346	этом отношении	5	2
347	для нас	1	2
348	все это	2	2
349	с другими	4	2
350	дается в	1	2
351	что действительно	1	2
352	не знает	4	2
353	этого не	1	2
354	с двумя	2	2
355	будто не	1	2
356	здесь имеется	1	2
357	одним из	3	2
358	это еще	2	2
359	вообще не	2	2
360	между собою	1	2
361	же оно	1	2
362	случаях когда	1	2
363	герой в	1	2
364	у него	5	2
365	не от	1	2
366	по своему	1	2
367	героя из	1	2
368	в чем	2	2
369	а другой	1	2
370	путь к	1	2
371	но никто	1	2
372	или менее	2	2
373	и таким	1	2
374	бы в	3	2
375	могли бы	2	2
376	а с	3	2
377	героя к	2	2
378	см ниже	3	2
379	случае если	1	2
380	и даже	10	2
381	в самых	1	2
382	что ни	2	2
383	дело не	5	2
384	быть и	1	2
385	в частности	32	2
386	из этих	2	2
387	от отца	1	2
388	встреча с	2	2
389	б в	1	2
390	себя за	1	2
391	как их	1	2
392	из его	2	2
393	однако в	4	2
394	что о	1	2
395	если они	2	2
396	как будто	6	2
397	изучения в	1	2
398	однако все	1	2
399	герой не	1	2
400	можно отметить	2	2
401	иное как	6	2
402	во второй	3	2
403	в той	8	1
404	в особенности	1	1
405	были бы	1	1
406	во всем	1	1
407	они имеют	1	1
408	однако и	1	1
409	и может	1	1
410	сюжет есть	1	1
411	положения и	1	1
412	значительное количество	1	1
413	все что	3	1
414	для всех	1	1
415	до сих	1	1
416	таких моментов	1	1
417	еще раз	1	1
418	к персонажу	1	1
419	всего в	3	1
420	за ним	2	1
421	отвечает на	2	1
422	лишь два	1	1
423	для передачи	1	1
424	и на	10	1
425	же и	1	1
426	как с	1	1
427	не увидит	1	1
428	в рассказе	2	1
