N	3gram	Savitsky_P	KulturaY
1	и т д	1	42
2	для того чтобы	1	38
3	с точки зрения	3	36
4	в том что	4	33
5	во всяком случае	1	19
6	с другой стороны	1	17
7	не может быть	1	11
8	в этом смысле	1	10
9	вместе с тем	1	9
10	не в том	1	8
11	само по себе	1	8
12	не только в	4	8
13	тех пор пока	1	7
14	до тех пор	1	7
15	чуть ли не	1	7
16	с одной стороны	3	7
17	хотя бы и	1	6
18	в отличие от	1	6
19	то же время	7	6
20	в то же	7	6
21	можно говорить о	1	5
22	более или менее	1	5
23	и в этом	1	5
24	тем более что	1	5
25	но также и	1	4
26	заключается в том	2	4
27	так же как	1	4
28	тот или иной	1	4
29	совершенно ясно что	1	3
30	в известном смысле	1	3
31	в настоящее время	1	3
32	не только как	1	3
33	с тем чтобы	1	3
34	эти могут быть	1	3
35	в противоречии с	1	2
36	в применении к	1	2
37	в большинстве случаев	1	2
38	можно рассматривать с	1	2
39	в собственном смысле	1	2
40	в том числе	2	2
41	сами по себе	3	2
42	и если бы	2	2
43	мы знаем что	1	2
44	и в то	2	2
45	условия в которых	1	2
46	т д не	1	2
47	и есть в	1	2
48	что с точки	1	2
49	другой стороны есть	1	2
50	в каком смысле	1	2
51	по сравнению с	1	2
52	идет именно о	1	2
53	возможно также что	1	1
54	потому что есть	1	1
55	ни на какие	1	1
56	например в области	1	1
57	сводится к следующему	1	1
58	вслед за тем	1	1
59	было бы неправильно	1	1
60	разных точек зрения	1	1
61	то главным образом	1	1
62	именно потому что	1	1
63	в которую мы	1	1
64	он живет в	1	1
65	не в области	1	1
66	и тем самым	1	1
67	во многих случаях	1	1
68	на пути к	1	1
69	том что в	1	1
70	как оно есть	1	1
71	что в этом	1	1
72	нужно помнить что	2	1
73	но в этом	1	1
74	иными словами с	1	1
75	собою как бы	1	1
76	и не может	1	1
77	эта не только	1	1
78	есть не более	1	1
79	с тем же	1	1
80	как бы часть	1	1
81	то что его	1	1
82	с разных точек	1	1
83	но и в	2	1
84	в сопоставлении с	1	1
85	я имеют в	1	1
86	главным образом на	1	1
87	почти исключительно на	1	1
88	когда в силу	1	1
89	все это в	1	1
90	вопрос об отношении	1	1
91	том виде какой	1	1
92	не было бы	1	1
93	такова же судьба	1	1
94	и в частности	1	1
95	далеко не все	1	1
96	в одно и	1	1
97	было бы грешно	1	1
98	является в смысле	1	1
99	та или иная	1	1
100	есть прежде всего	1	1
101	и то что	1	1
102	не более как	1	1
103	в том виде	1	1
104	и не только	2	1
