N	2gram	Bakhtin_sl	UchenyiS
1	и в	69	14
2	не только	37	10
3	а не	29	10
4	и не	32	8
5	прежде всего	14	8
6	то что	2	7
7	в этом	21	7
8	не может	27	7
9	может быть	40	6
10	перестает быть	2	5
11	хотя бы	6	5
12	то же	17	5
13	и только	2	5
14	все это	14	5
15	стилистических приемов	1	5
16	с другой	8	4
17	в этой	1	4
18	конечно не	7	4
19	что такое	1	4
20	но и	37	4
21	в их	6	4
22	к сожалению	1	3
23	бы то	1	3
24	было бы	3	3
25	не о	1	3
26	и то	2	3
27	и формы	4	3
28	истории литературы	1	3
29	как такового	3	3
30	для этого	4	3
31	это не	8	3
32	как и	8	3
33	то ни	1	3
34	для него	8	3
35	в своей	8	3
36	все же	10	3
37	ни было	2	3
38	в области	1	3
39	в частности	3	3
40	в то	17	3
41	не как	4	3
42	у нас	2	3
43	пришлось бы	1	3
44	другой стороны	5	3
45	но в	13	3
46	же время	15	3
47	все они	9	2
48	таким образом	16	2
49	в самом	6	2
50	же не	1	2
51	не приходится	2	2
52	материал для	1	2
53	в противном	1	2
54	могли бы	2	2
55	его и	5	2
56	если бы	1	2
57	могут быть	25	2
58	является в	1	2
59	не в	14	2
60	это было	2	2
61	бы и	6	2
62	для всех	2	2
63	и с	10	2
64	в противовес	2	2
65	до сих	4	2
66	одним из	5	2
67	крайней мере	1	2
68	как таковой	1	2
69	но не	7	2
70	по существу	3	2
71	форму и	1	2
72	мы и	2	2
73	тем что	1	2
74	в себе	3	2
75	в его	19	2
76	в конце	1	2
77	даже и	4	2
78	должна быть	3	2
79	мы не	4	2
80	именно как	3	2
81	ничего не	5	2
82	всех этих	8	2
83	между тем	5	2
84	что она	1	2
85	не есть	2	2
86	художественного произведения	1	2
87	что он	2	2
88	на каждом	2	2
89	в широком	3	2
90	на эту	1	2
91	этом отношении	2	2
92	противном случае	1	2
93	о чем	1	2
94	как раз	3	2
95	каждом шагу	2	2
96	а его	2	2
97	в некоторых	3	2
98	тех или	1	2
99	не могут	7	2
100	а как	3	2
101	что мы	1	2
102	сводится к	1	2
103	в том	7	2
104	том что	6	2
105	и через	1	2
106	или иных	1	2
107	нас в	3	2
108	но это	3	2
109	работы по	1	2
110	но даже	1	2
111	и для	7	2
112	в системе	2	2
113	что и	2	2
114	в сторону	1	2
115	не столько	4	2
116	установку на	1	2
117	меньшей степени	4	2
118	а между	2	2
119	конечно нет	1	2
120	с его	8	2
121	и у	2	2
122	на первый	1	2
123	сих пор	4	2
124	по крайней	1	2
125	только в	9	2
126	формы и	3	2
127	по себе	4	2
128	что все	2	2
129	не все	2	2
130	но конечно	1	2
131	и исторические	2	1
132	этот путь	1	1
133	как основной	1	1
134	и форм	4	1
135	в той	13	1
136	и исторически	3	1
137	что в	3	1
138	очень легко	2	1
139	с которыми	2	1
140	не было	4	1
141	эстетический объект	1	1
142	остается в	5	1
143	вне его	4	1
144	так или	1	1
145	бы только	2	1
146	под понятие	1	1
147	и даже	11	1
148	связанных с	4	1
149	первый план	1	1
150	этого и	1	1
151	слова правда	2	1
152	именно такой	1	1
153	более или	5	1
154	всего что	1	1
155	и потому	9	1
156	и этого	1	1
157	конечно это	1	1
158	но он	4	1
159	понятом как	1	1
160	этом случае	4	1
161	образом на	2	1
162	в свое	3	1
163	слова форма	1	1
164	в которой	4	1
165	такое понимание	2	1
166	имеем в	1	1
167	можно сказать	2	1
168	этого не	1	1
169	или меньшей	5	1
170	мы можем	1	1
171	мнению не	1	1
172	у стерна	5	1
173	которой все	1	1
174	и единого	2	1
175	или иначе	2	1
176	в данном	5	1
177	она строится	2	1
178	чистое и	1	1
179	целого но	1	1
180	все его	4	1
181	что под	1	1
182	как таковая	1	1
183	еще раз	3	1
184	нет и	1	1
185	как на	1	1
186	равно как	1	1
187	у толстого	5	1
188	себе еще	1	1
189	сводится именно	2	1
190	произведение как	1	1
191	никогда и	1	1
192	быть не	1	1
193	данного произведения	1	1
194	он в	6	1
195	и все	9	1
196	определений и	1	1
197	в точном	1	1
198	содержание и	1	1
199	из самых	2	1
200	к изучению	1	1
201	состоит из	1	1
202	же как	2	1
203	направлено на	1	1
204	преодолевается и	1	1
205	сказать что	4	1
206	в сфере	2	1
207	произведения как	3	1
208	и эта	2	1
209	в процессе	14	1
210	вообще очень	1	1
211	достоевского и	1	1
212	данном случае	3	1
213	речи в	5	1
214	слово что	1	1
215	его как	3	1
216	стерна у	1	1
217	и строится	1	1
218	у сервантеса	1	1
219	то есть	46	1
220	знак равенства	1	1
221	и всей	1	1
222	этот процесс	1	1
223	и др	17	1
224	и содержание	1	1
225	своем месте	1	1
226	ее как	1	1
227	и действительно	1	1
228	очень часто	1	1
229	этого общего	2	1
230	того как	2	1
231	он знает	1	1
232	в эстетический	1	1
233	переходит в	3	1
234	точном смысле	1	1
235	в таком	5	1
236	авторской индивидуальности	1	1
237	но прежде	1	1
238	исходить из	1	1
239	то и	1	1
240	для изучения	1	1
241	ссылка на	1	1
242	и разнообразие	1	1
243	и свое	1	1
244	перестают быть	1	1
245	она не	8	1
246	степени и	2	1
247	быть в	1	1
248	смысле и	1	1
249	в течение	1	1
250	но именно	5	1
251	до конца	25	1
252	и стилистических	3	1
253	она в	1	1
254	впрочем не	1	1
255	относятся к	1	1
256	в своем	9	1
257	тогда когда	2	1
258	в значительной	6	1
259	входит в	8	1
260	объекта в	1	1
261	только как	2	1
262	его на	2	1
263	в последние	2	1
264	одной стороны	7	1
265	и стилистики	3	1
266	именно к	3	1
267	слово является	1	1
268	мы имеем	1	1
269	бесспорного и	1	1
270	на роль	1	1
271	те основные	1	1
272	от слова	1	1
273	и лингвистика	2	1
274	от произведения	1	1
275	что по	1	1
276	же в	2	1
277	установка на	8	1
278	он может	3	1
279	знает только	2	1
280	в ней	7	1
281	но по	2	1
282	или даже	5	1
283	но что	1	1
284	даже не	1	1
285	и так	1	1
286	и прежде	1	1
287	язык в	9	1
288	проблеме художественного	1	1
289	и сплошь	1	1
290	а это	1	1
291	в этот	1	1
292	связанные с	7	1
293	к вопросам	1	1
294	дан в	1	1
295	на то	2	1
296	он и	1	1
297	но если	1	1
298	в большей	3	1
299	на лингвистику	1	1
300	значимость и	1	1
301	бы ни	3	1
302	не значит	2	1
