N	2gram	Tiupa_Teor	Sotsiolo
1	истории литературы	2	10
2	все это	2	7
3	в том	20	5
4	в этом	12	5
5	не только	24	3
6	не в	9	3
7	и в	24	3
8	и только	1	3
9	более чем	1	3
10	в его	12	3
11	о литературе	3	3
12	для нас	1	3
13	что в	10	2
14	ведь это	1	2
15	то что	6	2
16	таким образом	3	2
17	том что	11	2
18	или даже	4	2
19	дело не	2	2
20	как бы	8	2
21	в результате	1	2
22	было бы	1	2
23	как будто	2	2
24	в частности	23	2
25	но и	14	2
26	может быть	22	2
27	по существу	1	2
28	она может	1	2
29	и что	4	2
30	это и	2	2
31	за пределы	2	2
32	по отношению	10	2
33	и заключается	1	2
34	в конце	2	2
35	отношению к	10	2
36	далеко не	4	2
37	тем более	2	2
38	только в	9	2
39	к которому	3	2
40	то же	12	2
41	еще не	6	2
42	а в	15	1
43	что он	4	1
44	художественных произведений	1	1
45	в конечном	6	1
46	столь же	3	1
47	литературы как	3	1
48	даже в	3	1
49	литература как	2	1
50	в таких	1	1
51	в целом	4	1
52	в силу	4	1
53	более не	2	1
54	жизни он	1	1
55	все эти	3	1
56	не один	1	1
57	не было	1	1
58	представить себе	1	1
59	когда мы	1	1
60	остается в	1	1
61	связи с	3	1
62	только то	1	1
63	к субъекту	1	1
64	в своей	8	1
65	в мире	26	1
66	и потому	3	1
67	все же	1	1
68	что это	1	1
69	еще и	2	1
70	от друга	1	1
71	по крайней	1	1
72	с другой	9	1
73	мы понимаем	1	1
74	а тем	1	1
75	с ним	1	1
76	противном случае	2	1
77	право на	2	1
78	между тем	5	1
79	как совокупность	3	1
80	и более	1	1
81	но как	2	1
82	в этой	3	1
83	время в	1	1
84	и его	11	1
85	опираясь на	1	1
86	они ни	1	1
87	это по	1	1
88	ли не	1	1
89	именно такого	1	1
90	никак не	1	1
91	в данном	9	1
92	исторической поэтики	1	1
93	в области	7	1
94	и по	3	1
95	есть процесс	1	1
96	с помощью	1	1
97	же самое	1	1
98	этом не	1	1
99	один из	2	1
100	так и	14	1
101	писатель как	1	1
102	в противном	2	1
103	в то	9	1
104	бы они	1	1
105	может не	1	1
106	ни одно	1	1
107	в котором	1	1
108	те же	1	1
109	между собой	3	1
110	который говоря	1	1
111	чтобы сделаться	1	1
112	отнюдь не	3	1
113	и не	17	1
114	объекта и	3	1
115	но она	2	1
116	эти два	1	1
117	иначе говоря	5	1
118	же по	1	1
119	от окружающих	1	1
120	он ни	1	1
121	говоря иначе	2	1
122	настоящее время	1	1
123	и о	5	1
124	к изучению	1	1
125	вступает в	2	1
126	но не	13	1
127	может служить	2	1
128	они не	1	1
129	лучшем случае	1	1
130	в него	1	1
131	для этого	1	1
132	себе чтобы	1	1
133	прежде всего	3	1
134	тем что	1	1
135	что она	2	1
136	тем же	2	1
137	в систему	1	1
138	в каждом	1	1
139	искусство слова	2	1
140	друг от	1	1
141	изучение художественных	1	1
142	в чем	2	1
143	на основании	1	1
144	что автор	1	1
145	а с	3	1
146	это происходит	1	1
147	а между	1	1
148	но только	1	1
149	и будет	1	1
150	не дает	1	1
151	тех кто	1	1
152	в лучшем	1	1
153	в сущности	1	1
154	в область	1	1
155	конечном счете	6	1
156	его в	4	1
157	не от	2	1
158	пришлось бы	1	1
159	зависит от	1	1
160	крайней мере	1	1
161	но одно	1	1
162	ни были	1	1
163	границы и	1	1
164	я и	2	1
165	вовсе не	3	1
166	с одной	3	1
167	о том	2	1
168	тому что	2	1
169	но именно	1	1
170	том и	1	1
171	в этих	4	1
172	сама по	2	1
173	у него	2	1
174	по себе	2	1
175	на отдельные	1	1
176	на первый	1	1
177	без этого	1	1
178	могут оказаться	2	1
179	перед нами	3	1
180	из тех	2	1
181	все то	1	1
182	же время	8	1
183	наконец в	1	1
184	это не	4	1
185	одной стороны	3	1
186	в связи	3	1
187	бы в	1	1
188	в настоящее	1	1
189	именно в	3	1
190	никогда не	4	1
191	и есть	1	1
192	не может	8	1
193	между ними	6	1
194	и как	3	1
195	что все	1	1
196	место в	7	1
197	как и	6	1
198	в них	2	1
