N	2gram	Tiupa_Hudo	RusskieA
1	и в	34	79
2	в том	24	64
3	том что	31	59
4	что в	8	57
5	т е	6	54
6	не только	22	41
7	а а	2	40
8	так как	2	34
9	и другие	5	33
10	в этом	22	33
11	состоит в	8	32
12	как бы	11	31
13	но и	13	31
14	в других	4	30
15	и п	1	30
16	как и	16	28
17	и на	6	28
18	может быть	12	28
19	на святках	4	27
20	в этот	1	26
21	и м	2	25
22	одна из	4	24
23	о том	21	23
24	с в	1	23
25	и т	15	23
26	при этом	21	22
27	в поле	1	22
28	т д	5	21
29	там же	2	20
30	это не	12	20
31	а в	11	20
32	как мы	5	20
33	из них	5	19
34	представляют собой	2	18
35	xix в	5	18
36	все это	2	18
37	с тем	1	17
38	то что	13	17
39	вместе с	2	17
40	об этом	8	17
41	потому что	7	17
42	во многих	1	16
43	мы не	2	16
44	будто бы	6	15
45	один из	6	15
46	в них	3	14
47	и с	10	14
48	не менее	9	14
49	тем не	7	14
50	как это	8	14
51	и что	3	14
52	и не	15	14
53	для нас	4	14
54	в xix	2	14
55	уже не	12	13
56	к этому	1	13
57	так что	3	13
58	в землю	2	13
59	и по	3	13
60	как в	11	13
61	в которых	1	13
62	еще не	10	13
63	не может	10	13
64	тем что	6	12
65	между собой	1	12
66	полагает что	1	12
67	этом случае	1	12
68	мы имеем	1	12
69	в виде	2	12
70	в дом	1	11
71	следующим образом	3	11
72	не имеет	2	11
73	но это	2	11
74	далеко не	1	11
75	что на	4	11
76	все же	5	10
77	это делалось	1	10
78	представляет собой	1	10
79	том чтобы	2	10
80	его в	5	10
81	между тем	14	10
82	что и	3	10
83	а б	1	10
84	в течение	1	10
85	так и	19	10
86	или в	3	10
87	а также	4	10
88	по существу	1	10
89	в воду	1	10
90	и других	1	10
91	то же	14	9
92	о чем	9	9
93	видно что	3	9
94	что они	4	9
95	к жизни	6	9
96	и все	10	9
97	данном случае	3	9
98	того как	1	9
99	том же	1	9
100	но в	6	9
101	в г	3	9
102	но не	7	9
103	одно из	4	8
104	в этих	7	8
105	так же	3	8
106	связи с	4	8
107	на себя	3	8
108	во всех	2	8
109	что это	2	8
110	подобно тому	4	8
111	их в	2	8
112	того чтобы	6	8
113	как например	2	8
114	того что	5	8
115	в данном	3	8
116	не все	2	8
117	как уже	3	8
118	тому как	4	8
119	для того	3	8
120	же в	3	8
121	в это	4	7
122	в руках	1	7
123	настоящее время	1	7
124	в своем	9	7
125	на них	2	7
126	к нему	2	7
127	а и	2	7
128	не в	16	7
129	а с	5	7
130	не совсем	1	7
131	было бы	8	7
132	главным образом	1	7
133	только в	8	7
134	еще в	4	7
135	это время	2	7
136	говорится что	1	7
137	из этих	3	7
138	а не	23	7
139	н а	2	7
140	в деревне	1	7
141	до конца	3	7
142	в настоящее	1	7
143	ничего не	11	7
144	и как	1	7
145	мы должны	1	7
146	как будто	7	7
147	рождества христова	1	7
148	пишет в	1	7
149	с собой	2	6
150	же как	4	6
151	к тому	11	6
152	что этот	1	6
153	и другой	1	6
154	не всегда	1	6
155	только на	6	6
156	но они	1	6
157	в одном	3	6
158	что она	10	6
159	в качестве	13	6
160	чем в	1	6
161	в таком	3	6
162	тому что	8	6
163	также в	2	6
164	на земле	2	6
165	и у	3	6
166	на этом	5	6
167	в этой	11	6
168	в нем	5	6
169	первый день	1	6
170	в в	1	6
171	с ними	3	6
172	приводит к	5	6
173	и более	2	6
174	друг друга	5	6
175	в первый	2	6
176	не будем	1	6
177	или с	2	6
178	в их	2	6
179	на нее	1	6
180	все эти	4	6
181	так в	2	6
182	она не	6	6
183	но она	1	6
184	и о	8	6
185	и к	6	5
186	в разных	1	5
187	нас к	2	5
188	например в	3	5
189	только для	4	5
190	тогда как	10	5
191	г в	1	5
192	с этим	3	5
193	вопрос о	2	5
194	входит в	1	5
195	с другой	4	5
196	как правило	6	5
197	на санях	1	5
198	по поводу	3	5
199	м е	2	5
200	что от	1	5
201	не было	8	5
202	в связи	3	5
203	в целях	1	5
204	мы уже	7	5
205	можно было	6	5
206	в москве	2	5
207	и др	1	5
208	там где	2	5
209	в то	12	5
210	прежде всего	12	5
211	в особенности	1	5
212	его с	1	5
213	с ним	6	5
214	для них	1	5
215	что он	14	5
216	ничего общего	1	5
217	то и	5	5
218	в свою	1	5
219	к себе	8	5
220	заметить что	2	5
221	и для	5	5
222	тот же	1	5
223	в его	17	5
224	на самом	2	5
225	или даже	2	5
226	к вам	1	5
227	и потому	3	5
228	отнюдь не	4	5
229	не с	2	5
230	в целом	2	5
231	вплоть до	1	5
232	не столько	4	4
233	их не	1	4
234	в своих	4	4
235	но все	2	4
236	именно в	9	4
237	во всяком	1	4
238	на этой	1	4
239	в котором	5	4
240	из земли	1	4
241	в глаза	1	4
242	в отличие	1	4
243	под названием	1	4
244	не просто	1	4
245	и из	1	4
246	влияние на	2	4
247	что у	4	4
248	она как	2	4
249	она в	5	4
250	несмотря на	7	4
251	не соответствует	1	4
252	как можно	1	4
