N	2gram	Trubetskoy	slovoVRo
1	и в	24	92
2	то есть	2	64
3	может быть	17	59
4	и его	2	59
5	в нем	3	59
6	и не	9	51
7	не только	10	44
8	не может	18	41
9	но и	11	39
10	до конца	1	37
11	в этом	13	36
12	а не	1	34
13	во всех	10	32
14	точки зрения	14	30
15	так и	10	30
16	могут быть	1	29
17	в его	5	27
18	все это	13	25
19	как бы	10	24
20	то же	4	23
21	и на	6	22
22	в сущности	2	21
23	как в	1	21
24	не в	9	21
25	вовсе не	2	21
26	в процессе	2	20
27	в то	6	20
28	прежде всего	3	19
29	как мы	3	19
30	с ним	6	18
31	как и	10	18
32	язык и	1	18
33	же время	2	18
34	или иной	1	18
35	таким образом	34	17
36	и даже	1	17
37	все же	15	17
38	в основе	2	17
39	в истории	3	17
40	все эти	19	17
41	при этом	9	16
42	в них	2	16
43	к своему	1	16
44	отличие от	3	16
45	но в	5	16
46	и с	5	15
47	с точки	8	15
48	со своим	1	15
49	только в	6	14
50	в узком	1	14
51	это не	3	13
52	с другой	6	13
53	с его	1	13
54	рядом с	1	13
55	и следовательно	1	13
56	и для	6	13
57	и к	5	12
58	в отношении	1	12
59	еще не	6	12
60	во всяком	2	12
61	никогда не	4	12
62	и потому	3	12
63	а в	3	12
64	отношение к	4	12
65	и наконец	3	12
66	один из	1	11
67	в этих	3	11
68	с ними	2	11
69	для него	2	11
70	с одной	3	11
71	на его	1	11
72	одной стороны	2	11
73	зрения на	1	10
74	и их	5	10
75	и все	9	10
76	уже не	1	10
77	все они	6	10
78	лишь в	5	10
79	в своем	12	10
80	может не	3	10
81	в том	31	10
82	с другими	1	10
83	она не	2	10
84	в себе	5	10
85	далеко не	5	10
86	всех этих	4	10
87	поэтому и	1	9
88	более или	8	9
89	в своей	1	9
90	конечно не	3	9
91	сказать что	1	9
92	на почве	3	9
93	этом случае	4	9
94	так как	7	9
95	его в	5	9
96	одна из	2	9
97	в их	4	9
98	или менее	8	9
99	и других	3	9
100	он не	4	9
101	быть и	5	9
102	одним из	4	9
103	и от	5	9
104	но не	3	9
105	с ее	2	9
106	к нему	2	9
107	в самом	8	8
108	для нас	3	8
109	не могут	4	8
110	зависимости от	2	8
111	в значительной	1	8
112	с этим	12	8
113	в зависимости	1	8
114	всяком случае	2	8
115	входит в	1	8
116	и часто	1	8
117	они могут	2	8
118	в ней	3	8
119	во всем	3	7
120	от него	3	7
121	же и	1	7
122	еще более	1	7
123	кроме того	1	7
124	но все	5	7
125	например в	1	7
126	том что	20	7
127	перед нами	1	7
128	на своем	1	7
129	но именно	1	7
130	здесь не	1	7
131	друг друга	2	7
132	того же	9	7
133	у него	5	7
134	не было	2	7
135	связи с	4	7
136	в таком	4	7
137	мы уже	4	7
138	также и	2	7
139	ту же	2	7
140	жизни и	2	7
141	в целом	5	7
142	что в	9	6
143	даже в	3	6
144	другой стороны	5	6
145	именно в	5	6
146	роль в	1	6
147	себя и	2	6
148	языка то	1	6
149	в свою	2	6
150	говорить о	2	6
151	и там	2	6
152	как к	5	6
153	мы сказали	4	6
154	в качестве	1	6
155	единство и	1	6
156	на этом	2	6
157	хотя бы	4	6
158	между тем	12	6
159	он в	1	6
160	точку зрения	2	6
161	ничего не	1	6
162	должна быть	6	5
163	и при	6	5
164	каждый данный	4	5
165	а затем	2	5
166	в результате	9	5
167	к его	1	5
168	они не	2	5
169	по отношению	11	5
170	вместе с	7	5
171	не менее	7	5
172	о том	7	5
173	не является	1	5
174	в данном	3	5
175	и более	2	5
176	мы не	1	5
177	для того	8	5
178	только на	1	5
179	той же	2	5
180	отношению к	11	5
181	в эпохи	2	5
182	но он	1	5
183	в дальнейшем	4	5
184	между этими	2	5
185	остается в	1	5
186	уже в	1	5
187	хотя и	4	5
188	в каждый	6	5
189	и проч	4	5
190	должен быть	2	5
191	в других	1	5
192	в каждом	1	5
193	а как	1	5
194	данный момент	4	5
195	не знает	2	5
196	и может	3	5
197	и сам	2	5
198	оно может	1	5
199	и по	3	5
200	для этого	7	5
201	до сих	15	4
202	по существу	7	4
203	оно было	1	4
204	обстоит дело	1	4
205	в большей	1	4
206	в другой	1	4
207	те же	2	4
208	в виду	2	4
209	для всех	1	4
210	среди других	1	4
211	если бы	8	4
212	отношения к	1	4
213	и другим	1	4
214	всегда в	1	4
215	что он	7	4
216	так же	8	4
217	на первый	2	4
218	к тому	8	4
