N	4gram	Bakhtin_Fr	Tvorches
1	в то же время	14	24
2	и в то же	3	6
3	но в то же	6	6
4	дело в том что	4	4
5	в том что в	1	3
6	и не может быть	1	3
7	нет и не может	1	2
8	в том числе и	3	2
9	то же время он	1	2
10	на самом же деле	4	1
11	не что иное как	1	1
12	в другом месте в	1	1
13	а с другой стороны	1	1
14	одна и та же	1	1
15	это все же не	1	1
16	то же время боится	1	1
17	ни в чем не	1	1
18	в их неразрывном единстве	1	1
19	является одним из древнейших	1	1
20	не может быть ни	1	1
21	бы он ни был	1	1
22	одного и того же	1	1
23	в том что это	1	1
24	мы уже говорили что	1	1
25	в соответствии с этим	1	1
26	до сих пор еще	2	1
27	начала и до конца	1	1
28	говорили о том что	1	1
29	себя в отрыве от	1	1
30	говорить о том что	1	1
31	так же как и	2	1
