1	и в	24	47
2	в этом	13	47
3	то что	18	40
4	точки зрения	14	39
5	в том	31	38
6	таким образом	34	38
7	не только	10	36
8	с точки	8	31
9	том что	20	28
10	в развитии	1	27
11	того что	7	27
12	и не	9	27
13	того чтобы	8	26
14	так же	8	26
15	потому что	9	26
16	так как	7	25
17	для того	8	24
18	только в	6	24
19	для себя	2	24
20	как мы	3	24
21	не может	18	23
22	по сравнению	5	23
23	что в	9	23
24	в силу	7	21
25	сравнению с	5	21
26	может быть	17	20
27	как и	10	19
28	вместе с	7	19
29	но и	11	19
30	сказать что	1	18
31	в сущности	2	16
32	то же	4	16
33	в которой	5	16
34	между собой	4	15
35	этом случае	4	15
36	в самом	8	15
37	и его	2	14
38	же как	3	14
39	что мы	4	14
40	только не	2	14
41	тем что	1	14
42	тем самым	3	14
43	и что	9	14
44	тому что	2	14
45	в себе	5	14
46	заключается в	3	14
47	но не	3	13
48	мысли и	1	13
49	к тому	8	13
50	с самого	1	13
51	как бы	10	13
52	самого начала	1	13
53	что он	7	13
54	той же	2	13
55	по своей	7	12
56	тогда когда	3	12
57	же самое	1	12
58	в процессе	2	12
59	было бы	3	12
60	в сознании	7	11
61	ее в	1	11
62	по своему	5	11
63	и к	5	11
64	понятий и	1	11
65	что они	2	11
66	и тем	1	10
67	мы видим	1	10
68	и то	4	10
69	в то	6	10
70	связь между	1	10
71	мы видели	2	10
72	мы не	1	10
73	по отношению	11	10
74	приводит к	1	10
75	иначе как	1	10
76	не могут	4	9
77	именно в	5	9
78	во всех	10	9
79	друг друга	2	9
80	в отношении	1	9
81	но в	5	9
82	вопрос о	3	9
83	прежде всего	3	9
84	что оно	3	9
85	отношению к	11	9
86	в качестве	1	9
87	до конца	1	8
88	между ними	2	8
89	так и	10	8
90	так что	6	8
91	в мышлении	1	8
92	если бы	8	8
93	то время	2	8
94	речь в	1	8
95	представление о	3	8
96	тем же	2	8
97	как на	6	8
98	отношение к	4	8
99	и следовательно	1	8
100	что она	2	8
101	с тем	4	8
102	никогда не	4	7
103	в данном	3	7
104	она не	2	7
105	а не	1	7
106	из того	4	7
107	на этой	3	7
108	с одной	3	7
109	в его	5	7
110	в этой	7	7
111	время как	1	7
112	его в	5	7
113	мы должны	4	7
114	что это	5	7
115	что с	6	7
116	и только	2	7
117	с другой	6	7
118	в целом	5	7
119	как в	1	7
120	не в	9	7
121	ступени развития	5	7
122	все же	15	7
123	не по	1	7
124	в ее	1	7
125	одной стороны	2	7
126	только что	3	7
127	можно было	1	7
128	могут быть	1	7
129	что эта	4	7
130	это и	1	7
131	того же	9	7
132	бы в	3	7
133	мы можем	6	7
134	все что	10	7
135	и их	5	7
136	все эти	19	7
137	и как	1	7
138	том же	4	7
139	и от	5	6
