N	3gram	Savitsky_E	Literetu
1	в том что	6	21
2	в то же	15	21
3	то же время	14	21
4	с одной стороны	8	12
5	не может быть	2	11
6	в данном случае	2	11
7	в отличие от	1	11
8	в этом отношении	3	10
9	с точки зрения	16	8
10	не говоря уже	2	8
11	с другой стороны	2	7
12	говоря уже о	1	6
13	в том числе	1	6
14	к тому же	1	6
15	из того что	2	6
16	не только в	4	6
17	с этой точки	5	5
18	в соответствии с	1	5
19	этой точки зрения	5	5
20	в связи с	1	5
21	прежде всего в	2	5
22	и тем самым	1	4
23	и прежде всего	3	4
24	то ни было	4	4
25	бы то ни	4	4
26	одной стороны и	6	3
27	в том же	1	3
28	речь идет о	1	3
29	не сводится к	1	3
30	той или иной	4	3
31	только в том	2	3
32	в свою очередь	2	3
33	на то что	2	3
34	по большей части	1	3
35	ту или иную	3	3
36	в одном из	2	3
37	во всяком случае	3	3
38	и в частности	2	3
39	том числе и	1	3
40	же время не	1	2
41	говоря уже об	1	2
42	для того чтобы	5	2
43	в отношении к	12	2
44	тех или иных	1	2
45	к тому что	1	2
46	в значительной степени	1	2
47	чуть ли не	1	2
48	но и в	1	2
49	в полной мере	1	2
50	поскольку речь идет	1	2
51	дело в том	1	2
52	можно было бы	3	2
53	во второй половине	2	2
54	в мире как	1	2
55	и не только	1	2
56	что же касается	1	2
57	в той или	3	1
58	каждого из них	1	1
59	всякая иная культурная	1	1
60	например с точки	2	1
61	это должно быть	1	1
62	нам ясен долгий	1	1
63	к тому чтобы	2	1
64	оно определяется в	1	1
65	почти никогда не	1	1
66	в большинстве случаев	2	1
67	то что в	2	1
68	хотя бы и	3	1
69	и тем более	1	1
70	даже более того	1	1
71	в духовной жизни	1	1
72	же время многие	1	1
73	друг от друга	2	1
74	более или менее	1	1
75	и не имеет	2	1
76	тем что для	1	1
77	в каждой своей	1	1
78	стрелой татарской древней	1	1
79	во многих отношениях	1	1
80	и всякая иная	1	1
81	так и с	1	1
82	именно потому что	1	1
83	а также в	1	1
84	наш путь стрелой	1	1
85	если бы они	1	1
86	и не было	1	1
87	в последнее время	1	1
88	путь стрелой татарской	1	1
89	во многих случаях	1	1
90	и в то	8	1
91	но не в	1	1
92	и того же	1	1
93	пронзил нам грудь	1	1
94	в частности в	2	1
95	ясен долгий путь	1	1
96	европы но и	1	1
97	в последнем случае	1	1
98	и даже более	1	1
99	одного и того	1	1
100	воли пронзил нам	1	1
101	не более чем	2	1
102	и в этом	4	1
103	а также и	1	1
104	и только в	2	1
105	то есть в	1	1
106	но не только	2	1
107	так как мы	1	1
108	татарской древней воли	1	1
109	только в качестве	1	1
110	несмотря на его	1	1
111	и для всех	1	1
112	даже в столь	1	1
113	в его руках	1	1
114	между прочим и	2	1
115	хотя и не	1	1
116	в одной из	1	1
117	культуры и в	1	1
118	но в то	2	1
119	в лучшем случае	1	1
120	как мы видели	2	1
121	во всех этих	1	1
122	в себе не	1	1
123	древней воли пронзил	1	1
124	не могут быть	1	1
125	не есть ли	1	1
126	же время в	1	1
127	путь наш путь	1	1
128	и притом в	2	1
129	как одной из	1	1
130	долгий путь наш	1	1
131	по нашему мнению	2	1
132	само по себе	4	1
133	но и для	1	1
134	мы не можем	1	1
135	может быть и	1	1
