N	3gram	Ircho_Kome	Problemy
1	то же время	5	26
2	в то же	5	26
3	по отношению к	5	18
4	и т п	7	18
5	в этом смысле	2	16
6	в большинстве случаев	2	12
7	в конце концов	4	11
8	в пределах одного	1	11
9	до сих пор	3	10
10	в отношении к	1	10
11	с другой стороны	6	9
12	с самого начала	2	9
13	во всяком случае	4	9
14	в том что	13	8
15	бы то ни	4	7
16	и т д	4	7
17	в отличие от	3	6
18	то ни было	4	6
19	том что он	4	6
20	сам по себе	1	5
21	в зависимости от	1	5
22	к тому же	12	5
23	в высшей степени	1	5
24	той или иной	1	5
25	но все же	1	5
26	подобно тому как	1	5
27	можно было бы	3	5
28	тем не менее	2	4
29	так и в	1	4
30	именно потому что	2	4
31	а между тем	1	4
32	более или менее	1	4
33	само по себе	1	4
34	смысле этого слова	1	4
35	и прежде всего	1	4
36	может быть даже	2	4
37	о том что	6	4
38	как и в	2	4
39	в этом отношении	3	4
40	хотя и не	1	4
41	на протяжении всего	3	4
42	что в нем	1	4
43	ни в одном	2	4
44	в той же	2	3
45	отношение к себе	1	3
46	а может быть	1	3
47	как мы уже	1	3
48	и все это	1	3
49	но при этом	1	3
50	каждый из них	2	3
51	в данном случае	1	3
52	в его произведениях	1	3
53	это вовсе не	1	3
54	на то что	2	3
55	большей или меньшей	1	3
56	как мы знаем	1	3
57	и в самом	1	3
58	но и не	1	3
59	в его творчестве	1	3
60	вы думаете что	1	3
61	как мы видели	1	3
62	в то время	8	3
63	т е в	2	3
64	то время как	6	3
65	что он не	2	2
66	время от времени	1	2
67	но все эти	1	2
68	ведь он не	1	2
69	как будто бы	1	2
70	то что он	2	2
71	в том же	1	2
72	для того чтобы	3	2
73	что все это	1	2
74	а затем и	2	2
75	у него в	1	2
76	друг от друга	2	2
77	вместе с тем	4	2
78	в один из	1	2
79	в чем не	1	2
80	в нем не	1	2
81	то же самое	2	2
82	на этот раз	5	2
83	к тому что	3	2
84	и во всяком	1	2
85	ставит нас перед	1	2
86	для своих целей	1	2
87	в одном из	4	2
88	сводится к тому	1	2
89	этой точки зрения	1	2
90	что же касается	1	2
91	в целом ряде	1	2
92	то что в	1	2
93	как один из	1	2
94	и к тому	1	2
95	он может быть	1	2
96	в значительной степени	1	2
97	и та же	1	2
98	сплошь да рядом	2	2
99	которого он в	1	2
100	не только в	1	2
101	и в том	1	2
102	же как и	1	2
103	одна и та	1	2
104	что и в	2	2
105	ни в чем	1	2
106	так же как	1	1
107	должны были бы	1	1
108	что в рамках	1	1
109	благодаря тому что	1	1
110	не только их	1	1
111	каждая из них	1	1
112	почти каждый из	1	1
113	так и для	1	1
114	и даже не	1	1
115	видеть в нем	2	1
116	и у него	1	1
117	этого слова с	1	1
118	в том числе	4	1
119	ни одной из	1	1
120	по сравнению с	1	1
121	же что и	1	1
122	то что не	1	1
123	сих пор не	1	1
124	о которых мы	1	1
125	раз в жизни	1	1
126	отсюда и его	1	1
127	далеко за пределы	1	1
128	во всех отношениях	1	1
129	в трагедии в	1	1
130	и независимо от	1	1
131	и во всех	1	1
132	и тот же	1	1
133	и столь же	2	1
134	или может быть	2	1
135	во множественном числе	1	1
136	при всех возможных	1	1
137	так или иначе	4	1
138	одних и тех	1	1
139	же становится в	1	1
140	укладывается ни в	1	1
141	в первом случае	1	1
142	том числе и	1	1
143	и на события	1	1
144	точно так же	1	1
145	и у других	1	1
146	в книге об	1	1
147	не приходит в	1	1
148	и каждый из	1	1
149	как таковой и	1	1
150	могла бы быть	1	1
151	в связи с	3	1
152	у него не	1	1
153	что это не	1	1
154	к сожалению не	1	1
155	не укладывается ни	1	1
156	не мог бы	1	1
157	то что у	1	1
158	может и не	1	1
159	героев правда в	1	1
160	где он с	1	1
161	мы не только	1	1
162	точек зрения на	1	1
163	что и на	2	1
164	того или иного	1	1
165	за то что	4	1
166	но он не	1	1
167	но прежде всего	1	1
168	того типа который	1	1
169	последнее слово в	1	1
170	не в его	1	1
171	быть даже и	1	1
172	но и в	2	1
173	и к их	1	1
174	и с этой	2	1
175	а вместе с	1	1
176	и вот в	1	1
177	и от других	1	1
178	время как в	1	1
179	же время он	1	1
180	на него если	1	1
181	они и в	1	1
182	так и не	1	1
183	в сущности одна	1	1
184	их взаимоотношения в	1	1
185	и на его	1	1
186	к нему с	1	1
187	из них он	1	1
188	как и во	1	1
189	ни в один	1	1
190	т п в	1	1
191	и тех же	1	1
192	независимо от того	3	1
193	таким образом в	2	1
194	между тем с	1	1
195	со всех сторон	1	1
196	и на западе	1	1
197	всяком случае в	1	1
198	всего его творчества	1	1
199	в нашу задачу	1	1
200	и в их	1	1
201	сущности одна и	1	1
202	в чем же	1	1
203	не следует только	1	1
204	чтобы не сказать	1	1
205	нет и в	1	1
206	и дает основание	1	1
207	благоприятные условия для	1	1
208	до конца и	1	1
209	могут быть отнесены	1	1
210	под определенным углом	1	1
211	сих пор остается	1	1
212	он не мог	1	1
213	за пределы одной	1	1
214	нельзя сказать о	1	1
215	и не удалось	1	1
216	чтобы убедиться в	1	1
217	или хотя бы	1	1
218	и ненависть к	1	1
219	мы не найдем	1	1
220	с одной стороны	5	1
221	в другом случае	1	1
222	хоть и не	5	1
223	пор остается почти	1	1
224	после того как	3	1
225	потому что они	1	1
